model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
starcoder2-3b,mismatched_pairs,jlens,11,last_token,normalize,baseline,0,0.3793,72,0.035167764112649165,-2.8134549918015393e-05,0.6388888888888888,0.25,-0.010651859028343888,-0.010623724478425873,1.3557021056837193,0.16,0.0252420346756553,1.0,0.0,0.0,0.03125,7.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,rename_only,atomic,11,0.3793,72,-0.039682001342768114,-2.5051764089621593e-05,0.4583333333333333,0.3055555555555556,-0.010621337126335617,-0.010596285362245998,-2.082584285803387,0.04,0.019284947476208597,1.0,0.0,0.0,0.03125,50.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,opaque_only,atomic,12,0.3793,72,-0.06460502926330886,-2.6383126605970236e-05,0.5555555555555556,0.3472222222222222,-0.010638398514433382,-0.010612015387827411,-0.7518900368780955,0.434,0.08421961698518525,0.6388888888888888,0.0,0.0,0.03125,77.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,encode_only,atomic,13,0.3793,72,0.06009262728386352,-2.283254845315979e-05,0.5555555555555556,0.3333333333333333,-0.010673814966946074,-0.010650982418492914,1.959314620514151,0.046,0.030730610872668235,1.0,0.0,0.0,0.03125,3.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,flatten_only,atomic,14,0.3793,72,0.014734316222716322,5.412499951764638e-06,0.5,0.5138888888888888,-0.010582379829111845,-0.010587792329063607,0.36219212310625376,0.712,0.04156605875388098,0.041666666666666664,0.0,0.25,0.0625,88.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,rename_cumulative,cumulative,21,0.3793,72,-0.028835539206922094,-3.012753971224381e-05,0.4305555555555556,0.2916666666666667,-0.010615055514777174,-0.01058492797506493,-1.2659308044405622,0.228,0.023492680721147373,1.0,0.0,0.0,0.0,30.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,rename_opaque,cumulative,22,0.3793,72,0.07039643207593163,-5.390230302063719e-06,0.5277777777777778,0.4444444444444444,-0.010565765465193055,-0.010560375234890992,0.7496247255599154,0.468,0.09444820860692722,0.5,0.0,0.0,0.0,11.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,rename_opaque_encode,cumulative,23,0.3793,72,0.014094988593010942,-1.1592407391324004e-05,0.4583333333333333,0.4305555555555556,-0.010582785664213522,-0.0105711932568222,0.07888589630614361,0.898,0.09429989364794052,0.5694444444444444,0.0,0.0,0.03125,25.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,rename_opaque_encode_flatten,cumulative,24,0.3793,72,0.00982620669823326,1.334570036607514e-06,0.4444444444444444,0.4305555555555556,-0.0106797960741006,-0.010681130644137208,0.26383765394215997,0.74,0.029134074408231393,0.125,0.125,0.0,0.0,97.0
starcoder2-3b,mismatched_pairs,jlens,15,last_token,clean_heldout,clean,-1,0.5172,72,-0.009923041159416203,1.194401197406756e-06,0.4583333333333333,0.5,-0.010480354577891059,-0.010481548979088465,-0.6805603241374735,0.51,0.014241739144511703,1.0,0.75,0.5,0.03125,129.0
