model,lens,layer,site,condition,condition_kind,condition_order,cosine_to_clean
starcoder2-3b,logit,0,last_token,rename_cumulative,cumulative,21,-0.06692427497522052
starcoder2-3b,logit,0,last_token,rename_opaque,cumulative,22,0.05391862613675493
starcoder2-3b,logit,0,last_token,rename_opaque_encode,cumulative,23,0.10225367310045169
starcoder2-3b,logit,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.08075240796159182
starcoder2-3b,logit,3,last_token,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,logit,3,last_token,normalize,baseline,0,0.27119621648015285
starcoder2-3b,logit,3,last_token,rename_only,atomic,11,0.07356605582081731
starcoder2-3b,logit,3,last_token,opaque_only,atomic,12,0.2822671493063132
starcoder2-3b,logit,3,last_token,encode_only,atomic,13,0.2842618011495106
starcoder2-3b,logit,3,last_token,flatten_only,atomic,14,0.07788585843333047
starcoder2-3b,logit,3,last_token,rename_cumulative,cumulative,21,-0.02798850050424675
starcoder2-3b,logit,3,last_token,rename_opaque,cumulative,22,0.08436823277491963
starcoder2-3b,logit,3,last_token,rename_opaque_encode,cumulative,23,0.1377552278475207
starcoder2-3b,logit,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.08592111509280304
starcoder2-3b,logit,7,last_token,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,logit,7,last_token,normalize,baseline,0,0.04958855008176464
starcoder2-3b,logit,7,last_token,rename_only,atomic,11,0.034052785396687164
starcoder2-3b,logit,7,last_token,opaque_only,atomic,12,0.03081237379602592
starcoder2-3b,logit,7,last_token,encode_only,atomic,13,0.06811809244634703
starcoder2-3b,logit,7,last_token,flatten_only,atomic,14,0.15958365299492777
starcoder2-3b,logit,7,last_token,rename_cumulative,cumulative,21,-0.07509722770825278
starcoder2-3b,logit,7,last_token,rename_opaque,cumulative,22,-0.0687006898807754
starcoder2-3b,logit,7,last_token,rename_opaque_encode,cumulative,23,-0.05840887226314227
starcoder2-3b,logit,7,last_token,rename_opaque_encode_flatten,cumulative,24,0.008829714751454595
starcoder2-3b,logit,11,last_token,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,logit,11,last_token,normalize,baseline,0,0.36565443021356614
starcoder2-3b,logit,11,last_token,rename_only,atomic,11,0.32002616212652973
starcoder2-3b,logit,11,last_token,opaque_only,atomic,12,0.31548534083242313
starcoder2-3b,logit,11,last_token,encode_only,atomic,13,0.3398331527574126
starcoder2-3b,logit,11,last_token,flatten_only,atomic,14,-0.11239836064475069
starcoder2-3b,logit,11,last_token,rename_cumulative,cumulative,21,0.31368985029603796
starcoder2-3b,logit,11,last_token,rename_opaque,cumulative,22,0.3099690765393868
starcoder2-3b,logit,11,last_token,rename_opaque_encode,cumulative,23,0.28667388743838584
starcoder2-3b,logit,11,last_token,rename_opaque_encode_flatten,cumulative,24,0.04622815410535986
starcoder2-3b,logit,15,last_token,clean_heldout,clean,-1,1.0000000000000004
starcoder2-3b,logit,15,last_token,normalize,baseline,0,0.32970870704001554
starcoder2-3b,logit,15,last_token,rename_only,atomic,11,0.28897633064557376
starcoder2-3b,logit,15,last_token,opaque_only,atomic,12,0.3508709439540661
starcoder2-3b,logit,15,last_token,encode_only,atomic,13,0.3458488611258293
starcoder2-3b,logit,15,last_token,flatten_only,atomic,14,0.24572057702918826
starcoder2-3b,logit,15,last_token,rename_cumulative,cumulative,21,0.31863614788915373
starcoder2-3b,logit,15,last_token,rename_opaque,cumulative,22,0.4233169566379431
starcoder2-3b,logit,15,last_token,rename_opaque_encode,cumulative,23,0.3280873284380078
starcoder2-3b,logit,15,last_token,rename_opaque_encode_flatten,cumulative,24,0.2177361478573818
starcoder2-3b,logit,19,last_token,clean_heldout,clean,-1,0.9999999999999998
starcoder2-3b,logit,19,last_token,normalize,baseline,0,0.3183852290703673
starcoder2-3b,logit,19,last_token,rename_only,atomic,11,0.27096764808614937
starcoder2-3b,logit,19,last_token,opaque_only,atomic,12,0.2747099849720756
starcoder2-3b,logit,19,last_token,encode_only,atomic,13,0.2840509219261066
starcoder2-3b,logit,19,last_token,flatten_only,atomic,14,0.17746993664955368
starcoder2-3b,logit,19,last_token,rename_cumulative,cumulative,21,0.25738057543743237
starcoder2-3b,logit,19,last_token,rename_opaque,cumulative,22,0.2335648309255618
starcoder2-3b,logit,19,last_token,rename_opaque_encode,cumulative,23,0.23847040837410446
starcoder2-3b,logit,19,last_token,rename_opaque_encode_flatten,cumulative,24,0.13775617658189152
starcoder2-3b,logit,23,last_token,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,logit,23,last_token,normalize,baseline,0,0.06622638387916893
starcoder2-3b,logit,23,last_token,rename_only,atomic,11,0.1668904824189553
starcoder2-3b,logit,23,last_token,opaque_only,atomic,12,0.11431808619343085
starcoder2-3b,logit,23,last_token,encode_only,atomic,13,0.061281636847615506
starcoder2-3b,logit,23,last_token,flatten_only,atomic,14,0.14509082123476355
starcoder2-3b,logit,23,last_token,rename_cumulative,cumulative,21,0.14908864456027587
starcoder2-3b,logit,23,last_token,rename_opaque,cumulative,22,0.18022147552258
starcoder2-3b,logit,23,last_token,rename_opaque_encode,cumulative,23,0.13255137466465486
starcoder2-3b,logit,23,last_token,rename_opaque_encode_flatten,cumulative,24,0.10796920866490196
starcoder2-3b,logit,27,last_token,clean_heldout,clean,-1,1.0
starcoder2-3b,logit,27,last_token,normalize,baseline,0,0.2013199758972407
starcoder2-3b,logit,27,last_token,rename_only,atomic,11,0.24236174172302916
starcoder2-3b,logit,27,last_token,opaque_only,atomic,12,0.21787030912562075
starcoder2-3b,logit,27,last_token,encode_only,atomic,13,0.19259540952209664
starcoder2-3b,logit,27,last_token,flatten_only,atomic,14,0.0904844746398366
starcoder2-3b,logit,27,last_token,rename_cumulative,cumulative,21,0.2413749437856362
starcoder2-3b,logit,27,last_token,rename_opaque,cumulative,22,0.26470951951156724
starcoder2-3b,logit,27,last_token,rename_opaque_encode,cumulative,23,0.29710497729648283
starcoder2-3b,logit,27,last_token,rename_opaque_encode_flatten,cumulative,24,0.1531575585095483
starcoder2-3b,logit,29,last_token,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,logit,29,last_token,normalize,baseline,0,0.19927944231953812
starcoder2-3b,logit,29,last_token,rename_only,atomic,11,0.19973852598680472
starcoder2-3b,logit,29,last_token,opaque_only,atomic,12,0.222373982011021
starcoder2-3b,logit,29,last_token,encode_only,atomic,13,0.20950872784748784
starcoder2-3b,logit,29,last_token,flatten_only,atomic,14,-0.06983397055595476
starcoder2-3b,logit,29,last_token,rename_cumulative,cumulative,21,0.21317423209535852
starcoder2-3b,logit,29,last_token,rename_opaque,cumulative,22,0.20423032532912513
starcoder2-3b,logit,29,last_token,rename_opaque_encode,cumulative,23,0.2960985569080254
starcoder2-3b,logit,29,last_token,rename_opaque_encode_flatten,cumulative,24,0.2465365332763811
starcoder2-3b,logit,-1,sink_arg,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,logit,-1,sink_arg,normalize,baseline,0,1.0000000000000002
starcoder2-3b,logit,-1,sink_arg,rename_only,atomic,11,0.0823222329138778
starcoder2-3b,logit,-1,sink_arg,opaque_only,atomic,12,1.0000000000000002
starcoder2-3b,logit,-1,sink_arg,encode_only,atomic,13,1.0000000000000002
starcoder2-3b,logit,-1,sink_arg,flatten_only,atomic,14,1.0000000000000002
starcoder2-3b,logit,-1,sink_arg,rename_cumulative,cumulative,21,-0.0933533683689339
starcoder2-3b,logit,-1,sink_arg,rename_opaque,cumulative,22,0.07274174175915625
starcoder2-3b,logit,-1,sink_arg,rename_opaque_encode,cumulative,23,-0.10328074678614965
starcoder2-3b,logit,-1,sink_arg,rename_opaque_encode_flatten,cumulative,24,-0.06779758760474626
starcoder2-3b,logit,0,sink_arg,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,logit,0,sink_arg,normalize,baseline,0,0.9996811431112539
starcoder2-3b,logit,0,sink_arg,rename_only,atomic,11,0.14314096087359873
starcoder2-3b,logit,0,sink_arg,opaque_only,atomic,12,0.9899344185124538
starcoder2-3b,logit,0,sink_arg,encode_only,atomic,13,0.9970169170247584
starcoder2-3b,logit,0,sink_arg,flatten_only,atomic,14,0.9801189974221838
starcoder2-3b,logit,0,sink_arg,rename_cumulative,cumulative,21,-0.2308837751169827
starcoder2-3b,logit,0,sink_arg,rename_opaque,cumulative,22,0.15978692759268173
starcoder2-3b,logit,0,sink_arg,rename_opaque_encode,cumulative,23,0.09681127149672712
starcoder2-3b,logit,0,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.0019305511319804766
starcoder2-3b,logit,3,sink_arg,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,logit,3,sink_arg,normalize,baseline,0,0.990864416902837
starcoder2-3b,logit,3,sink_arg,rename_only,atomic,11,0.4570750771473851
starcoder2-3b,logit,3,sink_arg,opaque_only,atomic,12,0.9680693286132938
starcoder2-3b,logit,3,sink_arg,encode_only,atomic,13,0.9639317844366829
starcoder2-3b,logit,3,sink_arg,flatten_only,atomic,14,0.5591302171462317
starcoder2-3b,logit,3,sink_arg,rename_cumulative,cumulative,21,0.4449159229015966
starcoder2-3b,logit,3,sink_arg,rename_opaque,cumulative,22,0.2254508416871461
starcoder2-3b,logit,3,sink_arg,rename_opaque_encode,cumulative,23,0.17391268610154292
starcoder2-3b,logit,3,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.1417251748369402
starcoder2-3b,logit,7,sink_arg,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,logit,7,sink_arg,normalize,baseline,0,0.998622599330886
starcoder2-3b,logit,7,sink_arg,rename_only,atomic,11,0.9112369370367589
starcoder2-3b,logit,7,sink_arg,opaque_only,atomic,12,0.9863036522743289
starcoder2-3b,logit,7,sink_arg,encode_only,atomic,13,0.9915114788192416
starcoder2-3b,logit,7,sink_arg,flatten_only,atomic,14,0.8454910235263491
starcoder2-3b,logit,7,sink_arg,rename_cumulative,cumulative,21,0.9131017089843202
starcoder2-3b,logit,7,sink_arg,rename_opaque,cumulative,22,0.8907974900711989
