model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
starcoder2-3b,train,clens,-1,sink_arg,24154,�,0.038633906999746684,19,0.15476190476190477,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,2763,amb,0.0037658375604933633,93,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,43213,Signatures,0.005933525669801121,85,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,11094,eu,0.0028649938704958474,94,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,29696,ggler,-0.006509007318019457,120,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,25862,quam,-0.055491362943350185,182,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,22975,igt,-0.04829184435447329,180,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,26891,FMT,0.04124052205441589,17,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,27244,tology,-0.015571158438563886,139,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,23212,opunto,0.010384946575873457,73,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46772,",/",0.017363916243641964,56,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,12594,grees,-0.05809830263995711,185,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,1386,summary,0.048768731894455575,11,0.16666666666666666,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46938,ѡ,0.018853495089699586,52,0.15476190476190477,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,1293, ||,0.034161812441489005,23,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,8963,�,0.045971387836010534,14,0.16071428571428573,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,35233,Thunk,-0.016263423135041435,140,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,9460,dating,0.06834677193512645,5,0.1488095238095238,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,29785, Continu,0.024936118256305956,37,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,39466,instancetype,-0.020697382076264672,146,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,20118, Under,0.005713471698713953,86,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,14825, onto,-0.002707240721583727,108,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,19053, má,-0.004905510049234028,113,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,41179,cerning,0.022254016411488046,42,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,2194, args,-0.00020207693301733677,103,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,48031, (^)(,0.019449672366722643,50,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,37114, Substitute,0.029508349325679705,30,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,38425,PERIM,0.0038862496138961835,92,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,30568,rche,0.0011440316860034448,99,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,26047,]::,0.050444443643916974,9,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,16472,>{{$,0.04347623905603518,16,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,4149,kw,-0.0025579069491273487,107,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,2360,viron,-0.018484329669309425,141,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,44911,-+-,0.022053403876098138,43,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,42715,%(,0.03072717090919011,29,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,2224, format,0.005255034750194888,89,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,18194,][],-0.012806956636025726,135,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,41169,",'_",-0.06339832185613414,189,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,764, do,0.006537542058288165,84,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,21711,ogenerated,-0.028698045585581925,161,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,42529, leo,0.02102549147697918,46,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,39202,igateway,-0.020557548332472204,145,0.10714285714285714,0,0,0,168
