base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0284,calib,ba,source,use,das_binding,6,1,4,2,-1.9999998807907104,5.875,7.8749998807907104,1,1,0,0,0.4566639806102522,19.719951150517563,43.182628776995436,1,False,"H0,H1,H2,H3",False,
base_0284,calib,ba,source,use,whole_state,6,4096,4,2,-1.9999998807907104,-0.125,1.8749998807907104,0,0,1,0,0.7282682474668972,31.448537380436072,43.182628776995436,4096,False,"H0,H1,H2,H3",False,
base_0284,calib,ba,target,use,das_binding,6,1,2,4,-4.75,4.125,8.875,1,1,0,0,0.4324084889809164,19.719951150517563,45.6049121445159,1,False,"H0,H1,H2,H3",False,
base_0284,calib,ba,target,use,whole_state,6,4096,2,4,-4.75,-0.125,4.625,0,0,1,0,0.6895866234930974,31.448537380436072,45.6049121445159,4096,False,"H0,H1,H2,H3",False,
base_0289,calib,ab,source,use,das_binding,6,1,7,3,-2.75,4.125,6.875,1,1,0,0,0.40451916146135625,18.342297437266073,45.3434575781358,1,False,"H0,H1,H2,H3",False,
base_0289,calib,ab,source,use,whole_state,6,4096,7,3,-2.75,-2.125,0.625,0,0,1,0,0.6706363477524009,30.408970784666916,45.3434575781358,4096,False,"H0,H1,H2,H3",False,
base_0289,calib,ab,target,use,das_binding,6,1,3,7,-3.5,5.25,8.75,1,1,0,0,0.40439930592236656,18.342297437266076,45.3568964353942,1,False,"H0,H1,H2,H3",False,
base_0289,calib,ab,target,use,whole_state,6,4096,3,7,-3.5,0.875,4.375,1,1,0,0,0.6704376439860932,30.408970784666916,45.3568964353942,4096,False,"H0,H1,H2,H3",False,
base_0289,calib,ba,source,use,das_binding,6,1,3,7,-2.875,4.125,7.0,1,1,0,0,0.39703743221224647,17.839881731140032,44.93249322044595,1,False,"H0,H1,H2,H3",False,
base_0289,calib,ba,source,use,whole_state,6,4096,3,7,-2.875,-1.5,1.375,0,0,1,0,0.6543930209803377,29.40350997870617,44.93249322044595,4096,False,"H0,H1,H2,H3",False,
base_0289,calib,ba,target,use,das_binding,6,1,7,3,-3.5,5.0,8.5,1,1,0,0,0.3967188296474639,17.839881731140032,44.968578242159765,1,False,"H0,H1,H2,H3",False,
base_0289,calib,ba,target,use,whole_state,6,4096,7,3,-3.5,1.875,5.375,1,1,0,0,0.6538679035028786,29.40350997870617,44.968578242159765,4096,False,"H0,H1,H2,H3",False,
base_0292,calib,ab,source,use,das_binding,6,1,4,6,-2.625,1.0,3.625,1,1,0,0,0.3446125313826127,15.890429122079286,46.11100199498152,1,False,"H0,H1,H2,H3",False,
base_0292,calib,ab,source,use,whole_state,6,4096,4,6,-2.625,-0.6250000596046448,1.9999999403953552,0,0,1,0,0.5833144145089477,26.897212131123567,46.11100199498152,4096,False,"H0,H1,H2,H3",False,
base_0292,calib,ab,target,use,das_binding,6,1,6,4,-4.25,4.125,8.375,1,1,0,0,0.3494973558665023,15.890429122079286,45.466521721408846,1,False,"H0,H1,H2,H3",False,
base_0292,calib,ab,target,use,whole_state,6,4096,6,4,-4.25,1.375,5.625,1,1,0,0,0.5915827979086085,26.897212131123567,45.466521721408846,4096,False,"H0,H1,H2,H3",False,
base_0292,calib,ba,source,use,das_binding,6,1,6,4,-2.25,2.25,4.5,1,1,0,0,0.3497983170523372,16.13323984911345,46.121547939579074,1,False,"H0,H1,H2,H3",False,
base_0292,calib,ba,source,use,whole_state,6,4096,6,4,-2.25,0.125,2.375,1,1,0,0,0.5899858980904389,27.211062882453792,46.121547939579074,4096,False,"H0,H1,H2,H3",False,
base_0292,calib,ba,target,use,das_binding,6,1,4,6,-4.625,4.25,8.875,1,1,0,0,0.3503076291951264,16.13323984911345,46.05449183673645,1,False,"H0,H1,H2,H3",False,
base_0292,calib,ba,target,use,whole_state,6,4096,4,6,-4.625,1.125,5.75,1,1,0,0,0.5908449273290699,27.211062882453792,46.05449183673645,4096,False,"H0,H1,H2,H3",False,
base_0293,calib,ab,source,use,das_binding,6,1,5,4,-3.875,5.875,9.75,1,1,0,0,0.4522328444340189,19.676789080612217,43.510305195188174,1,False,"H0,H1,H2,H3",False,
base_0293,calib,ab,source,use,whole_state,6,4096,5,4,-3.875,-0.875,3.0,0,0,1,0,0.7692513118449958,33.47035935017464,43.510305195188174,4096,False,"H0,H1,H2,H3",False,
base_0293,calib,ab,target,use,das_binding,6,1,4,5,-4.125,4.5,8.625,1,1,0,0,0.44153390793515795,19.676789080612217,44.56461605096449,1,False,"H0,H1,H2,H3",False,
base_0293,calib,ab,target,use,whole_state,6,4096,4,5,-4.125,1.0,5.125,1,1,0,0,0.751052344126507,33.47035935017464,44.56461605096449,4096,False,"H0,H1,H2,H3",False,
base_0293,calib,ba,source,use,das_binding,6,1,4,5,-4.125,6.375,10.5,1,1,0,0,0.45131695627534973,19.763676882024352,43.791124191590264,1,False,"H0,H1,H2,H3",False,
base_0293,calib,ba,source,use,whole_state,6,4096,4,5,-4.125,-1.0,3.125,0,0,1,0,0.7610901834918669,33.328994746292565,43.791124191590264,4096,False,"H0,H1,H2,H3",False,
base_0293,calib,ba,target,use,das_binding,6,1,5,4,-3.75,4.875,8.625,1,1,0,0,0.4429506990669612,19.763676882024352,44.61823160829161,1,False,"H0,H1,H2,H3",False,
base_0293,calib,ba,target,use,whole_state,6,4096,5,4,-3.75,1.375,5.125,1,1,0,0,0.7469815262714017,33.328994746292565,44.61823160829161,4096,False,"H0,H1,H2,H3",False,
base_0294,calib,ab,source,use,das_binding,6,1,7,5,-2.5,6.125,8.625,1,1,0,0,0.4813788329290298,19.84243424985173,41.219997416831006,1,False,"H0,H1,H2,H3",False,
