lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
logit-lens,2,use,binding_concept,active,56,-0.34347098214285715,-0.44755161830357143,-0.24942103794642867,-0.353515625,-0.45456194196428573,-0.26199776785714285,0.010044642857142858,-0.0030691964285714285,0.023165457589285676,True
logit-lens,2,use,binding_concept,binding,56,1.604336874825614,1.4947110857282366,1.7064239229474747,1.603330339704241,1.4961743491036552,1.7011130741664342,0.0010065351213727678,-0.018232386452811104,0.02058965138026646,True
logit-lens,2,use,binding_concept,bound,56,0.8431919642857143,0.78232421875,0.9073660714285714,0.8448660714285714,0.7834681919642857,0.9079241071428571,-0.0016741071428571428,-0.018415178571428572,0.014508928571428572,True
logit-lens,2,use,binding_concept,definition,56,0.22835050310407365,0.12519760131835936,0.3252961431230817,0.22460665021623885,0.11674668448311942,0.3263776097978863,0.0037438528878348215,-0.018388748168945312,0.02592950548444475,True
logit-lens,2,use,binding_concept,global,56,-0.572035653250558,-0.6517197745186942,-0.49801635742187506,-0.5740972246442523,-0.6508308955601283,-0.5016736439296177,0.0020615713936941965,-0.009067344665527343,0.012648854936872202,True
logit-lens,2,use,binding_concept,inner,56,0.5030691964285714,0.32629045758928577,0.6601632254464286,0.5071149553571429,0.33406110491071433,0.6600237165178572,-0.004045758928571429,-0.015625,0.0078125,True
logit-lens,2,use,binding_concept,local,56,-1.1617442539760046,-1.2475602013724192,-1.0832299096243723,-1.1714695521763392,-1.2542780194963727,-1.092884281703404,0.009725298200334822,-0.005141312735421316,0.025112697056361606,True
logit-lens,2,use,binding_concept,outer,56,0.5752944946289062,0.3424993515014648,0.7804189137050083,0.5820138113839286,0.3495683942522322,0.7839922223772321,-0.006719316755022321,-0.0210888181413923,0.007983534676688046,True
logit-lens,2,use,binding_concept,scope,56,0.15020043509347097,0.09406371797834123,0.20219553538731166,0.14739990234375,0.09264439174107142,0.1985446384974888,0.002800532749720982,-0.015778187343052454,0.02172685350690568,True
logit-lens,2,use,binding_concept,shadow,56,-0.3628448758806501,-0.4344339915684291,-0.28944643565586636,-0.3682588849748884,-0.4385998589651925,-0.2966471808297294,0.005414009094238281,-0.010048185076032366,0.0197162287575858,True
logit-lens,2,use,binding_concept,value,56,-0.1015625,-0.27176339285714285,0.04743303571428571,-0.10044642857142858,-0.26954520089285716,0.0508231026785712,-0.0011160714285714285,-0.013950892857142858,0.011160714285714286,True
logit-lens,2,use,binding_concept,variable,56,-1.1270664760044642,-1.2272081647600446,-1.0249744960239955,-1.1232343401227678,-1.2208183288574217,-1.019333648681641,-0.0038321358816964285,-0.02137429373604911,0.01430653163364954,True
logit-lens,2,use,generic_code,buffer,56,0.24783107212611608,0.14601832798549108,0.34862883431570857,0.24084418160574778,0.14166663033621654,0.338539559500558,0.006986890520368304,-0.013248825073242187,0.027866935729980457,True
logit-lens,2,use,generic_code,class,56,-1.4029017857142858,-1.4772739955357144,-1.3292410714285714,-1.4122488839285714,-1.4924874441964284,-1.3366036551339289,0.009347098214285714,-0.008370535714285714,0.02706821986607141,True
logit-lens,2,use,generic_code,count,56,0.18318285260881698,0.09538639613560268,0.26600020272391184,0.17950875418526785,0.09377485002790178,0.2609867640904018,0.003674098423549107,-0.012802559988839286,0.019346264430454785,True
logit-lens,2,use,generic_code,error,56,0.03334263392857143,-0.0751953125,0.13364955357142858,0.028041294642857144,-0.07772391183035714,0.13059082031249994,0.005301339285714286,-0.008091517857142858,0.018697684151785694,True
logit-lens,2,use,generic_code,file,56,0.25502232142857145,0.18080357142857142,0.3306361607142857,0.25558035714285715,0.184423828125,0.32953404017857135,-0.0005580357142857143,-0.010881696428571428,0.010323660714285714,True
logit-lens,2,use,generic_code,import,56,0.32338169642857145,0.23966238839285714,0.40262276785714285,0.32645089285714285,0.24691685267857144,0.40318080357142855,-0.0030691964285714285,-0.015345982142857142,0.010044642857142858,True
logit-lens,2,use,generic_code,index,56,-0.17292131696428573,-0.24388078962053572,-0.10469970703125,-0.17703683035714285,-0.24944196428571427,-0.1064453125,0.004115513392857143,-0.012348284040178572,0.02120710100446428,True
logit-lens,2,use,generic_code,number,56,0.2515345982142857,0.16754324776785715,0.3335693359375,0.25209263392857145,0.16949986049107144,0.33399832589285705,-0.0005580357142857143,-0.014512416294642857,0.013113839285714286,True
logit-lens,2,use,generic_code,path,56,-0.15792410714285715,-0.24274553571428573,-0.0703125,-0.17131696428571427,-0.2544642857142857,-0.08201729910714294,0.013392857142857142,0.0011160714285714285,0.026227678571428572,True
logit-lens,2,use,generic_code,print,56,-0.5249099731445312,-0.5963433674403599,-0.4563546589442662,-0.5323093959263393,-0.60386962890625,-0.4634888785226005,0.007399422781808036,-0.011017962864467075,0.025382695879255016,True
logit-lens,2,use,generic_code,range,56,1.0457589285714286,0.9614955357142857,1.1305803571428572,1.0457589285714286,0.9642717633928571,1.1306082589285713,0.0,-0.016183035714285716,0.015625,True
logit-lens,2,use,generic_code,result,56,0.6622488839285714,0.4739990234375,0.8337193080357141,0.6622488839285714,0.4739850725446429,0.8281459263392856,0.0,-0.016741071428571428,0.016322544642857144,True
logit-lens,2,use,generic_code,return,56,-1.3115016392299108,-1.3857713971819197,-1.2352636064801898,-1.3137425013950892,-1.388100106375558,-1.2372607639857702,0.0022408621651785715,-0.011631883893694198,0.016389138357979883,True
logit-lens,2,use,generic_code,string,56,-0.28125,-0.3655412946428571,-0.19697265625000007,-0.28125,-0.36329520089285716,-0.19921875,0.0,-0.012848772321428571,0.012834821428571428,True
