model,base_id,split,arm,layer,readout,family,pair_index,inner_word,outer_word,m_source,m_target,delta,reversal,n_seeds
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,action,7,replaced,kept,-0.001560017466545105,-0.020595766603946686,-0.01903574913740158,0.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,action,8,changed,unchanged,0.06730823963880539,-0.039228811860084534,-0.10653705149888992,0.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,scope,0,local,global,-0.022439315915107727,-0.042807236313819885,-0.020367920398712158,0.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,scope,1,inner,outer,0.013164296746253967,0.004087548702955246,-0.009076748043298721,0.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,scope,2,inside,outside,0.23043474555015564,0.21880394220352173,-0.011630803346633911,0.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,scope,3,nested,module,-0.1941157877445221,-0.024287939071655273,0.16982784867286682,1.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,positional,4,later,earlier,0.045840829610824585,0.010076738893985748,-0.03576409071683884,0.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,positional,5,second,first,-0.3143457770347595,-0.30747929215431213,0.006866484880447388,1.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,positional,6,new,original,0.04519542306661606,0.05839015543460846,0.013194732367992401,1.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,action,7,replaced,kept,0.03615770861506462,0.00797305628657341,-0.02818465232849121,0.0,1
deepseek-coder-6.7b,base_0012,test,ab,8,jlens,action,8,changed,unchanged,0.02010369300842285,-0.08893220126628876,-0.10903589427471161,0.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,scope,0,local,global,-0.034598276019096375,-0.03467530012130737,-7.702410221099854e-05,0.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,scope,1,inner,outer,-0.028003793209791183,0.008965466171503067,0.03696925938129425,1.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,scope,2,inside,outside,0.20376676321029663,0.22325769066810608,0.019490927457809448,1.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,scope,3,nested,module,-0.2139282524585724,-0.04349528253078461,0.17043296992778778,1.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,positional,4,later,earlier,0.07118037343025208,0.01231391727924347,-0.058866456151008606,0.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,positional,5,second,first,-0.3030957281589508,-0.2936834990978241,0.009412229061126709,1.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,positional,6,new,original,0.029764428734779358,0.04524433612823486,0.015479907393455505,1.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,action,7,replaced,kept,0.04844815284013748,0.03261615335941315,-0.015831999480724335,0.0,1
deepseek-coder-6.7b,base_0013,test,ab,8,jlens,action,8,changed,unchanged,0.004668012261390686,-0.08587324619293213,-0.09054125845432281,0.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,scope,0,local,global,0.03258610516786575,-0.02772049605846405,-0.0603066012263298,0.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,scope,1,inner,outer,0.036586180329322815,0.05811389163136482,0.021527711302042007,1.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,scope,2,inside,outside,0.13687008619308472,0.18164914846420288,0.044779062271118164,1.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,scope,3,nested,module,-0.06513835489749908,0.10319182276725769,0.16833017766475677,1.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,positional,4,later,earlier,0.13261276483535767,0.05478504300117493,-0.07782772183418274,0.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,positional,5,second,first,-0.2554963231086731,-0.2885737419128418,-0.0330774188041687,0.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,positional,6,new,original,0.11371645331382751,0.0734185129404068,-0.040297940373420715,0.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,action,7,replaced,kept,-0.0353359654545784,-0.04957818239927292,-0.014242216944694519,0.0,1
deepseek-coder-6.7b,base_0014,test,ab,8,jlens,action,8,changed,unchanged,0.10695682466030121,-0.03540780395269394,-0.14236462116241455,0.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,scope,0,local,global,0.0404679961502552,-0.044613197445869446,-0.08508118987083435,0.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,scope,1,inner,outer,0.0076653016731143,0.0012193545699119568,-0.006445947103202343,0.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,scope,2,inside,outside,0.1496630162000656,0.15829476714134216,0.00863175094127655,1.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,scope,3,nested,module,-0.0459556058049202,0.1014491617679596,0.1474047601222992,1.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,positional,4,later,earlier,0.06938796490430832,0.019906729459762573,-0.049481235444545746,0.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,positional,5,second,first,-0.2803526222705841,-0.2717534005641937,0.00859922170639038,1.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,positional,6,new,original,0.02951919101178646,0.0032094717025756836,-0.026309719309210777,0.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,action,7,replaced,kept,-0.0001529902219772339,-0.045000847429037094,-0.04484785720705986,0.0,1
deepseek-coder-6.7b,base_0015,test,ab,8,jlens,action,8,changed,unchanged,0.005709841847419739,-0.09525921195745468,-0.10096905380487442,0.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,scope,0,local,global,0.016100406646728516,-0.039101652801036835,-0.05520205944776535,0.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,scope,1,inner,outer,0.0336482971906662,0.008897043764591217,-0.02475125342607498,0.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,scope,2,inside,outside,0.15726110339164734,0.1564357727766037,-0.0008253306150436401,0.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,scope,3,nested,module,-0.005377195775508881,0.11795060336589813,0.12332779914140701,1.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,positional,4,later,earlier,0.0726591944694519,0.020680390298366547,-0.05197880417108536,0.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,positional,5,second,first,-0.32373082637786865,-0.3141946792602539,0.009536147117614746,1.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,positional,6,new,original,0.027524765580892563,0.03791361302137375,0.010388847440481186,1.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,action,7,replaced,kept,0.029825102537870407,-0.0039247795939445496,-0.03374988213181496,0.0,1
deepseek-coder-6.7b,base_0016,test,ab,8,jlens,action,8,changed,unchanged,0.0882813036441803,-0.008470937609672546,-0.09675224125385284,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,scope,0,local,global,-0.00960761308670044,-0.02412271499633789,-0.014515101909637451,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,scope,1,inner,outer,0.010353952646255493,0.008670194074511528,-0.0016837585717439651,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,scope,2,inside,outside,0.20419389009475708,0.1862235814332962,-0.017970308661460876,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,scope,3,nested,module,-0.10073908418416977,0.06283539533615112,0.1635744869709015,1.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,positional,4,later,earlier,0.1383310854434967,0.04236970096826553,-0.09596138447523117,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,positional,5,second,first,-0.37480080127716064,-0.32132604718208313,0.053474754095077515,1.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,positional,6,new,original,0.04403005540370941,0.03886144980788231,-0.005168605595827103,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,action,7,replaced,kept,-0.02597319334745407,-0.0854075700044632,-0.059434376657009125,0.0,1
deepseek-coder-6.7b,base_0017,test,ab,8,jlens,action,8,changed,unchanged,0.07405655086040497,-0.08541937917470932,-0.1594759225845337,0.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,scope,0,local,global,0.04797735437750816,-0.029143378138542175,-0.07712073624134064,0.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,scope,1,inner,outer,0.03403812646865845,0.045927464962005615,0.011889338493347168,1.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,scope,2,inside,outside,0.1467265635728836,0.17206864058971405,0.025342077016830444,1.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,scope,3,nested,module,-0.10665488243103027,0.09625834226608276,0.20291322469711304,1.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,positional,4,later,earlier,0.15560869872570038,0.046530403196811676,-0.1090782955288887,0.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,positional,5,second,first,-0.2833057641983032,-0.29444360733032227,-0.011137843132019043,0.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,positional,6,new,original,0.13381116092205048,0.06846435368061066,-0.06534680724143982,0.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,action,7,replaced,kept,-0.0027077235281467438,-0.021245848387479782,-0.01853812485933304,0.0,1
deepseek-coder-6.7b,base_0018,test,ab,8,jlens,action,8,changed,unchanged,0.07130023837089539,-0.027993835508823395,-0.09929407387971878,0.0,1
deepseek-coder-6.7b,base_0019,test,ab,8,jlens,scope,0,local,global,0.03860335797071457,-0.017387136816978455,-0.055990494787693024,0.0,1
