model,layer,arm,seed,family,pair_index,inner_word,outer_word,reversal,mean_delta,n
deepseek-coder-6.7b,16,ab,44,positional,6,new,original,0.965,0.2120266705751419,400
deepseek-coder-6.7b,16,ab,44,action,7,replaced,kept,0.99,0.292397141456604,400
deepseek-coder-6.7b,16,ab,44,action,8,changed,unchanged,0.99,0.2377062737941742,400
deepseek-coder-6.7b,16,ab,45,scope,0,local,global,0.4375,-0.01608933135867119,400
deepseek-coder-6.7b,16,ab,45,scope,1,inner,outer,0.63,0.027751026675105095,400
deepseek-coder-6.7b,16,ab,45,scope,2,inside,outside,0.1875,-0.07292618602514267,400
deepseek-coder-6.7b,16,ab,45,scope,3,nested,module,0.5175,0.0196649432182312,400
deepseek-coder-6.7b,16,ab,45,positional,4,later,earlier,0.9625,0.1822451800107956,400
deepseek-coder-6.7b,16,ab,45,positional,5,second,first,0.0,-0.19943927228450775,400
deepseek-coder-6.7b,16,ab,45,positional,6,new,original,0.945,0.21447820961475372,400
deepseek-coder-6.7b,16,ab,45,action,7,replaced,kept,0.0,-0.2700747549533844,400
deepseek-coder-6.7b,16,ab,45,action,8,changed,unchanged,0.8375,0.11010712385177612,400
deepseek-coder-6.7b,16,ab,46,scope,0,local,global,0.01,-0.14224976301193237,400
deepseek-coder-6.7b,16,ab,46,scope,1,inner,outer,0.0,-0.25236424803733826,400
deepseek-coder-6.7b,16,ab,46,scope,2,inside,outside,0.0,-0.3056594431400299,400
deepseek-coder-6.7b,16,ab,46,scope,3,nested,module,0.1225,-0.149273082613945,400
deepseek-coder-6.7b,16,ab,46,positional,4,later,earlier,0.275,-0.06796407699584961,400
deepseek-coder-6.7b,16,ab,46,positional,5,second,first,0.765,0.06892648339271545,400
deepseek-coder-6.7b,16,ab,46,positional,6,new,original,0.0,-0.3344796895980835,400
deepseek-coder-6.7b,16,ab,46,action,7,replaced,kept,0.9075,0.1305401772260666,400
deepseek-coder-6.7b,16,ab,46,action,8,changed,unchanged,1.0,0.477244108915329,400
deepseek-coder-6.7b,16,ba,42,scope,0,local,global,0.72,0.03812934458255768,400
deepseek-coder-6.7b,16,ba,42,scope,1,inner,outer,0.65,0.027356065809726715,400
deepseek-coder-6.7b,16,ba,42,scope,2,inside,outside,0.6375,0.03364820405840874,400
deepseek-coder-6.7b,16,ba,42,scope,3,nested,module,0.1775,-0.08548714965581894,400
deepseek-coder-6.7b,16,ba,42,positional,4,later,earlier,0.4225,-0.01584116369485855,400
deepseek-coder-6.7b,16,ba,42,positional,5,second,first,1.0,0.4076756238937378,400
deepseek-coder-6.7b,16,ba,42,positional,6,new,original,0.935,0.16658318042755127,400
deepseek-coder-6.7b,16,ba,42,action,7,replaced,kept,0.0,-0.42373210191726685,400
deepseek-coder-6.7b,16,ba,42,action,8,changed,unchanged,0.9575,0.17834678292274475,400
deepseek-coder-6.7b,16,ba,43,scope,0,local,global,0.0025,-0.287995845079422,400
deepseek-coder-6.7b,16,ba,43,scope,1,inner,outer,1.0,0.2842363119125366,400
deepseek-coder-6.7b,16,ba,43,scope,2,inside,outside,0.9975,0.28102460503578186,400
deepseek-coder-6.7b,16,ba,43,scope,3,nested,module,0.005,-0.24324356019496918,400
deepseek-coder-6.7b,16,ba,43,positional,4,later,earlier,0.3625,-0.04052470624446869,400
deepseek-coder-6.7b,16,ba,43,positional,5,second,first,0.9325,0.14847053587436676,400
deepseek-coder-6.7b,16,ba,43,positional,6,new,original,0.815,0.11989123374223709,400
deepseek-coder-6.7b,16,ba,43,action,7,replaced,kept,0.1225,-0.14045992493629456,400
deepseek-coder-6.7b,16,ba,43,action,8,changed,unchanged,0.52,0.010768906213343143,400
deepseek-coder-6.7b,16,ba,44,scope,0,local,global,0.0225,-0.1882428377866745,400
deepseek-coder-6.7b,16,ba,44,scope,1,inner,outer,0.1425,-0.10576516389846802,400
deepseek-coder-6.7b,16,ba,44,scope,2,inside,outside,0.0,-0.23680379986763,400
deepseek-coder-6.7b,16,ba,44,scope,3,nested,module,0.7125,0.058933697640895844,400
deepseek-coder-6.7b,16,ba,44,positional,4,later,earlier,0.6475,0.026101864874362946,400
deepseek-coder-6.7b,16,ba,44,positional,5,second,first,0.99,0.20845508575439453,400
deepseek-coder-6.7b,16,ba,44,positional,6,new,original,0.975,0.21619845926761627,400
deepseek-coder-6.7b,16,ba,44,action,7,replaced,kept,0.99,0.2896655201911926,400
deepseek-coder-6.7b,16,ba,44,action,8,changed,unchanged,0.99,0.23472893238067627,400
deepseek-coder-6.7b,16,ba,45,scope,0,local,global,0.4275,-0.01312814000993967,400
deepseek-coder-6.7b,16,ba,45,scope,1,inner,outer,0.6025,0.024704914540052414,400
deepseek-coder-6.7b,16,ba,45,scope,2,inside,outside,0.1775,-0.0756339579820633,400
deepseek-coder-6.7b,16,ba,45,scope,3,nested,module,0.5625,0.02002868428826332,400
deepseek-coder-6.7b,16,ba,45,positional,4,later,earlier,0.9625,0.18135389685630798,400
deepseek-coder-6.7b,16,ba,45,positional,5,second,first,0.01,-0.1991039663553238,400
deepseek-coder-6.7b,16,ba,45,positional,6,new,original,0.95,0.21086540818214417,400
deepseek-coder-6.7b,16,ba,45,action,7,replaced,kept,0.0,-0.26987242698669434,400
deepseek-coder-6.7b,16,ba,45,action,8,changed,unchanged,0.855,0.10747556388378143,400
deepseek-coder-6.7b,16,ba,46,scope,0,local,global,0.005,-0.1431976556777954,400
deepseek-coder-6.7b,16,ba,46,scope,1,inner,outer,0.0,-0.2524673044681549,400
deepseek-coder-6.7b,16,ba,46,scope,2,inside,outside,0.0,-0.30274248123168945,400
deepseek-coder-6.7b,16,ba,46,scope,3,nested,module,0.1075,-0.14987748861312866,400
deepseek-coder-6.7b,16,ba,46,positional,4,later,earlier,0.2825,-0.06974556297063828,400
deepseek-coder-6.7b,16,ba,46,positional,5,second,first,0.7825,0.06601206213235855,400
deepseek-coder-6.7b,16,ba,46,positional,6,new,original,0.0,-0.337493360042572,400
deepseek-coder-6.7b,16,ba,46,action,7,replaced,kept,0.8825,0.12986668944358826,400
deepseek-coder-6.7b,16,ba,46,action,8,changed,unchanged,1.0,0.477339506149292,400
deepseek-coder-6.7b,20,ab,42,scope,0,local,global,0.14,-0.19347374141216278,400
deepseek-coder-6.7b,20,ab,42,scope,1,inner,outer,0.4025,-0.033054791390895844,400
deepseek-coder-6.7b,20,ab,42,scope,2,inside,outside,0.89,0.1693728268146515,400
deepseek-coder-6.7b,20,ab,42,scope,3,nested,module,0.735,0.11217304319143295,400
deepseek-coder-6.7b,20,ab,42,positional,4,later,earlier,1.0,0.6427004337310791,400
deepseek-coder-6.7b,20,ab,42,positional,5,second,first,0.575,0.01784713752567768,400
deepseek-coder-6.7b,20,ab,42,positional,6,new,original,0.945,0.2487783581018448,400
deepseek-coder-6.7b,20,ab,42,action,7,replaced,kept,0.0025,-0.4739302098751068,400
deepseek-coder-6.7b,20,ab,42,action,8,changed,unchanged,0.975,0.3129757344722748,400
deepseek-coder-6.7b,20,ab,43,scope,0,local,global,0.965,0.3380144536495209,400
deepseek-coder-6.7b,20,ab,43,scope,1,inner,outer,0.1025,-0.13560821115970612,400
deepseek-coder-6.7b,20,ab,43,scope,2,inside,outside,0.1225,-0.18352290987968445,400
deepseek-coder-6.7b,20,ab,43,scope,3,nested,module,1.0,0.6203649640083313,400
deepseek-coder-6.7b,20,ab,43,positional,4,later,earlier,0.96,0.3032538592815399,400
deepseek-coder-6.7b,20,ab,43,positional,5,second,first,0.1,-0.24191837012767792,400
deepseek-coder-6.7b,20,ab,43,positional,6,new,original,0.0925,-0.20509721338748932,400
deepseek-coder-6.7b,20,ab,43,action,7,replaced,kept,0.94,0.33617332577705383,400
deepseek-coder-6.7b,20,ab,43,action,8,changed,unchanged,0.8925,0.18805573880672455,400
deepseek-coder-6.7b,20,ab,44,scope,0,local,global,0.0,-0.5865926146507263,400
deepseek-coder-6.7b,20,ab,44,scope,1,inner,outer,0.005,-0.34128719568252563,400
deepseek-coder-6.7b,20,ab,44,scope,2,inside,outside,0.0,-0.5422866344451904,400
deepseek-coder-6.7b,20,ab,44,scope,3,nested,module,0.1525,-0.2523174285888672,400
deepseek-coder-6.7b,20,ab,44,positional,4,later,earlier,0.335,-0.06408887356519699,400
deepseek-coder-6.7b,20,ab,44,positional,5,second,first,0.9975,0.25872981548309326,400
deepseek-coder-6.7b,20,ab,44,positional,6,new,original,0.4125,-0.04198307916522026,400
deepseek-coder-6.7b,20,ab,44,action,7,replaced,kept,0.905,0.25696685910224915,400
deepseek-coder-6.7b,20,ab,44,action,8,changed,unchanged,0.63,0.05252000316977501,400
deepseek-coder-6.7b,20,ab,45,scope,0,local,global,0.655,0.08553487807512283,400
deepseek-coder-6.7b,20,ab,45,scope,1,inner,outer,0.94,0.20331977307796478,400
