model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,offtarget_r,erase,1.75,1.75,0.0,0.023271840949710385
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,random,erase,1.75,1.5,-0.25,0.010799322298065066
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,random_matched,erase,1.75,1.5,-0.25,0.029916087433627093
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,jlens,erase,1.75,1.75,0.0,0.012817865728826318
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,rlens,erase,1.75,1.75,0.0,0.00799134982008948
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,logit,erase,1.75,1.5,-0.25,0.014652938462625671
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,offtarget_j,erase,1.75,1.5,-0.25,0.013973222316238845
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,offtarget_r,erase,1.75,1.75,0.0,0.012770105020523344
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,random,erase,1.75,1.5,-0.25,0.015401851798810732
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,random_matched,erase,1.75,1.75,0.0,0.012817865728826318
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,jlens,erase,1.75,1.25,-0.5,0.1361096600717637
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,rlens,erase,1.75,1.5,-0.25,0.13801388703044742
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,logit,erase,1.75,1.25,-0.5,0.13732899797016243
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,offtarget_j,erase,1.75,1.75,0.0,0.07862659743672719
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,offtarget_r,erase,1.75,1.75,0.0,0.07424458804650906
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,random,erase,1.75,1.5,-0.25,0.013541520480924364
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,24,random_matched,erase,1.75,1.75,0.0,0.1361096600717637
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,jlens,erase,1.75,1.25,-0.5,0.10691561722350383
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,rlens,erase,1.75,1.25,-0.5,0.11527577986778814
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,logit,erase,1.75,1.25,-0.5,0.1085265107589418
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,offtarget_j,erase,1.75,2.0,0.25,0.06883128013691645
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,offtarget_r,erase,1.75,1.75,0.0,0.07322876436210697
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,random,erase,1.75,1.75,0.0,0.004827821447668547
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,25,random_matched,erase,1.75,1.75,0.0,0.10691561722350383
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,jlens,erase,1.75,1.125,-0.625,0.13490047742253086
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,rlens,erase,1.75,1.0625,-0.6875,0.13981163985394887
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,logit,erase,1.75,1.0,-0.75,0.13305688803086174
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,offtarget_j,erase,1.75,2.25,0.5,0.08397365640550403
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,offtarget_r,erase,1.75,2.125,0.375,0.0848980316103851
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,random,erase,1.75,1.75,0.0,0.02623238625342981
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,26,random_matched,erase,1.75,1.75,0.0,0.13490046324390972
starcoder2-3b,defuse-0-use,defuse,,,use,24,jlens,erase,1.625,1.5,-0.125,0.01412060857973701
starcoder2-3b,defuse-0-use,defuse,,,use,24,rlens,erase,1.625,1.5,-0.125,0.023334861236145057
starcoder2-3b,defuse-0-use,defuse,,,use,24,logit,erase,1.625,1.625,0.0,0.004055641873072409
starcoder2-3b,defuse-0-use,defuse,,,use,24,offtarget_j,erase,1.625,1.5,-0.125,0.028195259219748286
starcoder2-3b,defuse-0-use,defuse,,,use,24,offtarget_r,erase,1.625,1.625,0.0,0.03705027533693786
starcoder2-3b,defuse-0-use,defuse,,,use,24,random,erase,1.625,1.5,-0.125,0.03454356866014732
starcoder2-3b,defuse-0-use,defuse,,,use,24,random_matched,erase,1.625,1.5,-0.125,0.01412060857973701
starcoder2-3b,defuse-0-use,defuse,,,use,25,jlens,erase,1.625,1.625,0.0,0.020466963378017237
starcoder2-3b,defuse-0-use,defuse,,,use,25,rlens,erase,1.625,1.625,0.0,0.01550033300869434
starcoder2-3b,defuse-0-use,defuse,,,use,25,logit,erase,1.625,1.625,0.0,0.00922363452573638
starcoder2-3b,defuse-0-use,defuse,,,use,25,offtarget_j,erase,1.625,1.625,0.0,0.03426663659735274
starcoder2-3b,defuse-0-use,defuse,,,use,25,offtarget_r,erase,1.625,1.625,0.0,0.032224795496402434
starcoder2-3b,defuse-0-use,defuse,,,use,25,random,erase,1.625,1.625,0.0,0.041770825865452964
starcoder2-3b,defuse-0-use,defuse,,,use,25,random_matched,erase,1.625,1.5,-0.125,0.020466963378017237
starcoder2-3b,defuse-0-use,defuse,,,use,26,jlens,erase,1.625,1.625,0.0,0.012992540461829297
starcoder2-3b,defuse-0-use,defuse,,,use,26,rlens,erase,1.625,1.5,-0.125,0.011244092681781186
starcoder2-3b,defuse-0-use,defuse,,,use,26,logit,erase,1.625,1.5,-0.125,0.0034311298154313372
