model,split,correct_only,layer,target_condition,statistic,role,token_identical,mean_delta_ab,mean_delta_ba,median_delta_ab,median_delta_ba,sign_consistency_ab,sign_consistency_ba,signs_agree,arm_ratio,both_significant_sign
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_outer_def,outer_def,1,0.029816797473070773,0.0014498907932297138,0.025731697315518956,0.0020369967662697275,0.9821428571428571,0.6,1,0.048626643908997666,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_outer_def_name,outer_def_name,1,0.005828899676124389,0.0035493955452396086,0.005712396515260627,0.003924123259707105,0.8392857142857143,0.7535714285714286,1,0.6089306288420436,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_outer_def_value,outer_def_value,1,0.02398789779694638,-0.002099504752009894,0.020087928865723054,-0.0022903319791917794,0.9535714285714286,0.3535714285714286,0,-0.0875234991320147,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_return_kw,return_kw,1,-0.0013458733068295,-0.0033129057788518837,-0.0009432651409550536,-0.0030879283028224036,0.43214285714285716,0.23214285714285715,1,2.4615287055927726,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_signature,signature,1,0.013560553720186394,0.003005065696975114,0.012921104766278065,0.0030506707455706036,1.0,0.7142857142857143,1,0.22160346538812342,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_suffix,suffix,1,-0.05940550901672409,0.016484418046246993,-0.060072127562681044,0.0151683794242235,0.007142857142857143,0.7964285714285714,0,-0.27748971970943354,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_use_site,use_site,1,-0.01047965993092146,-0.016442432561735,-0.010767555403196677,-0.016434054702240634,0.08214285714285714,0.025,1,1.5689853172830237,1
deepseek-coder-6.7b,test,0,19,fixed_b,binding_shift,binding_shift,0,-0.004443873499997894,-0.018348684491569494,-0.004330613120073778,-0.01379881106113006,0.39285714285714285,0.22857142857142856,1,4.128984430267466,1
deepseek-coder-6.7b,test,0,19,fixed_b,binding_shift_identical,binding_shift_identical,1,-0.007862868773490428,-0.024029609525161078,-0.0077757080767310235,-0.01971616082416294,0.3142857142857143,0.13214285714285715,1,3.0560868071684766,1
deepseek-coder-6.7b,test,0,19,fixed_b,delta_frac_both_defs,both_defs,0,-0.0024196197638593,0.04283494330317531,-0.0015349332123809067,0.043262470849751586,0.45357142857142857,0.9928571428571429,0,-17.703171358979752,0
deepseek-coder-6.7b,test,0,19,fixed_b,delta_frac_inner_def,inner_def,0,-0.0034317466319285957,0.012243129405802909,-0.003390738908776496,0.0132184171200408,0.42857142857142855,0.7928571428571428,0,-3.567608777377144,1
deepseek-coder-6.7b,test,0,19,fixed_b,delta_frac_inner_def_identical,inner_def_identical,1,-0.006850741905421132,0.006562204372211323,-0.00687497451423142,0.008131503680447717,0.32857142857142857,0.6607142857142857,0,-0.9578822940357039,1
deepseek-coder-6.7b,test,0,19,fixed_b,delta_frac_inner_def_name,inner_def_name,0,0.0034189952734925352,0.005680925033591587,0.0032976294147269566,0.005273367342199936,0.7142857142857143,0.8357142857142857,1,1.6615773287654971,1
