model,base_id,split,arm,binding,cell,layer,target_mode,target_token,score,rho,n_tokens,frac_inner_def_name,frac_inner_def_value,frac_outer_def_name,frac_outer_def_value,frac_use_site,frac_return_kw,frac_signature,frac_suffix,frac_other,frac_outer_def,frac_inner_def,frac_inner_def_identical,frac_both_defs,ntok_inner_def_name,ntok_inner_def_value,ntok_outer_def_name,ntok_outer_def_value,ntok_use_site,ntok_return_kw,ntok_signature,ntok_suffix,ntok_other
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,27,bound,17,482.4418640136719,1.0000001339258464,21,0.007219349345342788,0.016737822967861592,0.008554586079587416,0.024234116137647383,0.011821506952995052,0.006577781284998629,0.04669001826056676,0.7673570713716632,0.11080788152518352,0.0327887022172348,0.02395717231320438,0.016737822967861592,0.05674587453043918,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,27,other,21,418.57916259765625,0.9999999461737283,21,0.007728016106661402,0.032560914069566335,0.007096309843057765,0.011886349061483076,0.01175333038920525,0.007156993410871477,0.04788370433126213,0.7654733739558364,0.1084609550057845,0.01898265890454084,0.040288930176227734,0.032560914069566335,0.05927158908076858,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,0,bound,21,477.5423278808594,1.0000003297623317,21,0.003257909796613098,0.08519319621216803,0.3427362491833677,0.01571342822809174,0.0013124168849145779,0.020601459572713813,0.03855826318959859,0.15794644122129275,0.33468096547357135,0.35844967741145944,0.08845110600878113,0.08519319621216803,0.4469007834202406,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,0,other,17,405.45648193359375,1.000000403973228,21,0.005401573662362436,0.025900084340672036,0.36732603753214477,0.032261069134588156,0.003357200106928362,0.021210196253228397,0.03769268558617125,0.18308540408481172,0.3237661532723209,0.3995871066667329,0.03130165800303447,0.025900084340672036,0.4308887646697674,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,3,bound,21,477.5423278808594,0.999999974100801,21,0.00867984183326456,0.09296536635389827,0.3179230561242967,0.017825167287007945,0.008194632384287762,0.0212730384096939,0.028865054971185973,0.17194010771558502,0.3323337090215809,0.33574822341130467,0.10164520818716283,0.09296536635389827,0.43739343159846744,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,3,other,17,405.45648193359375,1.0000000170527272,21,0.011803926020461541,0.02844803228180525,0.333216857326036,0.04440448320103616,0.010728519886123722,0.02225815102486091,0.02930185880654204,0.19973279152608633,0.32010539697977525,0.3776213405270722,0.04025195830226679,0.02844803228180525,0.417873298829339,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,7,bound,21,477.5423278808594,0.9999998842337007,21,0.01582249493501035,0.11937755474192502,0.2386230967106756,0.02152188440429248,0.020891672392066338,0.01999875687838791,0.0436989214374301,0.23930967436668218,0.28075582836723073,0.2601449811149681,0.13520004967693536,0.11937755474192502,0.3953450307919035,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,7,other,17,405.45648193359375,0.9999999993384717,21,0.019065678204979408,0.03288731584183589,0.26084425498182373,0.05435644540967115,0.02180107207603072,0.020647611492941666,0.046361009044070305,0.2677577481383032,0.27627886414881575,0.3152007003914949,0.051952994046815304,0.03288731584183589,0.3671536944383102,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,11,bound,21,477.5423278808594,0.9999999256100114,21,0.014420065914362677,0.1588948426796928,0.146119032161526,0.021898559359288635,0.033543322524571186,0.013673500970436871,0.057016253627355684,0.3356137562677709,0.21882059210500673,0.16801759152081464,0.1733149085940555,0.1588948426796928,0.34133250011487015,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,11,other,17,405.45648193359375,0.9999999826532602,21,0.01874610186415804,0.041935177733731406,0.16750858685963976,0.06437965744086369,0.03297193970674992,0.015367238031346986,0.06621739575002195,0.36053560155962694,0.23233828370712156,0.23188824430050345,0.06068127959788945,0.041935177733731406,0.2925695238983929,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,15,bound,21,477.5423278808594,0.9999999169977478,21,0.014354151391922358,0.17238219293873694,0.08443566848053889,0.026169095884888825,0.030654898065305917,0.012243195175301395,0.06684734993025035,0.4345814321182747,0.1583319330125283,0.11060476436542771,0.1867363443306593,0.17238219293873694,0.297341108696087,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,15,other,17,405.45648193359375,0.9999999023878372,21,0.01915237074211512,0.040077535951759134,0.09669298083591463,0.07468769941106419,0.03393971137885163,0.014306364348767779,0.08197363236280782,0.45871433594977207,0.1804552714067848,0.17138068024697883,0.059229906693874255,0.040077535951759134,0.2306105869408531,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,19,bound,21,477.5423278808594,0.9999999076365915,21,0.015152335998213714,0.08817499458560707,0.04100356595848942,0.015610190900407314,0.022582010638730932,0.013080527887494635,0.0718947865387168,0.6130131327546521,0.11948836237427952,0.05661375685889673,0.10332733058382078,0.08817499458560707,0.1599410874427175,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,19,other,17,405.45648193359375,0.9999999564861444,21,0.017203049970352245,0.023207830341386473,0.04741392027907877,0.0649568064062632,0.026259946279534287,0.015324538002339004,0.0842210677361234,0.5799180131217843,0.14149478434928262,0.11237072668534197,0.040410880311738714,0.023207830341386473,0.1527816069970807,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,23,bound,21,477.5423278808594,0.9999999520708799,21,0.01755275414463871,0.06482846455484999,0.026513909957287484,0.013850131760346475,0.015512601220709956,0.011259736561106081,0.06511598934938265,0.6829989723357592,0.10236739218679933,0.040364041717633956,0.0823812186994887,0.06482846455484999,0.12274526041712265,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,23,other,17,405.45648193359375,0.9999999800071473,21,0.019024123648821865,0.022108670346028956,0.030536697356118827,0.06345281701833765,0.01851028616743733,0.012987815725246986,0.07594154057903667,0.6380170052900807,0.11942102387603852,0.09398951437445648,0.04113279399485082,0.022108670346028956,0.1351223083693073,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,27,bound,21,477.5423278808594,1.0000000184726818,21,0.013448898123907257,0.025274315129619192,0.007960204068134248,0.009450865606299855,0.00897135672704692,0.008412916575148675,0.053244174958351195,0.7754216622256609,0.09781562505851346,0.017411069674434104,0.03872321325352645,0.025274315129619192,0.05613428292796055,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,target,ab_target,27,other,17,405.45648193359375,1.000000045277931,21,0.015624057983826281,0.01572990602587777,0.009830572663792362,0.024036802222159,0.01069795316655926,0.009878025111474502,0.062110028825083374,0.7411157549097931,0.1109769443693654,0.03386737488595136,0.031353964009704055,0.01572990602587777,0.06522133889565541,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,0,bound,21,493.16619873046875,1.0000001548231614,21,0.003879888002883032,0.021780150085983538,0.39258802715582297,0.07730786438425082,0.02013125175200355,0.018682745108777377,0.030118664012594006,0.1539079773478704,0.2816035869729757,0.4698958915400738,0.02566003808886657,0.021780150085983538,0.49555592962894035,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,0,other,17,448.6292724609375,1.0000000863586518,21,0.011072945653413133,0.038794674451882644,0.34603961285066737,0.03244258481442088,0.029843445549880537,0.019738252485394556,0.03919868626521052,0.17042069692131334,0.3124491873664689,0.3784821976650882,0.049867620105295773,0.038794674451882644,0.42834981777038406,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,3,bound,21,493.16619873046875,1.0000000501573865,21,0.004987721568501869,0.02357001508966236,0.35683298401553953,0.09606079986039665,0.0330941365043592,0.016320555078041123,0.025739558213547342,0.16656893397197536,0.27682534585536295,0.45289378387593615,0.02855773665816423,0.02357001508966236,0.48145152053410034,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,3,other,17,448.6292724609375,1.0000000427807476,21,0.011083457494222718,0.04343222226938556,0.3180227192149699,0.03855537436217254,0.04489976452796346,0.016466908104412013,0.031011528421908803,0.1841824029880174,0.3123456653976951,0.35657809357714243,0.05451567976360828,0.04343222226938556,0.4110937733407507,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,7,bound,21,493.16619873046875,1.0000000528163322,21,0.005321388807412344,0.02822444650611043,0.27173607540066347,0.12105291004308769,0.04429946002709147,0.015032859542068816,0.03646066160295098,0.22904228408354665,0.24882996680340028,0.3927889854437512,0.03354583531352277,0.02822444650611043,0.42633482075727397,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,7,other,17,448.6292724609375,0.9999999378217708,21,0.009810406611012113,0.05272528475545764,0.2541153357217936,0.046894246553425674,0.05546251283273622,0.0148833901623217,0.039469564392377934,0.2493821556619406,0.2772570411307052,0.3010095822752193,0.06253569136646975,0.05272528475545764,0.36354527364168904,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,11,bound,21,493.16619873046875,1.000000052453749,21,0.0035342646933924173,0.027810555972220416,0.15622740186150183,0.15931145409642408,0.06062902264656032,0.01000222887338978,0.05387013233080055,0.3246967216107356,0.20391827036872368,0.3155388559579259,0.03134482066561283,0.027810555972220416,0.34688367662353875,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,11,other,17,448.6292724609375,1.0000000271033307,21,0.00869235489314647,0.060784769436578595,0.15626441259467927,0.06132019095165912,0.06694378982637815,0.010570182057515146,0.06325392750432565,0.3500280922302663,0.222142307608782,0.2175846035463384,0.06947712432972507,0.060784769436578595,0.28706172787606343,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,15,bound,21,493.16619873046875,1.0000000551126944,21,0.008158643495974956,0.02911223079479235,0.07901741762257218,0.17441499325188567,0.05265391022439878,0.010736401513112257,0.05973477566928856,0.4217299839975941,0.1644416985430756,0.25343241087445784,0.03727087429076731,0.02911223079479235,0.29070328516522514,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,15,other,17,448.6292724609375,0.9999999617364744,21,0.01149652182000511,0.07656750869551376,0.08168480459820782,0.06474089487944915,0.06182805847673482,0.011512829522082102,0.06861511193118633,0.44179450042936774,0.18175973138392745,0.14642569947765696,0.08806403051551888,0.07656750869551376,0.23448972999317583,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,19,bound,21,493.16619873046875,1.0000000193377874,21,0.007820990255611516,0.024307341722529668,0.03399554426435034,0.07980147982032255,0.03681090180921246,0.01321595160942991,0.0586050804931538,0.6110633474205248,0.13437938194265248,0.1137970240846729,0.03212833197814118,0.024307341722529668,0.1459253560628141,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,19,other,17,448.6292724609375,0.9999999713023557,21,0.009316269314407412,0.07185086591889193,0.03719553117392361,0.024570935780947337,0.041044429463282114,0.014379232073487192,0.0648786616408461,0.5847688681526655,0.15199517778390445,0.061766466954870945,0.08116713523329935,0.07185086591889193,0.1429336021881703,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,23,bound,21,493.16619873046875,1.000000021755011,21,0.00787410632348746,0.02178405051772672,0.02349012875563039,0.061878065812833734,0.027346992463522745,0.011060415811936458,0.05115825998897282,0.6833688394450024,0.11203916263589823,0.08536819456846412,0.02965815684121418,0.02178405051772672,0.1150263514096783,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,23,other,17,448.6292724609375,0.9999999941541836,21,0.009026931161842538,0.06974523260278229,0.025956836430196036,0.01782803205789608,0.030092011790063645,0.012540664349359526,0.05639086355607671,0.6518866507333945,0.1265327714725723,0.04378486848809211,0.07877216376462483,0.06974523260278229,0.12255703225271694,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ba,source,ba_source,27,bound,21,493.16619873046875,0.9999999625330367,21,0.006727891842362069,0.010497196949023117,0.0063527996784667395,0.030339876699172715,0.010570153586896591,0.006000383971109036,0.03825833713900992,0.7950012873165153,0.09625203535048114,0.036692676377639455,0.017225088791385186,0.010497196949023117,0.05391776516902464,1,1,1,1,1,1,3,5,7
