model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-6.7b,flip_ab,3,fixed_a,1,other,-0.003252052432270498,-0.0031944993873495257,0.1575,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,2,outer_def_value,-0.028734064957798483,-0.02851206413385737,0.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,3,other,0.020506420448557643,0.020193029982991745,1.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,4,signature,0.00018013262295410784,0.00018935660660884986,0.5475,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,5,signature,7.04551803729745e-05,9.044236352172643e-05,0.53,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,6,signature,0.0006902369630447651,0.0007587640340435435,0.5975,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,7,other,0.00037598126889316913,0.000313151327252628,0.645,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,8,other,0.00028489473019543005,0.0002654616158442619,0.5625,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,9,inner_def_name,0.007235372279537178,0.0073765592236103355,0.92,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,10,other,0.005759115616592913,0.005946942527151907,0.9375,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,11,inner_def_value,0.00941107341307887,0.009566515888066857,0.825,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,12,other,0.0031664216188604776,0.003190935093333815,0.9875,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,13,other,0.0009912984865247374,0.0009739950874074579,0.8975,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,14,return_kw,-0.0007358154318281084,-0.0008340561130082361,0.4075,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,15,use_site,-0.026620534745240478,-0.0260733664423815,0.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,16,suffix,-0.004246936248634817,-0.004152385514742312,0.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,17,suffix,0.003949364686779907,0.0038087776236569656,0.9225,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,18,suffix,0.0031305534738514306,0.0030263091118006734,1.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,19,suffix,0.007459636268565348,0.007370483558957763,1.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,20,suffix,0.004254788248542177,0.00387090107209518,0.7875,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,0,outer_def_name,0.001593240347211402,0.0016256330554629272,0.5825,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,1,other,-0.0020042202572726282,-0.0018328111541314872,0.3175,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,2,outer_def_value,-0.011315499908646815,-0.011023838238486754,0.1275,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,3,other,0.014967554350798384,0.014538188749173314,0.9975,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,4,signature,-0.0009213530410134288,-0.0007683060439572335,0.425,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,5,signature,-0.0003371051561893244,-0.0002971543492088101,0.39,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,6,signature,0.0039541481611725555,0.004070765755646565,0.9175,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,7,other,-0.0003178519262756944,-0.00036206965619026924,0.3025,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,8,other,0.000589480814805458,0.0005723833299678162,0.62,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,9,inner_def_name,0.0036635797548520734,0.003446088453731478,0.745,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,10,other,0.005583436560617933,0.005773202362494991,0.9325,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,11,inner_def_value,0.02786698636169555,0.027793976235541012,1.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,12,other,0.001999551428894649,0.002041310016619316,0.895,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,13,other,0.000864694157820898,0.0008580854679609701,0.8325,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,14,return_kw,0.0006523529922380433,0.0005114836646039293,0.5975,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,15,use_site,-0.035024665618369956,-0.03464307856159329,0.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,16,suffix,-0.00410675265005861,-0.004045707207656071,0.0,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,17,suffix,-0.0020268756659563313,-0.002116065646091788,0.2575,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,18,suffix,0.0015015501119959606,0.001518849317664636,0.9025,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,19,suffix,0.0018291226217199477,0.001794938782204037,0.73,400
deepseek-coder-6.7b,flip_ab,3,fixed_b,20,suffix,-0.009011387144319491,-0.009376800330275763,0.075,400
deepseek-coder-6.7b,flip_ab,3,other,0,outer_def_name,0.025534078408178118,0.024193583188160117,1.0,400
deepseek-coder-6.7b,flip_ab,3,other,1,other,0.0057658335036488775,0.005816661215265754,0.89,400
deepseek-coder-6.7b,flip_ab,3,other,2,outer_def_value,0.015400217261116164,0.015358464563867738,0.885,400
deepseek-coder-6.7b,flip_ab,3,other,3,other,-0.004494060064222693,-0.004241420727700368,0.31,400
deepseek-coder-6.7b,flip_ab,3,other,4,signature,-9.247742536267424e-05,-5.5428439013988084e-05,0.4975,400
deepseek-coder-6.7b,flip_ab,3,other,5,signature,-0.0008414831940818984,-0.0008237921651293428,0.3125,400
deepseek-coder-6.7b,flip_ab,3,other,6,signature,-0.0007593581081605361,-0.0007435089424782898,0.3925,400
deepseek-coder-6.7b,flip_ab,3,other,7,other,-0.00018777812224681965,-0.00021336521595852805,0.4125,400
deepseek-coder-6.7b,flip_ab,3,other,8,other,-0.00023112566227184668,-0.00024441142805797865,0.4475,400
deepseek-coder-6.7b,flip_ab,3,other,9,inner_def_name,0.0047686644276961725,0.004427870602863279,0.8075,400
deepseek-coder-6.7b,flip_ab,3,other,10,other,-0.000844421995948758,-0.0008131690347734678,0.44,400
deepseek-coder-6.7b,flip_ab,3,other,11,inner_def_value,-0.016575367765326674,-0.01659103333925062,0.1275,400
deepseek-coder-6.7b,flip_ab,3,other,12,other,0.0018969334266618401,0.001960898608315185,0.885,400
deepseek-coder-6.7b,flip_ab,3,other,13,other,0.0009347644523925009,0.0008777961195606718,0.84,400
deepseek-coder-6.7b,flip_ab,3,other,14,return_kw,0.0002762318645158802,0.0004682742763373708,0.525,400
deepseek-coder-6.7b,flip_ab,3,other,15,use_site,-0.033134042118752045,-0.032527494939787994,0.0,400
deepseek-coder-6.7b,flip_ab,3,other,16,suffix,-0.004255473869909661,-0.004224175510271419,0.0075,400
deepseek-coder-6.7b,flip_ab,3,other,17,suffix,0.0017412070625045556,0.0013580755472702086,0.6475,400
deepseek-coder-6.7b,flip_ab,3,other,18,suffix,0.0025210929688290313,0.0025203667172357044,0.985,400
deepseek-coder-6.7b,flip_ab,3,other,19,suffix,0.00508254244847867,0.004792475990598925,0.98,400
deepseek-coder-6.7b,flip_ab,3,other,20,suffix,-0.0025059745154947456,-0.0030620544635499083,0.33,400
deepseek-coder-6.7b,flip_ab,7,bound,0,outer_def_name,-0.024801549176250694,-0.02437387371777508,0.0,400
deepseek-coder-6.7b,flip_ab,7,bound,1,other,-0.007856531458500921,-0.00805907525196732,0.015,400
deepseek-coder-6.7b,flip_ab,7,bound,2,outer_def_value,-0.07315642366182687,-0.07323162582348794,0.0,400
deepseek-coder-6.7b,flip_ab,7,bound,3,other,0.020197017797190117,0.020230703617482054,0.995,400
deepseek-coder-6.7b,flip_ab,7,bound,4,signature,-0.0007939878535749071,-0.0004448905520969722,0.46,400
deepseek-coder-6.7b,flip_ab,7,bound,5,signature,0.0009860978243112525,0.0009955851571930197,0.795,400
