example_id,layer,lens,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_785700,-1,jlens,indent_matched,l,r,8,-0.033171772956848145,False
synthetic_control_785700,-1,logit,indent_matched,l,r,8,0.043554358184337616,True
synthetic_control_785700,-1,random,indent_matched,l,r,8,-1.6835907697677612,False
synthetic_control_785700,-1,jlens,indent_matched,l,o,1,-0.16278231143951416,False
synthetic_control_785700,-1,logit,indent_matched,l,o,1,0.35128381848335266,True
synthetic_control_785700,-1,random,indent_matched,l,o,1,1.0244029760360718,True
synthetic_control_328115,-1,jlens,indent_matched,d,q,-22,-0.050237059593200684,False
synthetic_control_328115,-1,logit,indent_matched,d,q,-22,-0.7139580249786377,False
synthetic_control_328115,-1,random,indent_matched,d,q,-22,0.16279667615890503,True
synthetic_control_328115,-1,jlens,indent_matched,d,i,-29,-0.035457491874694824,False
synthetic_control_328115,-1,logit,indent_matched,d,i,-29,-1.209075689315796,False
synthetic_control_328115,-1,random,indent_matched,d,i,-29,1.278990626335144,True
synthetic_control_328115,-1,jlens,indent_matched,r,q,-15,-0.07103025913238525,False
synthetic_control_328115,-1,logit,indent_matched,r,q,-15,0.2131420075893402,True
synthetic_control_328115,-1,random,indent_matched,r,q,-15,0.827170193195343,True
synthetic_control_328115,-1,jlens,indent_matched,r,i,-22,-0.056250691413879395,False
synthetic_control_328115,-1,logit,indent_matched,r,i,-22,-0.281975656747818,False
synthetic_control_328115,-1,random,indent_matched,r,i,-22,1.943364143371582,True
synthetic_control_328115,-1,jlens,indent_matched,q,d,-6,0.050237059593200684,True
synthetic_control_328115,-1,logit,indent_matched,q,d,-6,0.7139580249786377,True
synthetic_control_328115,-1,random,indent_matched,q,d,-6,-0.16279667615890503,False
synthetic_control_328115,-1,jlens,indent_matched,q,r,1,0.07103025913238525,True
synthetic_control_328115,-1,logit,indent_matched,q,r,1,-0.2131420075893402,False
synthetic_control_328115,-1,random,indent_matched,q,r,1,-0.827170193195343,False
synthetic_control_328115,-1,jlens,indent_matched,i,d,1,0.035457491874694824,True
synthetic_control_328115,-1,logit,indent_matched,i,d,1,1.209075689315796,True
synthetic_control_328115,-1,random,indent_matched,i,d,1,-1.278990626335144,False
synthetic_control_328115,-1,jlens,indent_matched,i,r,8,0.056250691413879395,True
synthetic_control_328115,-1,logit,indent_matched,i,r,8,0.281975656747818,True
synthetic_control_328115,-1,random,indent_matched,i,r,8,-1.943364143371582,False
synthetic_control_799760,-1,jlens,indent_matched,e,b,-22,0.028078913688659668,True
synthetic_control_799760,-1,logit,indent_matched,e,b,-22,0.4234519600868225,True
synthetic_control_799760,-1,random,indent_matched,e,b,-22,-1.5233862400054932,False
synthetic_control_799760,-1,jlens,indent_matched,e,n,-51,0.0899127721786499,True
synthetic_control_799760,-1,logit,indent_matched,e,n,-51,0.45486313104629517,True
synthetic_control_799760,-1,random,indent_matched,e,n,-51,-0.7925826907157898,False
synthetic_control_799760,-1,jlens,indent_matched,e,s,-44,0.07365620136260986,True
synthetic_control_799760,-1,logit,indent_matched,e,s,-44,0.8077557682991028,True
synthetic_control_799760,-1,random,indent_matched,e,s,-44,-0.2085922360420227,False
synthetic_control_799760,-1,jlens,indent_matched,e,h,-29,0.13872909545898438,True
synthetic_control_799760,-1,logit,indent_matched,e,h,-29,1.054631233215332,True
synthetic_control_799760,-1,random,indent_matched,e,h,-29,-1.3157018423080444,False
synthetic_control_799760,-1,jlens,indent_matched,j,n,-44,-0.020320534706115723,False
synthetic_control_799760,-1,logit,indent_matched,j,n,-44,-0.33471959829330444,False
synthetic_control_799760,-1,random,indent_matched,j,n,-44,-0.744361162185669,False
synthetic_control_799760,-1,jlens,indent_matched,j,b,-15,-0.08215439319610596,False
synthetic_control_799760,-1,logit,indent_matched,j,b,-15,-0.3661307692527771,False
synthetic_control_799760,-1,random,indent_matched,j,b,-15,-1.475164771080017,False
synthetic_control_799760,-1,jlens,indent_matched,j,s,-37,-0.03657710552215576,False
synthetic_control_799760,-1,logit,indent_matched,j,s,-37,0.018173038959503174,True
synthetic_control_799760,-1,random,indent_matched,j,s,-37,-0.16037073731422424,False
synthetic_control_799760,-1,jlens,indent_matched,j,h,-22,0.02849578857421875,True
synthetic_control_799760,-1,logit,indent_matched,j,h,-22,0.2650485634803772,True
synthetic_control_799760,-1,random,indent_matched,j,h,-22,-1.2674803733825684,False
synthetic_control_799760,-1,jlens,indent_matched,b,e,-6,-0.028078913688659668,False
synthetic_control_799760,-1,logit,indent_matched,b,e,-6,-0.4234519600868225,False
synthetic_control_799760,-1,random,indent_matched,b,e,-6,1.5233862400054932,True
synthetic_control_799760,-1,jlens,indent_matched,b,j,1,0.08215439319610596,True
synthetic_control_799760,-1,logit,indent_matched,b,j,1,0.3661307692527771,True
synthetic_control_799760,-1,random,indent_matched,b,j,1,1.475164771080017,True
synthetic_control_799760,-1,jlens,indent_matched,b,n,-29,0.061833858489990234,True
synthetic_control_799760,-1,logit,indent_matched,b,n,-29,0.031411170959472656,True
synthetic_control_799760,-1,random,indent_matched,b,n,-29,0.7308035492897034,True
synthetic_control_799760,-1,jlens,indent_matched,b,s,-22,0.045577287673950195,True
synthetic_control_799760,-1,logit,indent_matched,b,s,-22,0.3843038082122803,True
synthetic_control_799760,-1,random,indent_matched,b,s,-22,1.3147940635681152,True
synthetic_control_799760,-1,jlens,indent_matched,h,s,-15,-0.06507289409637451,False
synthetic_control_799760,-1,logit,indent_matched,h,s,-15,-0.24687552452087402,False
synthetic_control_799760,-1,random,indent_matched,h,s,-15,1.107109546661377,True
synthetic_control_799760,-1,jlens,indent_matched,h,j,8,-0.02849578857421875,False
synthetic_control_799760,-1,logit,indent_matched,h,j,8,-0.2650485634803772,False
synthetic_control_799760,-1,random,indent_matched,h,j,8,1.2674803733825684,True
synthetic_control_799760,-1,jlens,indent_matched,h,n,-22,-0.04881632328033447,False
synthetic_control_799760,-1,logit,indent_matched,h,n,-22,-0.5997681617736816,False
synthetic_control_799760,-1,random,indent_matched,h,n,-22,0.5231191515922546,True
synthetic_control_799760,-1,jlens,indent_matched,h,e,1,-0.13872909545898438,False
synthetic_control_799760,-1,logit,indent_matched,h,e,1,-1.054631233215332,False
synthetic_control_799760,-1,random,indent_matched,h,e,1,1.3157018423080444,True
synthetic_control_799760,-1,jlens,indent_matched,s,h,1,0.06507289409637451,True
synthetic_control_799760,-1,logit,indent_matched,s,h,1,0.24687552452087402,True
synthetic_control_799760,-1,random,indent_matched,s,h,1,-1.107109546661377,False
synthetic_control_799760,-1,jlens,indent_matched,s,b,-6,-0.045577287673950195,False
synthetic_control_799760,-1,logit,indent_matched,s,b,-6,-0.3843038082122803,False
synthetic_control_799760,-1,random,indent_matched,s,b,-6,-1.3147940635681152,False
synthetic_control_799760,-1,jlens,indent_matched,s,e,-28,-0.07365620136260986,False
synthetic_control_799760,-1,logit,indent_matched,s,e,-28,-0.8077557682991028,False
synthetic_control_799760,-1,random,indent_matched,s,e,-28,0.2085922360420227,True
synthetic_control_799760,-1,jlens,indent_matched,s,j,-21,0.03657710552215576,True
synthetic_control_799760,-1,logit,indent_matched,s,j,-21,-0.018173038959503174,False
synthetic_control_799760,-1,random,indent_matched,s,j,-21,0.16037073731422424,True
synthetic_control_799760,-1,jlens,indent_matched,n,j,-14,0.020320534706115723,True
synthetic_control_799760,-1,logit,indent_matched,n,j,-14,0.33471959829330444,True
synthetic_control_799760,-1,random,indent_matched,n,j,-14,0.744361162185669,True
synthetic_control_799760,-1,jlens,indent_matched,n,b,1,-0.061833858489990234,False
synthetic_control_799760,-1,logit,indent_matched,n,b,1,-0.031411170959472656,False
synthetic_control_799760,-1,random,indent_matched,n,b,1,-0.7308035492897034,False
synthetic_control_799760,-1,jlens,indent_matched,n,h,8,0.04881632328033447,True
synthetic_control_799760,-1,logit,indent_matched,n,h,8,0.5997681617736816,True
synthetic_control_799760,-1,random,indent_matched,n,h,8,-0.5231191515922546,False
synthetic_control_799760,-1,jlens,indent_matched,n,e,-21,-0.0899127721786499,False
synthetic_control_799760,-1,logit,indent_matched,n,e,-21,-0.45486313104629517,False
synthetic_control_799760,-1,random,indent_matched,n,e,-21,0.7925826907157898,True
synthetic_control_545178,-1,jlens,indent_matched,t,o,-72,-0.20039772987365723,False
synthetic_control_545178,-1,logit,indent_matched,t,o,-72,0.17166662216186523,True
synthetic_control_545178,-1,random,indent_matched,t,o,-72,-0.6278164982795715,False
synthetic_control_545178,-1,jlens,indent_matched,t,m,-43,-0.1530592441558838,False
synthetic_control_545178,-1,logit,indent_matched,t,m,-43,0.06695213913917542,True
synthetic_control_545178,-1,random,indent_matched,t,m,-43,-2.2844035625457764,False
synthetic_control_545178,-1,jlens,indent_matched,t,i,-36,-0.1270378828048706,False
synthetic_control_545178,-1,logit,indent_matched,t,i,-36,-0.4180384874343872,False
synthetic_control_545178,-1,random,indent_matched,t,i,-36,-1.3924461603164673,False
synthetic_control_545178,-1,jlens,indent_matched,t,h,-29,-0.03871893882751465,False
synthetic_control_545178,-1,logit,indent_matched,t,h,-29,0.43509018421173096,True
synthetic_control_545178,-1,random,indent_matched,t,h,-29,-2.5448498725891113,False
synthetic_control_545178,-1,jlens,indent_matched,n,h,-22,0.04881632328033447,True
synthetic_control_545178,-1,logit,indent_matched,n,h,-22,0.5997681617736816,True
synthetic_control_545178,-1,random,indent_matched,n,h,-22,-0.5231191515922546,False
synthetic_control_545178,-1,jlens,indent_matched,n,b,-51,-0.061833858489990234,False
synthetic_control_545178,-1,logit,indent_matched,n,b,-51,-0.031411170959472656,False
synthetic_control_545178,-1,random,indent_matched,n,b,-51,-0.7308035492897034,False
synthetic_control_545178,-1,jlens,indent_matched,n,m,-36,-0.06552398204803467,False
synthetic_control_545178,-1,logit,indent_matched,n,m,-36,0.2316301167011261,True
synthetic_control_545178,-1,random,indent_matched,n,m,-36,-0.26267266273498535,False
synthetic_control_545178,-1,jlens,indent_matched,n,i,-29,-0.039502620697021484,False
synthetic_control_545178,-1,logit,indent_matched,n,i,-29,-0.2533605098724365,False
synthetic_control_545178,-1,random,indent_matched,n,i,-29,0.629284679889679,True
synthetic_control_545178,-1,jlens,indent_matched,v,z,-51,0.07259213924407959,True
synthetic_control_545178,-1,logit,indent_matched,v,z,-51,-0.32225024700164795,False
synthetic_control_545178,-1,random,indent_matched,v,z,-51,-0.30079400539398193,False
synthetic_control_545178,-1,jlens,indent_matched,v,m,-29,-0.05421602725982666,False
synthetic_control_545178,-1,logit,indent_matched,v,m,-29,-0.07222920656204224,False
synthetic_control_545178,-1,random,indent_matched,v,m,-29,0.5581230521202087,True
synthetic_control_545178,-1,jlens,indent_matched,v,h,-15,0.06012427806854248,True
synthetic_control_545178,-1,logit,indent_matched,v,h,-15,0.2959088385105133,True
synthetic_control_545178,-1,random,indent_matched,v,h,-15,0.29767656326293945,True
synthetic_control_545178,-1,jlens,indent_matched,v,i,-22,-0.028194665908813477,False
synthetic_control_545178,-1,logit,indent_matched,v,i,-22,-0.5572198629379272,False
synthetic_control_545178,-1,random,indent_matched,v,i,-22,1.450080394744873,True
synthetic_control_545178,-1,jlens,indent_matched,h,v,1,-0.06012427806854248,False
synthetic_control_545178,-1,logit,indent_matched,h,v,1,-0.2959088385105133,False
synthetic_control_545178,-1,random,indent_matched,h,v,1,-0.29767656326293945,False
synthetic_control_545178,-1,jlens,indent_matched,h,z,-36,0.01246786117553711,True
synthetic_control_545178,-1,logit,indent_matched,h,z,-36,-0.6181590557098389,False
synthetic_control_545178,-1,random,indent_matched,h,z,-36,-0.5984705686569214,False
synthetic_control_545178,-1,jlens,indent_matched,h,o,-43,-0.16167879104614258,False
synthetic_control_545178,-1,logit,indent_matched,h,o,-43,-0.2634235620498657,False
synthetic_control_545178,-1,random,indent_matched,h,o,-43,1.9170334339141846,True
synthetic_control_545178,-1,jlens,indent_matched,h,n,-6,-0.04881632328033447,False
synthetic_control_545178,-1,logit,indent_matched,h,n,-6,-0.5997681617736816,False
synthetic_control_545178,-1,random,indent_matched,h,n,-6,0.5231191515922546,True
synthetic_control_545178,-1,jlens,indent_matched,i,v,8,0.028194665908813477,True
synthetic_control_545178,-1,logit,indent_matched,i,v,8,0.5572198629379272,True
synthetic_control_545178,-1,random,indent_matched,i,v,8,-1.450080394744873,False
synthetic_control_545178,-1,jlens,indent_matched,i,b,-22,-0.02233123779296875,False
synthetic_control_545178,-1,logit,indent_matched,i,b,-22,0.22194933891296387,True
synthetic_control_545178,-1,random,indent_matched,i,b,-22,-1.3600882291793823,False
synthetic_control_545178,-1,jlens,indent_matched,i,o,-36,-0.07335984706878662,False
synthetic_control_545178,-1,logit,indent_matched,i,o,-36,0.5897051095962524,True
synthetic_control_545178,-1,random,indent_matched,i,o,-36,0.7646296620368958,True
synthetic_control_545178,-1,jlens,indent_matched,i,n,1,0.039502620697021484,True
