split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_index,ci_lo_index,delta_modulus,ci_lo_modulus,delta_mul_sub,ci_lo_mul_sub,delta_threshold,ci_lo_threshold
calib,answer,single,L31,jlens_value,5,-0.064797802883036,0.10373264054457347,False,False,0.10373264054457347,-0.019986974406573505,-0.017361101177003648,-0.09289279497332044,-0.064797802883036,-0.1319048784673214,0.08281251589457193,0.03125001589457194,-0.023871525294250913,-0.057291658450331955
calib,answer,single,L31,logit_value,5,-0.06479779587072484,0.103732630610466,False,False,0.103732630610466,-0.01998697473771042,-0.017361104488372803,-0.0928928015132745,-0.06479779587072484,-0.1319048730766072,0.08281251589457193,0.03125001589457194,-0.023437495860788558,-0.05642360291547246
calib,answer,single,L31,noop_same_value,5,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calib,answer,single,L31,probe_basis,5,-0.026041634877522788,0.1341145849890179,False,False,0.1341145849890179,0.01603733826842573,0.0039062433772616917,-0.03821615278720855,0.027113963575924143,-0.05882354523329174,-0.026041634877522788,-0.14947913497686385,0.0099826380610466,-0.03949652783986595
calib,answer,single,L31,whole_state,5,0.17100693782170615,5.717881937821706,True,False,5.717881937821706,4.269661437968413,0.17100693782170615,-0.09463974999056922,2.0606617541874157,1.499977018465014,0.7479167064030965,-0.103150994181633,0.399305553899871,0.244769965360562
calib,answer,single,L8,cf_push_0.03,5,-0.0008680654896630181,0.0013020800219641791,False,False,0.0013020800219641791,-0.0017360897113879521,-0.0008680654896630181,-0.003038220935397678,0.0009191106347476735,-0.0018382405533510096,0.0010416944821675619,-0.0015624761581420898,8.27842288547092e-10,-0.0026041666666666665
calib,answer,single,L8,cf_push_0.1,5,0.0004340261220932007,0.0039062433772616917,True,False,0.0039062433772616917,0.0017360995213190715,0.0013020800219641791,-0.0026041371954811945,0.0032169100116280947,-0.0009191264124477611,0.0010416785875956218,-0.00156249205271403,0.0004340261220932007,-0.0030382011085748673
calib,answer,single,L8,cf_push_0.3,5,-0.0017361086275842455,0.007378485467698839,False,False,0.007378485467698839,0.0008680704153246349,0.005208333333333333,-0.0004340311719311608,0.007352937670315013,-0.0009191211532143986,0.0031250317891438804,-0.003124988079071045,-0.0017361086275842455,-0.005208331677648757
calib,answer,single,L8,cf_push_1,5,-0.005642360283268822,0.029079859455426533,False,False,0.029079859455426533,0.008246537463532553,0.01519096228811476,-0.0013020901216400994,0.028033081222982967,0.004584080024677166,0.009895829359690349,-0.00625002384185791,-0.005642360283268822,-0.01563585702743795
calib,answer,single,L8,gram_random,5,-0.000868045621448093,0.0036764653290019315,False,False,0.0021701339218351576,-0.008257397760947546,-0.000868045621448093,-0.0039062467714150746,0.0036764653290019315,-0.001378680020570755,-0.0005208094914754232,-0.003645829459031423,0.0008680530720286899,-0.002170142200258043
calib,answer,single,L8,jlens_answer,5,-0.006510416666666667,0.00737846228811476,False,False,-0.006510416666666667,-0.013020833333333334,0.00737846228811476,0.0013020634651184082,0.001838238800273222,-0.008272055361200781,0.0015625238418579101,-0.004687492152055104,-0.0008680596947669983,-0.004785165915058718
calib,answer,single,L8,jlens_offvalue,5,-0.0026041547457377116,0.00737847884496053,False,False,0.004774300588501824,-0.009548621128002803,0.00737847884496053,-0.001302099972963333,0.007352948188781738,-0.005974250725086998,-0.0026041547457377116,-0.008333317538102469,0.001302084161175622,-0.0013020833333333333
calib,answer,single,L8,jlens_value,5,-0.005514716400819666,0.003038192788759867,False,False,-0.005208318432172139,-0.022569441215859517,-3.311369154188368e-09,-0.003906266556845771,-0.005514716400819666,-0.017922799596015147,-0.005208313465118408,-0.011458262304464976,0.003038192788759867,0.00043403108914693195
