model,program_id,base_id,member,condition,condition_kind,condition_order,layer,target_token,target,score,rho,n_tokens,frac_source_expr,frac_trusted_expr,frac_sink_arg,frac_sink_call,frac_taint_chain,frac_trust_chain,frac_signature,frac_other,ntok_source_expr,ntok_trusted_expr,ntok_sink_arg,ntok_sink_call,ntok_taint_chain,ntok_trust_chain,ntok_signature,ntok_other
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,11,5723, safe,-244.15170288085938,1.000000268176308,103,0.03957461757077069,0.013859468660789204,0.0008933762111012966,0.035186858230292176,0.03414695970645919,0.01943761716362901,0.05121925258657014,0.8056821180466962,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,15,24281, vulnerable,-243.84274291992188,1.0000000898007302,103,0.024010753854200654,0.004586319546466712,0.007360969400934846,0.05184653537702377,0.03427988601814469,0.02123692079221989,0.007964519467127333,0.8487141853446123,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,15,5723, safe,-244.15170288085938,1.0000002639955896,103,0.022576623321312494,0.005425582946253895,0.008781938006379367,0.051986230053033995,0.033568348875964674,0.022152058754142626,0.00244127692237215,0.8530682051161302,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,19,24281, vulnerable,-243.84274291992188,1.0000001527437394,103,0.003771849992241316,0.0002581066093384349,0.009731391702777915,0.014219875049458788,0.03569794789593239,0.024563478570931985,-0.015505292418349442,0.9272627953414081,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,19,5723, safe,-244.15170288085938,1.0000003099224608,103,0.0020276152113152587,0.0006885924733782411,0.009691959397264223,0.013651785457461436,0.033976350168814215,0.024120835509764526,-0.02163186708684344,0.9374750387913062,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,23,24281, vulnerable,-243.84274291992188,1.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,23,5723, safe,-244.15170288085938,1.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,0,24281, vulnerable,-160.5968780517578,1.0000001254700308,103,0.037048288376449086,0.004485139540555908,0.012884280248001949,-0.08790509388197601,0.04211536636307008,0.051855994318419356,0.239980772904757,0.6995353776007533,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,0,5723, safe,-159.97523498535156,1.0000001759540686,103,0.030734409821580332,0.006055425277552649,0.013514025850434805,-0.08199222321988686,0.03725020681095402,0.04842382171818542,0.22607467596045341,0.719939833734795,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,3,24281, vulnerable,-160.5968780517578,1.000000140014255,103,0.033950520536665196,0.02616528722259652,-0.003470568296746781,-0.10144293174641286,0.05201237581305285,0.05496218866886758,0.17561582830730468,0.7622074395089278,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,3,5723, safe,-159.97523498535156,1.0000001662668145,103,0.028583635914220928,0.029481519839806555,7.415537188468636e-05,-0.09753697600889503,0.045987151138280384,0.049861271357131615,0.1652021674506924,0.7783472412036929,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,7,24281, vulnerable,-160.5968780517578,1.000000133751192,103,-0.007487778781984221,0.03500042902631723,-0.0010992482976285613,-0.10782385959125995,0.04895292901196137,0.0576627679391467,0.0915930329874639,0.8832018614571755,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,7,5723, safe,-159.97523498535156,1.0000001926273236,103,-0.008020786723358223,0.03491338131613145,-0.001618055359492155,-0.10458562656224113,0.04486152648028517,0.04879356744391849,0.08568821639778268,0.8999679696342974,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,11,24281, vulnerable,-160.5968780517578,1.0000000961380187,103,-0.02928311296268593,0.007861226584509613,0.0023105063291357234,-0.0843454856816557,0.015256814249115602,0.026667909541692264,0.014344319207958443,1.0471879188699487,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,11,5723, safe,-159.97523498535156,1.0000001900425033,103,-0.02909881675957806,0.010589253234732149,0.0031610721303288953,-0.08314615953025628,0.014832204432396294,0.024299364851602712,0.009483527500880613,1.049879744182397,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,15,24281, vulnerable,-160.5968780517578,1.0000001402230239,103,-0.0581853965230722,-0.007977281375681402,0.012629083716073356,-0.08147140638793214,0.010639527498679437,0.02562151630058836,-0.04288989701494849,1.1416339940093168,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,15,5723, safe,-159.97523498535156,1.0000003321261124,103,-0.0596288758869784,-0.007245118733455368,0.014164850423251336,-0.07819584731430147,0.00946889491508174,0.023445388848044608,-0.04677803580184998,1.14476907567632,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,19,24281, vulnerable,-160.5968780517578,1.0000001481794336,103,-0.0997330067057286,-0.025906578225703376,0.014739863839382637,-0.13680162934594153,0.020469390324436808,0.030146535408293845,-0.06696533276588411,1.264050905650578,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,19,5723, safe,-159.97523498535156,1.0000001306847848,103,-0.10337520377958863,-0.026433741590911945,0.013997637983638997,-0.13897780035000737,0.020463640856449365,0.028020389568291962,-0.07271718722532908,1.2790223952222415,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,23,24281, vulnerable,-160.5968780517578,1.0000000950129868,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000950129868,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07,unsafe,clean_heldout,clean,-1,23,5723, safe,-159.97523498535156,1.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,0,24281, vulnerable,-234.0421142578125,0.9999999556786142,103,0.045615753815274544,0.018262098801306925,0.009308208816066492,-0.02282288721759287,0.0615029126474592,0.016108230283324285,0.20881166570957815,0.6632139728231975,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,0,5723, safe,-236.45736694335938,0.9999999379268916,103,0.04366434832681351,0.018433281826643423,0.010899226572093919,-0.018439964327611788,0.05676683358799817,0.018450335420643376,0.19696975948393408,0.6732561170363769,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,3,24281, vulnerable,-234.0421142578125,0.9999999050699426,103,0.05009145277130551,0.04057917874477514,-0.007413946850359289,-0.034121815373787896,0.08209495271633037,0.013858246705778536,0.16763545852706555,0.6872763778288346,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,3,5723, safe,-236.45736694335938,1.0000000015124413,103,0.0501875820033026,0.040643231848729096,-0.0030838821743052612,-0.030928440691351804,0.07563601959631776,0.014195344612908214,0.15841414609262625,0.6949360002242144,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,7,24281, vulnerable,-234.0421142578125,0.9999998652133256,103,0.02095145745873909,0.0399361413500675,-0.01607032740459203,-0.02235516539224713,0.08035168910397082,0.03738175588452975,0.1066429458011457,0.7531613684117119,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,7,5723, safe,-236.45736694335938,1.000000021016631,103,0.021982798523278613,0.03943379975079607,-0.014834212545663627,-0.02056255779920161,0.0750552208044195,0.0336827460115715,0.10071596345812951,0.7645262628133012,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_07_safe,command_exec_branch_merge_07,safe,clean_heldout,clean,-1,11,24281, vulnerable,-234.0421142578125,0.999999957214622,103,0.007238103944846898,0.01984863511730757,0.005187486285248958,0.005714425652305056,0.019090777589772037,0.02512974937101827,0.04689489316336275,0.8708958860907604,15,10,3,10,11,11,5,38
