model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,random_matched,erase,1.75,1.75,0.0,0.0038809678652343142
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,jlens,erase,1.75,1.5,-0.25,0.0056957931896008465
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,rlens,erase,1.75,1.75,0.0,0.00017055135462723756
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,logit,erase,1.75,1.5,-0.25,0.003211433363203752
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,offtarget_j,erase,1.75,1.5,-0.25,0.005014990905561645
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,offtarget_r,erase,1.75,1.75,0.0,0.001157271086881338
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,random,erase,1.75,1.75,0.0,0.005585143272715344
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,random_matched,erase,1.75,1.75,0.0,0.005695793989221573
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,jlens,erase,1.75,1.75,0.0,0.020499031873817002
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,rlens,erase,1.75,1.75,0.0,0.02251224773059882
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,logit,erase,1.75,1.75,0.0,0.016384080050507545
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,offtarget_j,erase,1.75,1.75,0.0,0.006556859325146405
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,offtarget_r,erase,1.75,1.75,0.0,0.00976965950220206
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,random,erase,1.75,1.75,0.0,0.007824679937308184
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,random_matched,erase,1.75,1.75,0.0,0.020499031873817002
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,jlens,erase,1.75,1.75,0.0,0.03318537152947764
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,rlens,erase,1.75,1.75,0.0,0.034464751147378174
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,logit,erase,1.75,1.5,-0.25,0.01867947235415023
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,offtarget_j,erase,1.75,1.75,0.0,0.027834063507210748
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,offtarget_r,erase,1.75,1.75,0.0,0.03275489170578322
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,random,erase,1.75,1.5,-0.25,0.005780367956512225
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,random_matched,erase,1.75,1.5,-0.25,0.03318537551094122
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,jlens,erase,1.75,1.5,-0.25,0.029916087433627093
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,rlens,erase,1.75,1.75,0.0,0.02337020644924496
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,logit,erase,1.75,1.5,-0.25,0.018136541138362085
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,offtarget_j,erase,1.75,1.75,0.0,0.028315777924231154
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,offtarget_r,erase,1.75,1.5,-0.25,0.020952572767097388
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,random,erase,1.75,1.5,-0.25,0.010799322298065066
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,random_matched,erase,1.75,1.5,-0.25,0.029916087433627093
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,26,jlens,erase,1.75,1.75,0.0,0.012817865728826318
