model,split,layer,question,arm,statistic,is_primary,n,n_bases,mean,median,sd,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,sign_test_p,permutation_p,permutation_effect_size
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_z_family_scope,0,280,280,0.01859200070834338,0.017139540053494946,0.015948444583185496,1.1657563602123933,0.01681544521696838,0.02050558974074204,0.8857142857142857,280,1.4488275813350064e-42,0.0,12.494159118925932
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_z_family_shadowing,0,280,280,-0.05571372708411078,-0.05568077546290099,0.030999513013958764,-1.7972452360468842,-0.05917663851644196,-0.05205364217168394,0.03571428571428571,280,7.415008160698419e-67,0.0,-14.67607741918673
deepseek-coder-6.7b,test,11,scope/direct,ba,delta_z_mechanism,0,280,280,-0.01582254579370259,-0.017352353244353497,0.011724400258875695,-1.3495398864197328,-0.017184206315635404,-0.014435687778092225,0.10357142857142858,280,2.7179544069769582e-45,0.0,-13.342826740759664
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_contrast_prob,1,280,280,-4.986489939965121e-07,-4.51974770466697e-07,4.796802092030481e-07,-1.0395446475162673,-5.556632757310108e-07,-4.419344879178073e-07,0.1,280,3.112413195507917e-46,0.0,-11.961388946194871
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_contrast_z,0,280,280,0.14093045237386442,0.14303218128742629,0.02577820242470598,5.467039557374096,0.13805588715369077,0.14384559205714886,1.0,280,1.0295115178936058e-84,0.0,16.441237584272738
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_prob_control,0,280,280,1.291714118536462e-08,1.0058722620838683e-08,8.945488672267597e-09,1.4439838513696588,1.1862046051263893e-08,1.4000285894224099e-08,1.0,280,1.0295115178936058e-84,0.0,13.86034975560684
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_prob_mechanism,0,280,280,3.853565705519187e-09,3.3086266157169202e-09,2.700581227757585e-09,1.4269393810157591,3.5434065043350067e-09,4.1661150633383355e-09,0.9928571428571429,280,4.0502012625452345e-80,0.0,14.134654680819224
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_z_control,0,280,280,-0.023059252798443786,-0.022842927463714535,0.012859528196833047,-1.7931647604398624,-0.024601001753613762,-0.02154238194982471,0.02142857142857143,280,6.673771397495326e-73,0.0,-14.705412202601861
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_z_family_action,0,280,280,0.190907559044741,0.19334701137591265,0.044805374404716436,4.260818296490903,0.18568858657592155,0.19612014002324343,1.0,280,1.0295115178936058e-84,0.0,16.2376074974183
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_z_family_ordinal,0,280,280,0.142363258337103,0.14328451203290454,0.036761932119018924,3.8725727983010674,0.13800028089163904,0.14663985659830409,1.0,280,1.0295115178936058e-84,0.0,16.38957006732376
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_z_family_scope,0,280,280,0.14789681302776211,0.14654423495711943,0.04479526194285765,3.3016173276634544,0.14254374600864786,0.1531271268953609,1.0,280,1.0295115178936058e-84,0.0,15.921318316281136
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_z_family_shadowing,0,280,280,0.008812378526804512,0.013682189714453383,0.07125673655297039,0.12367081279751874,0.000772857615336706,0.017191519889592877,0.5678571428571428,280,0.026846214100563016,0.044,2.0630631574157157
deepseek-coder-6.7b,test,15,scope/direct,ab,delta_z_mechanism,0,280,280,-0.01122845025945873,-0.01329973078213416,0.01990684910040785,-0.5640495993526511,-0.013525004282414712,-0.008880777799435408,0.2357142857142857,280,2.1133768387733507e-19,0.0,-8.469506343407186
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_contrast_prob,1,280,280,-4.924225545810957e-07,-4.511733382772837e-07,4.837300014954298e-07,-1.0179698448696448,-5.490852419768361e-07,-4.3697895849225073e-07,0.08928571428571429,280,3.679853575465583e-49,0.0,-12.285701422440996
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_contrast_z,0,280,280,0.14021432699436676,0.14281729308475558,0.025795971408076154,5.435512575830686,0.13726391005915173,0.1431188031641447,1.0,280,1.0295115178936058e-84,0.0,16.434078410366684
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_prob_control,0,280,280,1.287596563697719e-08,1.059212612170539e-08,8.822911231698218e-09,1.4593783501660422,1.1868065408447599e-08,1.3907095498884864e-08,1.0,280,1.0295115178936058e-84,0.0,14.130119143507091
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_prob_mechanism,0,280,280,3.9009027306076274e-09,3.120377919444316e-09,2.8861649019883253e-09,1.3515869200405815,3.5745041269389367e-09,4.228130983289175e-09,0.9964285714285714,280,2.892927365281032e-82,0.0,13.990977900901632
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_z_control,0,280,280,-0.022359270962754637,-0.021595862662436,0.011577244081735435,-1.9313120467097358,-0.02372596219369951,-0.021031906286542196,0.017857142857142856,280,1.4506273862095442e-74,0.0,-14.949278984538056
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_z_family_action,0,280,280,0.18859512165376024,0.1858302549197792,0.046995361923534075,4.013058181371652,0.1831194012218846,0.19400618393593103,1.0,280,1.0295115178936058e-84,0.0,16.246103245119127
deepseek-coder-6.7b,test,15,scope/direct,ba,delta_z_family_ordinal,0,280,280,0.1413768633043059,0.1406585645033666,0.03787168024764556,3.733049666131334,0.13702785329765368,0.14555986822083833,1.0,280,1.0295115178936058e-84,0.0,16.447781957908305
