model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_inner_def_name,inner_def_name,0,120,120,0.00011692748593437581,7.934746094716456e-05,0.00085577113661778,0.1366340612941239,-2.8225025982041397e-05,0.0002657996178862277,0.5333333333333333,120,0,0.522990983889995,0.144,1.3534082063202013,0.0040481735895404655,0.004165101075474843,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_inner_def_value,inner_def_value,1,120,120,0.00035904923261227017,0.00037112164055377655,0.0019764915153228806,0.18165989068443622,-6.686677057459439e-06,0.0007014032298532172,0.5833333333333334,120,0,0.08240747932752653,0.038,1.9888412698944313,0.004220732161819476,0.004579781394431745,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_other,other,1,120,120,0.0001417654057682798,0.00010761868836295374,0.001716047700168896,0.08261157644646303,-0.0001483001623449342,0.00044810537503705807,0.5416666666666666,120,0,0.4114232202639376,0.396,0.7615714747291666,0.297712997216343,0.29785476262211125,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_outer_def,outer_def,1,120,120,-2.7943140118298163e-05,6.282852034478204e-05,0.002282596178966004,-0.012241823751302413,-0.0004417824101101821,0.0003784662206593739,0.5166666666666667,120,0,0.7843281773322767,0.886,-0.16969553449715113,0.2737016409055218,0.2736736977654035,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_outer_def_name,outer_def_name,1,120,120,-8.759464948743753e-05,7.706143275376665e-05,0.0015217913333664742,-0.05756022364358097,-0.00036017991334864636,0.00018209858396999362,0.525,120,0,0.6482600518210047,0.526,-0.6351766166304308,0.2721306142491502,0.27204301959966287,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_outer_def_value,outer_def_value,1,120,120,5.965150936914234e-05,3.492221764258858e-05,0.0016477046152896786,0.03620279315577153,-0.00023326029829353375,0.0003646708612475207,0.525,120,0,0.6482600518210047,0.668,0.34369420569419157,0.0015710266563716266,0.0016306781657407685,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_question,question,1,120,120,-0.0005301009855940203,-0.0003567126591572656,0.0038773224334591786,-0.13671831391156378,-0.0012208515194482572,0.0001501977556876209,0.44166666666666665,120,0,0.23520336797252533,0.156,-1.3245498954843002,0.3905461854633362,0.3900160844777422,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_question_all,question_all,1,120,120,-0.0005233882207244745,-0.00042283342979204663,0.004020507891895585,-0.13017962774790326,-0.001249945691622125,0.00017802061805937948,0.45,120,0,0.3153033008322579,0.172,-1.2545736816891864,0.40099699477748596,0.40047360655676145,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_question_var,question_var,1,120,120,6.71276486954626e-06,4.2427972270365176e-05,0.000339218104845971,0.019788934534005282,-5.4635565660175866e-05,6.865553385092808e-05,0.5166666666666667,120,0,0.7843281773322767,0.838,0.24637640659340274,0.01045080931414971,0.010457522079019255,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_return_kw,return_kw,1,120,120,-9.95030273468075e-06,4.445765599639688e-05,0.0005397592234246956,-0.018434706259482684,-0.00011269336457519168,8.78596399770822e-05,0.5166666666666667,120,0,0.7843281773322767,0.846,-0.06766148952545191,0.00548265340064014,0.005472703097905459,1,7.583309102887625e-08
