model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,19,last_token,clean_heldout,196,72,0.2047547603151945,0.013888888888888888,-0.013720495377777342,0.018946132769354546,12.141954307032908,0
deepseek-coder-6.7b,logit,frozen_pool,main,23,sink_arg,clean_heldout,196,72,0.5301994253363048,0.013888888888888888,0.5069556478847641,0.7168008692158421,10.043517620859006,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,23,sink_arg,clean_heldout,196,72,0.18004932453788053,0.013888888888888888,-0.013809659829188813,0.016462985472296122,10.06516857446534,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,23,sink_arg,clean_heldout,196,72,0.21068865474023532,0.013888888888888888,-0.013835332049528026,0.015675274445368897,10.711281305302592,0
deepseek-coder-6.7b,logit,frozen_pool,main,23,last_token,clean_heldout,196,72,0.20115368743523288,0.013888888888888888,0.10777781685616573,0.3466551479814663,6.770455426163616,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,23,last_token,clean_heldout,196,72,0.21324905779932468,0.013888888888888888,-0.013771452526880465,0.01757004655636617,10.510565221184246,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,23,last_token,clean_heldout,196,72,0.18954339264051762,0.013888888888888888,-0.01381066496839395,0.016432854643142078,10.589404122503375,0
deepseek-coder-6.7b,logit,frozen_pool,main,27,sink_arg,clean_heldout,196,72,0.4538733834591069,0.013888888888888888,0.4280384426134414,0.6602895979285901,7.655260088655418,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,27,sink_arg,clean_heldout,196,72,0.19470889036583458,0.013888888888888888,-0.013818886950876397,0.016184280133553403,8.853352028796804,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,27,sink_arg,clean_heldout,196,72,0.23078087768704217,0.013888888888888888,-0.013858541224210064,0.014927404459716404,9.24198110222479,0
deepseek-coder-6.7b,logit,frozen_pool,main,27,last_token,clean_heldout,196,72,0.20126877091567275,0.013888888888888888,0.09994399470969088,0.33532785831324124,5.533044135221431,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,27,last_token,clean_heldout,196,72,0.20855208349524457,0.013888888888888888,-0.013747352026342743,0.01823382316894788,9.084352855975167,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,27,last_token,clean_heldout,196,72,0.1962395405755646,0.013888888888888888,-0.013814334796205224,0.016322372797545986,9.29673301735739,0
deepseek-coder-6.7b,logit,frozen_pool,main,31,sink_arg,clean_heldout,196,72,0.36884014598024056,0.013888888888888888,0.3298036012083351,0.5823331387830217,4.7623410040948,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,31,sink_arg,clean_heldout,196,72,0.2870320045004694,0.013888888888888888,-0.013192151734093471,0.02966414476157371,7.641237054673297,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,31,sink_arg,clean_heldout,196,72,0.2573752706897247,0.013888888888888888,-0.013407494506838083,0.025838142029462396,7.701536178181194,0
deepseek-coder-6.7b,logit,frozen_pool,main,31,last_token,clean_heldout,196,72,0.17234495369145936,0.013888888888888888,0.07213473167404702,0.2915848920806516,1.8532341278734437,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,31,last_token,clean_heldout,196,72,0.25395081077249543,0.013888888888888888,-0.013776122024361789,0.017438517501302597,3.639076738480375,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,31,last_token,clean_heldout,196,72,0.24318851414904355,0.013888888888888888,-0.01387337041038049,0.014429281986730122,3.6863841230223104,0
deepseek-coder-6.7b,clrp,frozen_pool,main,-1,sink_arg,clean_heldout,196,18,0.2632367063344491,0.05555555555555555,-0.03552815554203555,0.14832796915120888,8.896478448035808,54
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,-1,sink_arg,clean_heldout,196,43,0.4512084109825772,0.023255813953488372,-0.023371544419000138,0.020683177301908634,11.163506642946789,29
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,-1,sink_arg,clean_heldout,196,43,0.45410765394614494,0.023255813953488372,-0.023560318115744605,0.01560160929290709,11.210123901387632,29
deepseek-coder-6.7b,clrp,frozen_pool,main,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-6.7b,clrp,frozen_pool,main,0,sink_arg,clean_heldout,196,72,0.275546690072851,0.013888888888888888,0.002687729541249755,0.12860516651043552,2.6501153359151144,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,0,sink_arg,clean_heldout,196,72,0.27028631469343045,0.013888888888888888,-0.01060646735379397,0.0585639273074765,6.787417428401769,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,0,sink_arg,clean_heldout,196,72,0.26697311062732926,0.013888888888888888,-0.01120931577845282,0.053247141254751565,6.815595821619866,0
deepseek-coder-6.7b,clrp,frozen_pool,main,0,last_token,clean_heldout,196,72,0.2883515515272703,0.013888888888888888,-0.006966616290442441,0.083779658378606,0.11992102788355258,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,0,last_token,clean_heldout,196,72,0.32783269334307097,0.013888888888888888,-0.012568678737202228,0.03866232189286882,0.38064425921042544,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,0,last_token,clean_heldout,196,72,0.3449839631484261,0.013888888888888888,-0.012832100459909561,0.03514273817558995,0.3870481029524091,0
deepseek-coder-6.7b,clrp,frozen_pool,main,3,sink_arg,clean_heldout,196,72,0.14541514537721367,0.013888888888888888,0.005949705527458341,0.1405558949932544,4.931852846372043,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,3,sink_arg,clean_heldout,196,72,0.26960482155132837,0.013888888888888888,-0.0111600625828612,0.053701277221627555,8.616106484900365,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,3,sink_arg,clean_heldout,196,72,0.25590440179857565,0.013888888888888888,-0.012078052488520407,0.0444813121363984,8.711646682317078,0
deepseek-coder-6.7b,clrp,frozen_pool,main,3,last_token,clean_heldout,196,72,0.23493533209624257,0.013888888888888888,-0.004443563620499289,0.09750405852981416,0.32777103985253375,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,3,last_token,clean_heldout,196,72,0.312026100446131,0.013888888888888888,-0.013698463727297555,0.019511063585777425,1.3599107036067488,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,3,last_token,clean_heldout,196,72,0.3254502398095281,0.013888888888888888,-0.013688826702239199,0.01975309544695077,1.3622795828466363,0
deepseek-coder-6.7b,clrp,frozen_pool,main,7,sink_arg,clean_heldout,196,72,0.26112925551183186,0.013888888888888888,0.03803342683106497,0.22670261066126587,6.678221109248274,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,7,sink_arg,clean_heldout,196,72,0.22651120491485516,0.013888888888888888,-0.013316976911900338,0.027511270229741053,9.763070504351086,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,7,sink_arg,clean_heldout,196,72,0.22701015981933464,0.013888888888888888,-0.01322009087497161,0.029196068008907883,9.858360099758203,0
deepseek-coder-6.7b,clrp,frozen_pool,main,7,last_token,clean_heldout,196,72,0.2349472202222453,0.013888888888888888,0.07040513201233796,0.2886454084954409,2.197191127540495,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,7,last_token,clean_heldout,196,72,0.26645484948662285,0.013888888888888888,-0.013718802566084671,0.018990135526982775,6.101370470356063,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,7,last_token,clean_heldout,196,72,0.2704583855804413,0.013888888888888888,-0.013610071007252476,0.021629762958156273,6.282776011118596,0
deepseek-coder-6.7b,clrp,frozen_pool,main,11,sink_arg,clean_heldout,196,72,0.26985687138360526,0.013888888888888888,0.22524194010511614,0.4858008529374638,8.907150257180938,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,11,sink_arg,clean_heldout,196,72,0.22545079154233522,0.013888888888888888,-0.013552150893414501,0.022912056071825528,10.400338153531019,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_safe,11,sink_arg,clean_heldout,196,72,0.1861993394784924,0.013888888888888888,-0.013587245291357627,0.022143968426842714,10.457514045521624,0
deepseek-coder-6.7b,clrp,frozen_pool,main,11,last_token,clean_heldout,196,72,0.2123709608580694,0.013888888888888888,0.1396220429572875,0.3893221504167249,4.608858879228746,0
deepseek-coder-6.7b,clrp,frozen_pool,same_label_unsafe,11,last_token,clean_heldout,196,72,0.25387186358837527,0.013888888888888888,-0.013755268896124351,0.018018473689511,9.10354012627396,0
