split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_threshold,ci_lo_threshold
test,use,single,L23,jlens_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L23,logit_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L23,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L6,gram_random,2,-0.0023437542574746267,0.0011160712156976973,False,False,-0.0023437542574746267,-0.007031255130256925,0.0011160712156976973,-0.002120535927159446
test,use,single,L6,jlens_answer,2,-0.0020089285714285712,0.0015624982970101492,False,False,0.0015624982970101492,-0.0031250078443969998,-0.0020089285714285712,-0.005245535714285714
test,use,single,L6,jlens_value,2,0.0011160714285714285,0.003571427719933646,True,False,0.003571427719933646,-0.0020089316687413625,0.0011160714285714285,-0.0020089285714285712
test,use,single,L6,logit_value,2,-0.004241077814783369,-0.0002232142857142857,False,False,-0.004241077814783369,-0.008373339655143874,-0.0002232142857142857,-0.0030133928571428573
test,use,single,L6,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L6,whole_state,2,-0.0060267857142857146,0.42198659990515025,False,False,0.42198659990515025,0.2662695253108229,-0.0060267857142857146,-0.020873325882213453
