model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
deepseek-coder-1.3b,rlens,7,0.3043,e6,normalize,baseline,0,72,0.0036409226122815683,0.5972222222222222,0.226,1.2116475120604888,-0.08512004375693044,0.5138888888888888,-0.002909117019174883,0.4305555555555556,0.112,-1.6121855471378552,0.05919260923891361,0.4583333333333333,0.025065109133720398,0.7361111111111112
deepseek-coder-1.3b,rlens,7,0.3043,e6,rename_only,atomic,11,72,0.004436013227179286,0.625,0.312,1.1226424890186015,-0.19539953072898375,0.4444444444444444,-0.003199218268592331,0.4166666666666667,0.166,-1.3160130558859326,-0.19341415302616838,0.375,0.007675598892900679,0.625
deepseek-coder-1.3b,rlens,7,0.3043,e6,opaque_only,atomic,12,72,0.006312849100234201,0.5972222222222222,0.034,2.0992045802385784,-0.04837539214541721,0.4861111111111111,-0.001175284933143888,0.4444444444444444,0.468,-0.7215326793376581,0.2672793081988919,0.4444444444444444,0.019710962971051533,0.7083333333333334
deepseek-coder-1.3b,rlens,7,0.3043,e6,encode_only,atomic,13,72,0.0041493791767571115,0.5555555555555556,0.2,1.2966220481751318,-0.09554434935427937,0.4861111111111111,-0.0025649543850780818,0.5,0.18,-1.375977429227749,0.16173911249626122,0.5138888888888888,0.024414063327842288,0.8055555555555556
deepseek-coder-1.3b,rlens,7,0.3043,e6,flatten_only,atomic,14,72,-0.0009119905320424085,0.4722222222222222,0.552,-0.6502757214595768,-0.26633841125602853,0.4305555555555556,0.00044215875848963585,0.4722222222222222,0.616,0.4907896616837117,-0.023724610452853002,0.5277777777777778,-0.0006730837954415216,0.4583333333333333
deepseek-coder-1.3b,rlens,7,0.3043,e6,rename_cumulative,cumulative,21,72,0.006038826708638849,0.5694444444444444,0.048,1.8492390877709648,-0.08849245296254162,0.4305555555555556,-0.0030167033153645456,0.4583333333333333,0.192,-1.350785911271831,-0.19423868388645596,0.4583333333333333,0.01383208069536421,0.6666666666666666
deepseek-coder-1.3b,rlens,7,0.3043,e6,rename_opaque,cumulative,22,72,-0.00011245413754537272,0.4444444444444444,0.956,-0.14778719465513226,-0.2145108793016943,0.4583333333333333,-0.001314252030531653,0.4166666666666667,0.348,-0.9434065984944494,-0.1333304044546068,0.4722222222222222,0.009438200957245298,0.6388888888888888
deepseek-coder-1.3b,rlens,7,0.3043,e6,rename_opaque_encode,cumulative,23,72,0.0040508519917414765,0.5416666666666666,0.108,1.556204542022766,-0.1758556674111337,0.4861111111111111,0.0021741238140776764,0.5833333333333334,0.222,1.257981129939066,-0.026874676102892372,0.4722222222222222,0.012809739344649844,0.7222222222222222
deepseek-coder-1.3b,rlens,7,0.3043,e6,rename_opaque_encode_flatten,cumulative,24,72,0.0016663915440034674,0.4305555555555556,0.168,1.451073004918585,-0.12142251561782316,0.4861111111111111,0.0004302600133705656,0.5277777777777778,0.608,0.5080437857287421,0.032628616434348064,0.4305555555555556,-0.0038994658324453565,0.4583333333333333
deepseek-coder-1.3b,rlens,11,0.4783,e6,clean_heldout,clean,-1,72,-0.004160183733460788,0.4305555555555556,0.114,-1.6221485207357305,0.3140988264003779,0.5277777777777778,-0.012391731488091307,0.2638888888888889,0.0,-3.9619987573499706,0.1403616139917996,0.3611111111111111,0.02170139468378491,0.7222222222222222
