layer,lens,comparison,stratum,accuracy,mean_margin,n
3,random,control_dep,non_dependent,0.6330275229357798,0.8972395975655372,109
3,random,guard_var,all,0.4866666666666667,0.1813799810409546,150
3,random,guard_var,present_in_program,0.4866666666666667,0.1813799810409546,150
3,random,next_ident,all,0.52,0.05044260044892629,150
3,random,next_ident,present_in_program,0.52,0.05044260044892629,150
7,clens,control_dep,all,0.5278080697928026,0.0005643781164870268,917
7,clens,control_dep,indent_matched,0.525990099009901,-0.00028621678305144356,808
7,clens,control_dep,non_dependent,0.5412844036697247,0.006869705445175871,109
7,clens,guard_var,all,0.5133333333333333,-0.004133668343226115,150
7,clens,guard_var,present_in_program,0.5133333333333333,-0.004133668343226115,150
7,clens,next_ident,all,0.5466666666666666,-3.3015012741088866e-05,150
7,clens,next_ident,present_in_program,0.5466666666666666,-3.3015012741088866e-05,150
7,logit,control_dep,all,0.5190839694656488,0.02746583282492543,917
7,logit,control_dep,indent_matched,0.5037128712871287,0.005841723431159954,808
7,logit,control_dep,non_dependent,0.6330275229357798,0.18776198319338877,109
7,logit,guard_var,all,0.62,0.23455823401610057,150
7,logit,guard_var,present_in_program,0.62,0.23455823401610057,150
7,logit,next_ident,all,0.52,-0.01562590847412745,150
7,logit,next_ident,present_in_program,0.52,-0.01562590847412745,150
7,random,control_dep,all,0.5059978189749182,0.04928907375039295,917
7,random,control_dep,indent_matched,0.49257425742574257,-0.05189601829884076,808
7,random,control_dep,non_dependent,0.6055045871559633,0.7993583799502172,109
7,random,guard_var,all,0.5066666666666667,-0.12000133653481801,150
7,random,guard_var,present_in_program,0.5066666666666667,-0.12000133653481801,150
7,random,next_ident,all,0.4533333333333333,-0.3815259393056234,150
7,random,next_ident,present_in_program,0.4533333333333333,-0.3815259393056234,150
11,clens,control_dep,all,0.4765539803707743,-0.0034417293908941835,917
11,clens,control_dep,indent_matched,0.48267326732673266,-0.0022686270646529623,808
11,clens,control_dep,non_dependent,0.43119266055045874,-0.01213775397440709,109
11,clens,guard_var,all,0.6,0.025223814845085145,150
11,clens,guard_var,present_in_program,0.6,0.025223814845085145,150
11,clens,next_ident,all,0.48,-0.0072467191020647685,150
11,clens,next_ident,present_in_program,0.48,-0.0072467191020647685,150
11,logit,control_dep,all,0.5114503816793893,0.05241802412784997,917
11,logit,control_dep,indent_matched,0.49133663366336633,-0.0051997708212031,808
11,logit,control_dep,non_dependent,0.6605504587155964,0.47952975182358276,109
11,logit,guard_var,all,0.7133333333333334,0.6860168198744456,150
11,logit,guard_var,present_in_program,0.7133333333333334,0.6860168198744456,150
11,logit,next_ident,all,0.48,-0.01631181538105011,150
11,logit,next_ident,present_in_program,0.48,-0.01631181538105011,150
11,random,control_dep,all,0.48091603053435117,-0.05184866396980431,917
11,random,control_dep,indent_matched,0.4777227722772277,-0.12184379900814873,808
11,random,control_dep,non_dependent,0.5045871559633027,0.4670143553970057,109
11,random,guard_var,all,0.5333333333333333,-0.007052601973215739,150
11,random,guard_var,present_in_program,0.5333333333333333,-0.007052601973215739,150
11,random,next_ident,all,0.4066666666666667,-0.5611633537213008,150
11,random,next_ident,present_in_program,0.4066666666666667,-0.5611633537213008,150
15,clens,control_dep,all,0.48527808069792805,0.00012235319081413577,917
15,clens,control_dep,indent_matched,0.47648514851485146,-0.0009369572790542452,808
15,clens,control_dep,non_dependent,0.5504587155963303,0.007974856490388923,109
15,clens,guard_var,all,0.6066666666666667,0.035338197549184165,150
15,clens,guard_var,present_in_program,0.6066666666666667,0.035338197549184165,150
15,clens,next_ident,all,0.44666666666666666,-0.010834127366542816,150
15,clens,next_ident,present_in_program,0.44666666666666666,-0.010834127366542816,150
15,logit,control_dep,all,0.5179934569247546,0.08690102812768069,917
