task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
defuse_edge,-1,scope_shadow,1000,1000.0,0.06415885113141573,165589
defuse_edge,0,comment_prose,0,0.0,0.9986329460013671,1463
defuse_edge,0,comment_prose,50,56.0,0.6477900552486188,1448
defuse_edge,0,comment_prose,100,112.0,0.6346685082872928,1448
defuse_edge,0,comment_prose,200,224.0,0.6160220994475138,1448
defuse_edge,0,comment_prose,500,512.0,0.5987569060773481,1448
defuse_edge,0,comment_prose,1000,1005.0,0.5785467128027681,1445
defuse_edge,0,competing_update,0,0.0,0.9986329460013671,1463
defuse_edge,0,competing_update,50,50.0,0.9107402031930334,1378
defuse_edge,0,competing_update,100,104.0,0.9077238550922762,1463
defuse_edge,0,competing_update,200,200.0,0.8899521531100478,1463
defuse_edge,0,competing_update,500,500.0,0.8844839371155161,1463
defuse_edge,0,competing_update,1000,1003.0,0.8378978534418949,1351
defuse_edge,0,dead_code,0,0.0,0.9986329460013671,1463
defuse_edge,0,dead_code,50,50.0,0.8084331077563769,1921
defuse_edge,0,dead_code,100,100.0,0.7768128528006948,2303
defuse_edge,0,dead_code,200,200.0,0.653281096963761,3063
defuse_edge,0,dead_code,500,511.0,0.5645555346739335,5321
defuse_edge,0,dead_code,1000,1004.0,0.5245958032335741,8721
defuse_edge,0,lexical_decoy,0,0.0,0.9986329460013671,1463
defuse_edge,0,lexical_decoy,50,72.0,0.8814382896015549,2058
defuse_edge,0,lexical_decoy,100,120.0,0.8378154737277617,2417
defuse_edge,0,lexical_decoy,200,216.0,0.7394411955815464,3078
defuse_edge,0,lexical_decoy,500,520.0,0.691179167430772,5453
defuse_edge,0,lexical_decoy,1000,1024.0,0.6275458534938675,8887
defuse_edge,0,scope_shadow,0,0.0,0.9986320109439124,1462
defuse_edge,0,scope_shadow,50,60.0,0.4067699368904188,3486
defuse_edge,0,scope_shadow,100,105.0,0.3026086956521739,5750
defuse_edge,0,scope_shadow,200,201.0,0.20105020288010184,12569
defuse_edge,0,scope_shadow,500,507.0,0.10324396092186354,50463
defuse_edge,0,scope_shadow,1000,1000.0,0.05888676180181051,165589
defuse_edge,3,comment_prose,0,0.0,1.0,1463
defuse_edge,3,comment_prose,50,56.0,0.9433701657458563,1448
defuse_edge,3,comment_prose,100,112.0,0.9337016574585635,1448
defuse_edge,3,comment_prose,200,224.0,0.9537292817679558,1448
defuse_edge,3,comment_prose,500,512.0,0.9454419889502762,1448
defuse_edge,3,comment_prose,1000,1005.0,0.9058823529411765,1445
defuse_edge,3,competing_update,0,0.0,1.0,1463
defuse_edge,3,competing_update,50,50.0,0.9150943396226415,1378
defuse_edge,3,competing_update,100,104.0,0.9275461380724539,1463
