model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,n_nonzero,degenerate,median_delta_frac,sign_test_p,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,source_expr,1,72,0.0006586279891364747,0.5416666666666666,72,0,0.0012926147937470738,0.555997717760971,0.66,0.4157607458380718,0.05729041929205872,0.05663179130292224,1.0,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,taint_chain,1,72,-0.005559279009582894,0.2916666666666667,72,0,-0.004109729466308942,0.0005349642016498918,0.0,-4.222801005905686,0.01636583375233054,0.021925112761913435,1.0,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,trust_chain,1,72,0.0005933883081900642,0.4722222222222222,72,0,-0.0010740291909517121,0.7239481457469141,0.522,0.6349670237516022,0.02061396640912024,0.020020578100930175,1.0,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,trusted_expr,1,72,-0.0028015217483808967,0.3611111111111111,72,0,-0.0025325253458608112,0.02446090732832437,0.016,-2.3571218382986365,0.046282211863688555,0.04908373361206945,1.0,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,other,0,72,0.01202973541751054,0.5694444444444444,72,0,0.007606533778704044,0.2887842804141049,0.006,2.7909834464981804,0.3900757821740151,0.37804604675650466,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,signature,1,72,-0.00153732964458698,0.4166666666666667,72,0,-0.0035365761984890304,0.1945051658673991,0.632,-0.44362595211910844,0.2657915010002545,0.26732883064484153,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,sink_arg,0,72,0.009504150045640024,0.75,72,0,0.0102760669629938,2.568720337924735e-05,0.0,3.382340246313061,0.008288753993733886,-0.0012153960519061388,0.6111111111111112,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,sink_call,1,72,-0.007541924560303841,0.4444444444444444,72,0,-0.0057806996535228125,0.40957939592707177,0.084,-1.7800518797221825,0.08099481918543334,0.0885367437457372,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,source_expr,1,72,0.00374156785762887,0.5277777777777778,72,0,0.000582617352640577,0.7239481457469141,0.238,1.1931589723607683,0.11756150749076769,0.11381993963313881,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,taint_chain,1,72,-0.018731605629726686,0.19444444444444445,72,0,-0.01666310070789971,1.6464300115968573e-07,0.0,-4.947587682159304,0.02566520395839971,0.0443968095881264,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,trust_chain,1,72,0.016452750352373053,0.7222222222222222,72,0,0.01459714802289765,0.00020771603022674048,0.0,4.766151789634067,0.032399767957332966,0.01594701760495991,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,5723, safe,trusted_expr,1,72,-0.013917317164930772,0.2638888888888889,72,0,-0.014137836395501013,7.555811484431396e-05,0.0,-4.881697866419718,0.0792228040707684,0.09314012123569917,1.0,2.878102431380647e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,other,0,72,0.006553961487862209,0.6666666666666666,72,0,0.005463804341978906,0.006309827313666047,0.004,2.9805127617835376,0.5365942228477143,0.530040261359852,1.0,1.0388954307938292e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,signature,1,72,0.0024320290336112753,0.5555555555555556,72,0,0.0005156736122775285,0.40957939592707177,0.034,2.159043954018886,0.22492965010312826,0.22249762106951698,1.0,1.0388954307938292e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,sink_arg,0,72,0.003563300014276396,0.6666666666666666,72,0,0.00250250114901549,0.006309827313666047,0.0,3.2506277427825605,0.0054243130010850765,0.0018610129868086801,0.6111111111111112,1.0388954307938292e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,sink_call,1,72,-0.005119619621454848,0.4305555555555556,72,0,-0.0037493889990427055,0.2887842804141049,0.006,-2.9006123626327636,0.06998024865171122,0.07509986827316607,1.0,1.0388954307938292e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,source_expr,1,72,-0.006466522638567683,0.3611111111111111,72,0,-0.006689544829737104,0.02446090732832437,0.0,-4.189852862948517,0.0660376339825693,0.07250415662113698,1.0,1.0388954307938292e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,taint_chain,1,72,-0.0075683282551555426,0.25,72,0,-0.005782907783735817,2.568720337924735e-05,0.0,-4.912287166270363,0.014839653873124446,0.022407982128279984,1.0,1.0388954307938292e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,7,24281, vulnerable,trust_chain,1,72,0.0062503565553578295,0.7638888888888888,72,0,0.004978993690840787,8.14003082672391e-06,0.0,4.945758137411171,0.024231644270987826,0.01798128771563,1.0,1.0388954307938292e-07
