lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
clens,27,0.871,last_token,flatten_only,0.5555555555555556,0.486,0.05555555555555558,0.05555555555555558,1.0,False
clens,27,0.871,last_token,normalize,0.4166666666666667,0.0,0.08333333333333331,0.02777777777777779,2.9999999999999982,True
clens,27,0.871,last_token,opaque_only,0.4583333333333333,0.442,0.041666666666666685,0.19444444444444442,0.2142857142857144,False
clens,27,0.871,last_token,rename_cumulative,0.3611111111111111,0.0,0.1388888888888889,0.09722222222222221,1.4285714285714288,True
clens,27,0.871,last_token,rename_only,0.2916666666666667,0.002,0.20833333333333331,0.06944444444444442,3.000000000000001,True
clens,27,0.871,last_token,rename_opaque,0.3888888888888889,0.0,0.1111111111111111,0.09722222222222221,1.142857142857143,True
clens,27,0.871,last_token,rename_opaque_encode,0.3472222222222222,0.0,0.1527777777777778,0.13888888888888884,1.1000000000000005,True
clens,27,0.871,last_token,rename_opaque_encode_flatten,0.5416666666666666,0.906,0.04166666666666663,0.04166666666666663,1.0,False
clens,31,1.0,last_token,clean_heldout,0.3333333333333333,0.0,0.16666666666666669,0.16666666666666663,1.0000000000000004,True
clens,31,1.0,last_token,encode_only,0.3194444444444444,0.0,0.18055555555555558,0.19444444444444442,0.9285714285714288,False
clens,31,1.0,last_token,flatten_only,0.5138888888888888,0.842,0.01388888888888884,0.1111111111111111,0.12499999999999956,False
clens,31,1.0,last_token,normalize,0.2222222222222222,0.0,0.2777777777777778,0.16666666666666669,1.6666666666666665,True
clens,31,1.0,last_token,opaque_only,0.375,0.026,0.125,0.08333333333333331,1.5000000000000004,True
clens,31,1.0,last_token,rename_cumulative,0.3333333333333333,0.0,0.16666666666666669,0.09722222222222221,1.7142857142857146,True
clens,31,1.0,last_token,rename_only,0.3055555555555556,0.002,0.19444444444444442,0.08333333333333331,2.3333333333333335,True
clens,31,1.0,last_token,rename_opaque,0.4722222222222222,0.002,0.02777777777777779,0.16666666666666669,0.1666666666666667,False
clens,31,1.0,last_token,rename_opaque_encode,0.3611111111111111,0.002,0.1388888888888889,0.11111111111111116,1.2499999999999996,True
clens,31,1.0,last_token,rename_opaque_encode_flatten,0.4583333333333333,0.646,0.041666666666666685,0.06944444444444442,0.6000000000000005,False
clens,-1,,sink_arg,clean_heldout,0.125,0.9,0.375,0.375,1.0,False
clens,-1,,sink_arg,encode_only,0.125,0.9,0.375,0.375,1.0,False
clens,-1,,sink_arg,flatten_only,0.125,0.9,0.375,0.375,1.0,False
clens,-1,,sink_arg,normalize,0.125,0.9,0.375,0.375,1.0,False
clens,-1,,sink_arg,opaque_only,0.125,0.9,0.375,0.375,1.0,False
clens,-1,,sink_arg,rename_cumulative,0.4444444444444444,0.58,0.05555555555555558,0.1111111111111111,0.5000000000000002,False
clens,-1,,sink_arg,rename_only,0.4305555555555556,1.0,0.06944444444444442,0.16666666666666669,0.41666666666666646,False
clens,-1,,sink_arg,rename_opaque,0.5277777777777778,0.914,0.02777777777777779,0.1388888888888889,0.20000000000000007,False
clens,-1,,sink_arg,rename_opaque_encode,0.4722222222222222,0.74,0.02777777777777779,0.05555555555555558,0.5,False
clens,-1,,sink_arg,rename_opaque_encode_flatten,0.4027777777777778,0.862,0.09722222222222221,0.1111111111111111,0.8749999999999999,False
clens,0,0.0,sink_arg,clean_heldout,0.5277777777777778,0.928,0.02777777777777779,0.1527777777777778,0.18181818181818188,False
clens,0,0.0,sink_arg,encode_only,0.5277777777777778,0.926,0.02777777777777779,0.16666666666666669,0.1666666666666667,False
clens,0,0.0,sink_arg,flatten_only,0.5,0.924,0.0,0.125,0.0,False
clens,0,0.0,sink_arg,normalize,0.5277777777777778,0.928,0.02777777777777779,0.1527777777777778,0.18181818181818188,False
clens,0,0.0,sink_arg,opaque_only,0.5277777777777778,0.938,0.02777777777777779,0.1388888888888889,0.20000000000000007,False
clens,0,0.0,sink_arg,rename_cumulative,0.5138888888888888,0.628,0.01388888888888884,0.02777777777777779,0.499999999999998,False
clens,0,0.0,sink_arg,rename_only,0.5277777777777778,0.486,0.02777777777777779,0.06944444444444442,0.4000000000000003,False
clens,0,0.0,sink_arg,rename_opaque,0.4861111111111111,0.724,0.013888888888888895,0.09722222222222221,0.14285714285714293,False
clens,0,0.0,sink_arg,rename_opaque_encode,0.4722222222222222,0.222,0.02777777777777779,0.05555555555555558,0.5,False
clens,0,0.0,sink_arg,rename_opaque_encode_flatten,0.6527777777777778,0.162,0.1527777777777778,0.04166666666666663,3.66666666666667,True
