lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
r-lens,6,post_use,binding_concept,local,56,-0.050502232142857144,-0.05719866071428571,-0.04352678571428571,-0.044921875,-0.05217633928571429,-0.03766741071428571,-0.005580357142857143,-0.010881696428571428,-0.00027901785714285713,True
r-lens,6,post_use,binding_concept,outer,56,0.004743303571428571,0.0,0.009493582589285676,0.0025111607142857145,-0.0030691964285714285,0.007533482142857143,0.002232142857142857,-0.0013950892857142857,0.005859375,True
r-lens,6,post_use,binding_concept,scope,56,-0.017578125,-0.022042410714285716,-0.013253348214285714,-0.016462053571428572,-0.0205078125,-0.012416294642857142,-0.0011160714285714285,-0.0048828125,0.002650669642857143,True
r-lens,6,post_use,binding_concept,scoped,56,-0.03578404017857143,-0.04136439732142857,-0.0302734375,-0.03627232142857143,-0.04206194196428571,-0.030482700892857144,0.00048828125,-0.003138950892857143,0.00439453125,True
r-lens,6,post_use,binding_concept,shadow,56,-0.06640625,-0.07421875,-0.05915178571428571,-0.06305803571428571,-0.07254464285714286,-0.05357142857142857,-0.0033482142857142855,-0.011160714285714286,0.005022321428571429,True
r-lens,6,post_use,binding_concept,value,56,0.025966099330357144,0.023193141392299107,0.028913225446428572,0.024448939732142856,0.02137908935546875,0.027344185965401783,0.0015171595982142857,-0.0016135079520089284,0.004708426339285714,True
r-lens,6,post_use,binding_concept,variable,56,0.003627232142857143,0.0,0.007254464285714286,0.005022321428571429,0.0008370535714285714,0.009211077008928552,-0.0013950892857142857,-0.004603794642857143,0.0016775948660714094,True
r-lens,6,post_use,generic_code,buffer,56,-0.049107142857142856,-0.056361607142857144,-0.04241071428571429,-0.04799107142857143,-0.05524553571428571,-0.040736607142857144,-0.0011160714285714285,-0.008370535714285714,0.006138392857142857,True
r-lens,6,post_use,generic_code,class,56,-0.012834821428571428,-0.016183035714285716,-0.009207589285714286,-0.01171875,-0.015625,-0.008084542410714324,-0.0011160714285714285,-0.005301339285714286,0.0033482142857142855,True
r-lens,6,post_use,generic_code,count,56,-0.033656529017857144,-0.03799918038504464,-0.029156058175223223,-0.03252301897321429,-0.03681291852678571,-0.028162057059151795,-0.0011335100446428572,-0.004570661272321429,0.0023193359375,True
r-lens,6,post_use,generic_code,error,56,-0.012276785714285714,-0.016183035714285716,-0.008370535714285714,-0.011160714285714286,-0.015080915178571429,-0.007254464285714286,-0.0011160714285714285,-0.005580357142857143,0.0027901785714285715,True
r-lens,6,post_use,generic_code,file,56,-0.015345982142857142,-0.01953125,-0.011160714285714286,-0.012834821428571428,-0.017299107142857144,-0.008370535714285714,-0.0025111607142857145,-0.006975446428571429,0.001953125,True
r-lens,6,post_use,generic_code,import,56,0.0018136160714285715,-0.0011160714285714285,0.0048828125,0.0011160714285714285,-0.0025111607142857145,0.004743303571428571,0.0006975446428571429,-0.0023716517857142855,0.004045758928571429,True
r-lens,6,post_use,generic_code,index,56,-0.015345982142857142,-0.018415178571428572,-0.012276785714285714,-0.012834821428571428,-0.016462053571428572,-0.009486607142857142,-0.0025111607142857145,-0.006696428571428571,0.0016741071428571428,True
r-lens,6,post_use,generic_code,number,56,0.019252232142857144,0.013671875,0.024557059151785694,0.020368303571428572,0.013950892857142858,0.0263671875,-0.0011160714285714285,-0.004886300223214285,0.0029296875,True
r-lens,6,post_use,generic_code,path,56,-0.010881696428571428,-0.014508928571428572,-0.007254464285714286,-0.011160714285714286,-0.013950892857142858,-0.008091517857142858,0.00027901785714285713,-0.00390625,0.004185267857142857,True
r-lens,6,post_use,generic_code,print,56,-0.040980747767857144,-0.04630039760044643,-0.035765729631696434,-0.0369873046875,-0.04293430873325893,-0.03111005510602679,-0.003993443080357143,-0.008231898716517857,0.0003496442522321381,True
r-lens,6,post_use,generic_code,range,56,-0.030412946428571428,-0.03459821428571429,-0.026227678571428572,-0.027622767857142856,-0.03236607142857143,-0.022879464285714284,-0.0027901785714285715,-0.006696428571428571,0.0011160714285714285,True
r-lens,6,post_use,generic_code,result,56,0.002232142857142857,-0.001960100446428571,0.006417410714285714,0.0030691964285714285,-0.001953125,0.008091517857142858,-0.0008370535714285714,-0.005580357142857143,0.00390625,True
r-lens,6,post_use,generic_code,return,56,-0.008510044642857142,-0.011997767857142858,-0.005022321428571429,-0.006417410714285714,-0.010044642857142858,-0.003065708705357162,-0.0020926339285714285,-0.005859375,0.0015345982142857143,True
r-lens,6,post_use,generic_code,string,56,-0.011160714285714286,-0.016741071428571428,-0.005580357142857143,-0.005580357142857143,-0.01171875,0.0,-0.005580357142857143,-0.01171875,0.0011160714285714285,True
r-lens,6,post_use,generic_code,total,56,0.025390625,0.022042410714285716,0.028602818080357122,0.023995535714285716,0.020228794642857144,0.027347237723214266,0.0013950892857142857,-0.0013950892857142857,0.004603794642857143,True
r-lens,6,post_use,positional,earlier,56,-0.020926339285714284,-0.024832589285714284,-0.017229352678571428,-0.019810267857142856,-0.023786272321428572,-0.016111537388392865,-0.0011160714285714285,-0.004534040178571429,0.0023716517857142855,True
r-lens,6,post_use,positional,kept,56,-0.004185267857142857,-0.007114955357142857,-0.0013950892857142857,-0.0013950892857142857,-0.004185267857142857,0.0015345982142857143,-0.0027901785714285715,-0.006281389508928571,0.0008370535714285714,True
r-lens,6,post_use,positional,later,56,-0.05705915178571429,-0.06361955915178572,-0.05021972656250002,-0.05259486607142857,-0.05915178571428571,-0.04631696428571429,-0.004464285714285714,-0.010044642857142858,0.0008405412946428381,True
r-lens,6,post_use,positional,replaced,56,-0.04645647321428571,-0.05133928571428571,-0.041291155133928586,-0.042271205357142856,-0.04729701450892857,-0.036830357142857144,-0.004185267857142857,-0.008091517857142858,-0.00027901785714285713,True
r-lens,6,post_use,random_concepts,random_0,56,-0.038783482142857144,-0.04408482142857143,-0.033482142857142856,-0.03571428571428571,-0.040736607142857144,-0.030133928571428572,-0.0030691964285714285,-0.006417410714285714,0.0005580357142857143,True
r-lens,6,post_use,random_concepts,random_1,56,-0.04631696428571429,-0.05204031808035714,-0.040318080357142856,-0.04436383928571429,-0.04994419642857143,-0.03864397321428571,-0.001953125,-0.006417410714285714,0.0027901785714285715,True
r-lens,6,post_use,random_concepts,random_2,56,-0.041294642857142856,-0.04673549107142857,-0.035853794642857144,-0.03822544642857143,-0.04352678571428571,-0.03264508928571429,-0.0030691964285714285,-0.007397460937499999,0.0009800502232142666,True
r-lens,6,use,binding_concept,active,56,4.048775809151786,3.6220706394740514,4.493583352225167,3.9075099400111606,3.4870244707380023,4.32288077218192,0.141265869140625,-0.16347416469029016,0.4661855970110212,True
r-lens,6,use,binding_concept,binding,56,2.0742056710379466,1.8194729396275113,2.3589564732142856,2.1930884293147495,1.9097221348966873,2.4953139075211115,-0.11888275827680315,-0.3379024420465742,0.09367700900350277,True
r-lens,6,use,binding_concept,bound,56,1.6695600237165178,1.4413653782435827,1.917209298270089,1.7204290117536272,1.4684219632829938,1.9835164615086145,-0.050868988037109375,-0.263267639705113,0.16698804582868276,True
r-lens,6,use,binding_concept,definition,56,0.41695731026785715,-0.46713060651506694,1.290947614397321,1.0469970703125,0.12969011579241072,1.9700544084821416,-0.6300397600446429,-1.4531971522739955,0.16300942557198603,True
r-lens,6,use,binding_concept,global,56,1.8688092912946428,1.3549848284040178,2.4226488385881693,2.1064889090401784,1.54903804234096,2.684663391113281,-0.23767961774553573,-0.6788697378976004,0.19931498936244393,True
r-lens,6,use,binding_concept,inactive,56,4.022181919642857,3.097385951450893,4.997602190290178,3.4113071986607144,2.390642874581473,4.411397443498884,0.6108747209821429,-0.22771083286830357,1.4606227329799104,True
r-lens,6,use,binding_concept,inner,56,0.248046875,-0.22580915178571428,0.7592354910714284,0.6040736607142857,0.14981166294642856,1.0832380022321424,-0.3560267857142857,-0.7992047991071429,0.0820521763392856,True
r-lens,6,use,binding_concept,local,56,3.2459891183035716,2.7112156459263392,3.8310294015066964,3.5601893833705356,2.9598857334681923,4.1671022687639505,-0.3142002650669643,-0.7820029122488839,0.13182176862444112,True
r-lens,6,use,binding_concept,outer,56,0.47237723214285715,0.23953334263392856,0.7306256975446427,0.6360212053571429,0.37578124999999996,0.912845284598214,-0.16364397321428573,-0.40211704799107145,0.06492047991071402,True
r-lens,6,use,binding_concept,scope,56,1.172670636858259,0.8388241904122489,1.5168723515101838,1.1793692452566964,0.8418060302734375,1.5365523202078681,-0.0066986083984375,-0.20269791739327567,0.17916744777134486,True
r-lens,6,use,binding_concept,scoped,56,2.2245069231305803,1.8017253330775669,2.6824503217424662,2.2037638255528043,1.7374276263373238,2.6897810050419397,0.020743097577776228,-0.3109711476734706,0.38946707248687734,True
r-lens,6,use,binding_concept,shadow,56,2.35400390625,1.7761492047991072,2.9658560616629464,2.7633579799107144,2.141946847098214,3.375068010602678,-0.4093540736607143,-0.9320809500558036,0.11863316127232133,True
r-lens,6,use,binding_concept,value,56,-0.011366707938058036,-0.3024492808750697,0.3080587659563335,-0.2327910831996373,-0.5186461448669434,0.068026290621076,0.22142437526157924,-0.03382868085588727,0.4634234973362511,True
r-lens,6,use,binding_concept,variable,56,1.712890625,1.4536342075892859,1.9908133370535714,1.70703125,1.4246512276785714,1.9827008928571428,0.005859375,-0.2065150669642857,0.23103376116071425,True
r-lens,6,use,generic_code,buffer,56,1.6336844308035714,1.2593802315848215,2.0106122698102675,1.7664794921875,1.3959394182477678,2.1315342494419642,-0.13279506138392858,-0.3889556884765625,0.11467808314732142,True
r-lens,6,use,generic_code,class,56,1.9644208635602678,1.6518042428152901,2.3258161272321423,1.9919695172991072,1.6510785784040178,2.3638098580496645,-0.027548653738839284,-0.23692801339285713,0.17508348737444185,True
r-lens,6,use,generic_code,count,56,2.5627964564732144,2.2804338727678575,2.8819117954799105,2.6954868861607144,2.389500645228795,3.0127873011997766,-0.1326904296875,-0.39116952078683037,0.12010323660714284,True
r-lens,6,use,generic_code,error,56,0.9868338448660714,0.530375017438616,1.5119570050920754,1.3089556012834822,0.7973842075892857,1.8279328482491628,-0.3221217564174107,-0.7294659205845424,0.08062896728515588,True
r-lens,6,use,generic_code,file,56,0.2173614501953125,-0.19944000244140625,0.6142034258161271,0.18559483119419642,-0.231684330531529,0.5989570617675781,0.03176661900111607,-0.1687762669154576,0.20940333775111597,True
r-lens,6,use,generic_code,import,56,1.5612444196428572,1.271535164969308,1.8802243913922991,1.7957196916852678,1.4898132324218751,2.107966068812779,-0.23447527204241073,-0.5664230346679687,0.09102543422154015,True
r-lens,6,use,generic_code,index,56,0.22711692537580216,-0.16530759845461163,0.6381455779075622,0.3300083705357143,-0.1202911376953125,0.7885031563895084,-0.10289144515991211,-0.43582968541554046,0.21412525177001893,True
r-lens,6,use,generic_code,number,56,0.17438616071428573,-0.045619419642857144,0.3921665736607142,0.123046875,-0.09759347098214285,0.3533970424107141,0.05133928571428571,-0.130859375,0.22965959821428555,True
r-lens,6,use,generic_code,path,56,-0.7466692243303571,-1.3342472621372767,-0.17023271833147333,-0.6046404157366071,-1.2309003557477678,0.027976335797990047,-0.14202880859375,-0.5921460832868304,0.27517591203962,True
r-lens,6,use,generic_code,print,56,1.516622543334961,1.2393697806767057,1.7902245521545408,1.4435980660574776,1.2019464492797851,1.6940755299159458,0.07302447727748326,-0.04540672302246094,0.19104935101100362,True
r-lens,6,use,generic_code,range,56,1.6979021344866072,1.3099114554268974,2.1176696777343746,1.8331298828125,1.404787772042411,2.295817674909319,-0.13522774832589285,-0.43761117117745535,0.15797293526785697,True
r-lens,6,use,generic_code,result,56,1.688412802559989,0.9878543036324637,2.396958596365792,1.4055611746651786,0.6197284153529576,2.1755811418805804,0.2828516278948103,-0.258482905796596,0.8474057197570786,True
r-lens,6,use,generic_code,return,56,1.5883963448660714,1.3451917375837055,1.8625348772321428,1.6768711635044642,1.402122061593192,1.9731358119419642,-0.08847481863839286,-0.26904841831752235,0.08500867571149552,True
r-lens,6,use,generic_code,string,56,0.06270926339285714,-0.29747663225446425,0.4429670061383927,0.31082589285714285,-0.1015380859375,0.7532121930803571,-0.24811662946428573,-0.562269810267857,0.04830845424107122,True
r-lens,6,use,generic_code,total,56,-0.6484592982700893,-0.7561175755092076,-0.5453653608049666,-0.5707223074776786,-0.6759506225585937,-0.46136191231863843,-0.07773699079241071,-0.17610484531947546,0.015957532610212,True
r-lens,6,use,positional,earlier,56,0.9851422991071429,0.7598353794642857,1.24820556640625,1.05517578125,0.8072440011160714,1.3086739676339285,-0.07003348214285714,-0.28152901785714285,0.1426565987723214,True
r-lens,6,use,positional,kept,56,1.8788659913199288,1.5377796462603979,2.250041692597525,2.0018092564174106,1.64452759878976,2.3640687670026503,-0.12294326509748187,-0.41905399220330375,0.172679190976279,True
r-lens,6,use,positional,later,56,1.3957868303571428,0.8850202287946429,1.9606340680803567,1.8108258928571428,1.291981724330357,2.3435477120535713,-0.4150390625,-0.9486781529017857,0.11119210379464207,True
r-lens,6,use,positional,replaced,56,2.532902308872768,2.217885916573661,2.8806521824428013,2.456486293247768,2.1171732221330917,2.80396259852818,0.076416015625,-0.1859393528529576,0.35949172973632815,True
r-lens,6,use,random_concepts,random_0,56,0.8386579241071429,0.5565586635044643,1.1330287388392857,1.0011160714285714,0.7411934988839286,1.2711111886160713,-0.16245814732142858,-0.3576416015625,0.03499407087053546,True
r-lens,6,use,random_concepts,random_1,56,0.9029017857142857,0.42559291294642854,1.4284633091517855,1.2505580357142858,0.8117954799107143,1.694266183035714,-0.34765625,-0.7988351004464286,0.09476492745535693,True
r-lens,6,use,random_concepts,random_2,56,2.09521484375,1.76220703125,2.447410365513393,1.82177734375,1.4824863978794645,2.1315795898437497,0.2734375,-0.000796944754464284,0.564186314174107,True
