model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,defuse-0-answer,defuse,,,20,offtarget,erase,2.375,2.5,0.125,0.029085133683290014
deepseek-coder-6.7b,defuse-0-answer,defuse,,,20,random,erase,2.375,2.375,0.0,0.054744208531033844
deepseek-coder-6.7b,alias-0-answer,alias,,,12,jlens,erase,11.0,10.875,-0.125,0.027588440108574294
deepseek-coder-6.7b,alias-0-answer,alias,,,12,rlens,erase,11.0,11.0,0.0,0.043697573056952266
deepseek-coder-6.7b,alias-0-answer,alias,,,12,logit,erase,11.0,11.0,0.0,0.03842815377220196
deepseek-coder-6.7b,alias-0-answer,alias,,,12,offtarget,erase,11.0,11.0,0.0,0.012589267136353017
deepseek-coder-6.7b,alias-0-answer,alias,,,12,random,erase,11.0,11.0,0.0,0.004662784591777995
deepseek-coder-6.7b,alias-0-answer,alias,,,16,jlens,erase,11.0,11.0,0.0,0.021384674226547037
deepseek-coder-6.7b,alias-0-answer,alias,,,16,rlens,erase,11.0,11.0,0.0,0.04694634956126173
deepseek-coder-6.7b,alias-0-answer,alias,,,16,logit,erase,11.0,11.0,0.0,0.03344808652101325
deepseek-coder-6.7b,alias-0-answer,alias,,,16,offtarget,erase,11.0,11.0,0.0,0.014835574071410876
deepseek-coder-6.7b,alias-0-answer,alias,,,16,random,erase,11.0,10.875,-0.125,0.006592957098294099
deepseek-coder-6.7b,alias-0-answer,alias,,,20,jlens,erase,11.0,11.0,0.0,0.05234393780854579
deepseek-coder-6.7b,alias-0-answer,alias,,,20,rlens,erase,11.0,10.875,-0.125,0.07707697879342658
deepseek-coder-6.7b,alias-0-answer,alias,,,20,logit,erase,11.0,10.875,-0.125,0.06605992893691083
deepseek-coder-6.7b,alias-0-answer,alias,,,20,offtarget,erase,11.0,11.25,0.25,0.0252644958385687
deepseek-coder-6.7b,alias-0-answer,alias,,,20,random,erase,11.0,10.875,-0.125,0.0014396493790497316
deepseek-coder-6.7b,call-0-answer,call,,,12,jlens,erase,12.875,12.875,0.0,0.04786695074179754
deepseek-coder-6.7b,call-0-answer,call,,,12,rlens,erase,12.875,13.0,0.125,0.0589292876849378
deepseek-coder-6.7b,call-0-answer,call,,,12,logit,erase,12.875,12.75,-0.125,0.04366540732381505
