task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
defuse_edge,-1,comment_prose,1000,1009.0,0.8204379562043795,1370
defuse_edge,-1,competing_update,0,0.0,0.8202406227883935,1413
defuse_edge,-1,competing_update,50,55.0,0.8248546511627907,1376
defuse_edge,-1,competing_update,100,103.0,0.8263081395348837,1376
defuse_edge,-1,competing_update,200,205.0,0.8257080610021786,1377
defuse_edge,-1,competing_update,500,505.0,0.8266569555717407,1373
defuse_edge,-1,competing_update,1000,1002.0,0.8462064251537936,1463
defuse_edge,-1,dead_code,0,0.0,0.824822695035461,1410
defuse_edge,-1,dead_code,50,51.0,0.8787090057261843,1921
defuse_edge,-1,dead_code,100,103.0,0.8996122361051271,2321
defuse_edge,-1,dead_code,200,207.0,0.756167894905479,3121
defuse_edge,-1,dead_code,500,529.0,0.665288479609096,5321
defuse_edge,-1,dead_code,1000,1009.0,0.6325548644525291,8521
defuse_edge,-1,lexical_decoy,0,0.0,0.8253182461103253,1414
defuse_edge,-1,lexical_decoy,50,71.0,0.8810426540284361,2110
defuse_edge,-1,lexical_decoy,100,119.0,0.8755020080321285,2490
defuse_edge,-1,lexical_decoy,200,215.0,0.8144683504833178,3207
defuse_edge,-1,lexical_decoy,500,519.0,0.7412074478089148,5317
defuse_edge,-1,lexical_decoy,1000,1023.0,0.6931628018168778,8366
defuse_edge,-1,scope_shadow,0,0.0,0.8230714791224345,1413
defuse_edge,-1,scope_shadow,50,53.0,0.5589975635224504,2873
defuse_edge,-1,scope_shadow,100,107.0,0.4102306920762287,4985
defuse_edge,-1,scope_shadow,200,219.0,0.26493095259037736,11369
defuse_edge,-1,scope_shadow,500,519.0,0.1376415857605178,39552
defuse_edge,-1,scope_shadow,1000,1019.0,0.07462045942293935,125810
defuse_edge,0,comment_prose,0,0.0,0.9929078014184397,1410
defuse_edge,0,comment_prose,50,57.0,0.8875912408759125,1370
defuse_edge,0,comment_prose,100,115.0,0.8059810357403355,1371
defuse_edge,0,comment_prose,200,202.0,0.75,1372
defuse_edge,0,comment_prose,500,529.0,0.6955571740713765,1373
defuse_edge,0,comment_prose,1000,1009.0,0.6868613138686132,1370
defuse_edge,0,competing_update,0,0.0,0.9929228591648974,1413
defuse_edge,0,competing_update,50,55.0,0.9084302325581395,1376
defuse_edge,0,competing_update,100,103.0,0.8771802325581395,1376
defuse_edge,0,competing_update,200,205.0,0.8736383442265795,1377
defuse_edge,0,competing_update,500,505.0,0.8689002184996358,1373
defuse_edge,0,competing_update,1000,1002.0,0.848257006151743,1463
defuse_edge,0,dead_code,0,0.0,0.9929078014184397,1410
defuse_edge,0,dead_code,50,51.0,0.9380530973451328,1921
defuse_edge,0,dead_code,100,103.0,0.919431279620853,2321
defuse_edge,0,dead_code,200,207.0,0.6654918295418135,3121
defuse_edge,0,dead_code,500,529.0,0.5470776169892877,5321
defuse_edge,0,dead_code,1000,1009.0,0.4762351836638892,8521
defuse_edge,0,lexical_decoy,0,0.0,0.9929278642149929,1414
defuse_edge,0,lexical_decoy,50,71.0,0.8919431279620853,2110
defuse_edge,0,lexical_decoy,100,119.0,0.8477911646586346,2490
defuse_edge,0,lexical_decoy,200,215.0,0.7368256937948239,3207
defuse_edge,0,lexical_decoy,500,519.0,0.6182057551250705,5317
defuse_edge,0,lexical_decoy,1000,1023.0,0.5173320583313411,8366
defuse_edge,0,scope_shadow,0,0.0,0.9929228591648974,1413
defuse_edge,0,scope_shadow,50,53.0,0.6268708666898712,2873
defuse_edge,0,scope_shadow,100,107.0,0.46278836509528587,4985
defuse_edge,0,scope_shadow,200,219.0,0.30917406983903595,11369
defuse_edge,0,scope_shadow,500,519.0,0.17141990291262135,39552
defuse_edge,0,scope_shadow,1000,1019.0,0.09988872108735394,125810
defuse_edge,3,comment_prose,0,0.0,0.9964539007092199,1410
defuse_edge,3,comment_prose,50,57.0,0.8218978102189781,1370
defuse_edge,3,comment_prose,100,115.0,0.8110867979576951,1371
defuse_edge,3,comment_prose,200,202.0,0.8170553935860059,1372
defuse_edge,3,comment_prose,500,529.0,0.8390386016023307,1373
defuse_edge,3,comment_prose,1000,1009.0,0.8226277372262774,1370
defuse_edge,3,competing_update,0,0.0,0.9964614295824487,1413
defuse_edge,3,competing_update,50,55.0,0.8968023255813954,1376
defuse_edge,3,competing_update,100,103.0,0.8808139534883721,1376
defuse_edge,3,competing_update,200,205.0,0.8816267247639796,1377
defuse_edge,3,competing_update,500,505.0,0.8579752367079388,1373
defuse_edge,3,competing_update,1000,1002.0,0.8660287081339713,1463
defuse_edge,3,dead_code,0,0.0,0.997872340425532,1410
defuse_edge,3,dead_code,50,51.0,0.8193649141072358,1921
defuse_edge,3,dead_code,100,103.0,0.7518311072813443,2321
defuse_edge,3,dead_code,200,207.0,0.6344120474206985,3121
defuse_edge,3,dead_code,500,529.0,0.5585416275136252,5321
defuse_edge,3,dead_code,1000,1009.0,0.5813871611313226,8521
defuse_edge,3,lexical_decoy,0,0.0,0.9985855728429985,1414
defuse_edge,3,lexical_decoy,50,71.0,0.9004739336492891,2110
defuse_edge,3,lexical_decoy,100,119.0,0.8722891566265061,2490
defuse_edge,3,lexical_decoy,200,215.0,0.7995010913626442,3207
defuse_edge,3,lexical_decoy,500,519.0,0.7299228888470942,5317
defuse_edge,3,lexical_decoy,1000,1023.0,0.7118097059526656,8366
defuse_edge,3,scope_shadow,0,0.0,0.997169143665959,1413
defuse_edge,3,scope_shadow,50,53.0,0.6547163243995823,2873
defuse_edge,3,scope_shadow,100,107.0,0.5163490471414243,4985
defuse_edge,3,scope_shadow,200,219.0,0.37074500835605595,11369
