layer,arm,example,rho,abs_error
3,no_half,9,7.490014553070068,6.490014553070068
3,none,0,0.1333284229040146,0.8666715770959854
3,none,1,0.022066554054617882,0.9779334459453821
3,none,2,0.03897784277796745,0.9610221572220325
3,none,3,0.19549943506717682,0.8045005649328232
3,none,4,0.13486024737358093,0.8651397526264191
3,none,5,0.2370069921016693,0.7629930078983307
3,none,6,0.14010128378868103,0.859898716211319
3,none,7,0.08477023243904114,0.9152297675609589
3,none,8,0.09923485666513443,0.9007651433348656
3,none,9,0.14322200417518616,0.8567779958248138
7,all,0,0.999714732170105,0.00028526782989501953
7,all,1,0.9996536374092102,0.0003463625907897949
7,all,2,0.9999998211860657,1.7881393432617188e-07
7,all,3,0.9999557137489319,4.4286251068115234e-05
7,all,4,0.9997826218605042,0.0002173781394958496
7,all,5,1.000035285949707,3.528594970703125e-05
7,all,6,0.9994696378707886,0.0005303621292114258
7,all,7,1.0001485347747803,0.00014853477478027344
7,all,8,0.9995876550674438,0.00041234493255615234
7,all,9,0.9997120499610901,0.0002879500389099121
7,no_attn,0,1.2992149591445923,0.2992149591445923
7,no_attn,1,1.6729904413223267,0.6729904413223267
7,no_attn,2,1.7687582969665527,0.7687582969665527
7,no_attn,3,1.6933778524398804,0.6933778524398804
7,no_attn,4,1.7306462526321411,0.7306462526321411
7,no_attn,5,1.7498916387557983,0.7498916387557983
7,no_attn,6,1.7777894735336304,0.7777894735336304
7,no_attn,7,1.4464292526245117,0.4464292526245117
7,no_attn,8,1.2521487474441528,0.25214874744415283
7,no_attn,9,1.0277705192565918,0.027770519256591797
7,no_ln,0,-0.008577871136367321,1.0085778711363673
7,no_ln,1,-0.011924389749765396,1.0119243897497654
7,no_ln,2,-0.02588864043354988,1.0258886404335499
7,no_ln,3,-0.013791423290967941,1.013791423290968
7,no_ln,4,-0.019402235746383667,1.0194022357463837
7,no_ln,5,0.004302190151065588,0.9956978098489344
7,no_ln,6,0.02831849828362465,0.9716815017163754
7,no_ln,7,0.0044837878085672855,0.9955162121914327
7,no_ln,8,0.027866696938872337,0.9721333030611277
7,no_ln,9,0.03205178305506706,0.9679482169449329
7,no_identity,0,0.6907960176467896,0.30920398235321045
7,no_identity,1,0.5788339972496033,0.42116600275039673
