model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
deepseek-coder-6.7b,clens,7,0.2258,e6,rename_opaque,cumulative,22,72,0.0005979106696906341,0.4722222222222222,0.584,0.5351754600948185,0.29136701958794886,0.5416666666666666,0.001150699221412896,0.5694444444444444,0.322,0.9946287458433986,0.13706467033053754,0.5,-0.006510419150193532,0.4027777777777778
deepseek-coder-6.7b,clens,7,0.2258,e6,rename_opaque_encode,cumulative,23,72,0.00023111125340980845,0.4583333333333333,0.87,0.24606903511380304,-0.02991916330251979,0.4444444444444444,0.001058978113967003,0.5694444444444444,0.31,1.0029324866829699,0.19886571160125877,0.4861111111111111,-0.006510420805878109,0.3611111111111111
deepseek-coder-6.7b,clens,7,0.2258,e6,rename_opaque_encode_flatten,cumulative,24,72,-0.0012536558512191338,0.4444444444444444,0.108,-1.5085455237539687,0.24607108855983628,0.4583333333333333,-0.001402381970508993,0.4861111111111111,0.102,-1.5980307640146596,0.19509692450629215,0.5555555555555556,-0.002604164183139801,0.3472222222222222
deepseek-coder-6.7b,clens,11,0.3548,e6,clean_heldout,clean,-1,72,-0.0012206990029085293,0.4583333333333333,0.396,-0.8215147794028016,0.0027282038753581395,0.4166666666666667,0.0022346596758676843,0.5,0.086,1.8177318150428599,-0.03704964748790981,0.375,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,11,0.3548,e6,normalize,baseline,0,72,-0.0018742357224554123,0.4305555555555556,0.232,-1.181845798576875,-0.07555805602252928,0.3472222222222222,0.0005303741629320145,0.4444444444444444,0.728,0.42833330130795816,-0.07432958320453434,0.4166666666666667,-0.017578125827842288,0.3333333333333333
deepseek-coder-6.7b,clens,11,0.3548,e6,rename_only,atomic,11,72,0.010731253274435859,0.6944444444444444,0.0,3.9359590446122668,-0.1044299118168542,0.3888888888888889,-0.0009380403752983738,0.4027777777777778,0.496,-0.6231005775929722,-0.08404966951287775,0.3888888888888889,-0.003906252483526866,0.4027777777777778
deepseek-coder-6.7b,clens,11,0.3548,e6,opaque_only,atomic,12,72,-0.0031870027679701818,0.3888888888888889,0.052,-1.9055517888547355,0.003000960291792559,0.4444444444444444,-0.0005165356940847411,0.4722222222222222,0.78,-0.2578053424449501,-0.1903315705599544,0.375,-0.019422742227713268,0.2222222222222222
deepseek-coder-6.7b,clens,11,0.3548,e6,encode_only,atomic,13,72,-0.004341735144936212,0.3333333333333333,0.01,-2.6959494376173,-0.16761692652794108,0.5138888888888888,-0.0011355358818338135,0.375,0.504,-0.6062942316639026,-0.030172682278058936,0.4722222222222222,-0.02723524471124013,0.2777777777777778
deepseek-coder-6.7b,clens,11,0.3548,e6,flatten_only,atomic,14,72,0.00316516416821597,0.625,0.022,2.2656045912301783,0.15285918242079868,0.4027777777777778,0.002879769510534572,0.5694444444444444,0.124,1.5960543215732388,-0.05722723760917562,0.3611111111111111,0.0014105869664086236,0.3888888888888889
deepseek-coder-6.7b,clens,11,0.3548,e6,rename_cumulative,cumulative,21,72,0.004946854893898672,0.5972222222222222,0.024,2.242690491899996,-0.21231780449204748,0.4305555555555556,0.0015870491674833012,0.5833333333333334,0.326,1.0922982130370922,-0.02127598158859013,0.4861111111111111,-0.008246527777777778,0.4027777777777778
deepseek-coder-6.7b,clens,11,0.3548,e6,rename_opaque,cumulative,22,72,0.003585845925165038,0.5972222222222222,0.094,1.6762372818063314,0.12988266125007958,0.5138888888888888,0.0017736676314096995,0.5694444444444444,0.188,1.1954579909642427,0.12410879632760893,0.4305555555555556,-0.006510419150193532,0.4027777777777778
deepseek-coder-6.7b,clens,11,0.3548,e6,rename_opaque_encode,cumulative,23,72,0.0036500879793703003,0.5416666666666666,0.024,2.18037028075797,0.06605912625537211,0.3611111111111111,-0.00011173302867751065,0.5277777777777778,0.948,-0.06974797586042554,0.11123521236355993,0.4722222222222222,-0.006510420805878109,0.3611111111111111
deepseek-coder-6.7b,clens,11,0.3548,e6,rename_opaque_encode_flatten,cumulative,24,72,0.0024561596981503347,0.5833333333333334,0.078,1.801243908893359,-0.23508770205428772,0.375,0.00027425710795333223,0.5416666666666666,0.81,0.2546026708137462,-0.05609934192463658,0.3888888888888889,-0.002604164183139801,0.3472222222222222
deepseek-coder-6.7b,clens,15,0.4839,e6,clean_heldout,clean,-1,72,-0.005672395196653986,0.3888888888888889,0.122,-1.6119869688597381,0.38140634400234485,0.5694444444444444,0.0024086235043371293,0.4861111111111111,0.316,1.0315853208589532,-0.16758177025748375,0.3611111111111111,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,15,0.4839,e6,normalize,baseline,0,72,-0.0020382344661914343,0.4583333333333333,0.59,-0.5239300824547071,0.40756667474838765,0.5833333333333334,0.002424377778469464,0.5277777777777778,0.388,0.9510581783459401,-0.17414414900449232,0.4861111111111111,-0.017578125827842288,0.3333333333333333
deepseek-coder-6.7b,clens,15,0.4839,e6,rename_only,atomic,11,72,0.011641987110413107,0.6666666666666666,0.002,2.9802325391073454,0.061666114688302465,0.3888888888888889,0.0024646707200777726,0.5694444444444444,0.552,0.6846034256404212,-0.0467669642554182,0.3611111111111111,-0.003906252483526866,0.4027777777777778
deepseek-coder-6.7b,clens,15,0.4839,e6,opaque_only,atomic,12,72,-0.002052424200721406,0.4722222222222222,0.586,-0.6055623883877868,0.1822052966909963,0.4722222222222222,-0.0027574582063029252,0.4166666666666667,0.344,-0.8870282752384181,-0.1420443458375526,0.4583333333333333,-0.019422742227713268,0.2222222222222222
deepseek-coder-6.7b,clens,15,0.4839,e6,encode_only,atomic,13,72,-0.008232766291345,0.4166666666666667,0.05,-1.9041849846206205,0.3289235919401188,0.5555555555555556,0.004706300263354242,0.5694444444444444,0.21,1.2534227132741163,-0.40966864750417914,0.3055555555555556,-0.02723524471124013,0.2777777777777778
deepseek-coder-6.7b,clens,15,0.4839,e6,flatten_only,atomic,14,72,-0.0036756516719395615,0.5138888888888888,0.458,-0.7716689462666496,-0.10435912211054042,0.4305555555555556,-0.004047551050983493,0.4305555555555556,0.202,-1.343382878669693,0.3496364515083342,0.4444444444444444,0.0014105869664086236,0.3888888888888889
deepseek-coder-6.7b,clens,15,0.4839,e6,rename_cumulative,cumulative,21,72,0.00639606196001589,0.6111111111111112,0.106,1.5740113760455599,0.3404609301437637,0.4722222222222222,-0.0006851883694168183,0.4722222222222222,0.85,-0.10570557927288647,-0.05544565264249688,0.375,-0.008246527777777778,0.4027777777777778
deepseek-coder-6.7b,clens,15,0.4839,e6,rename_opaque,cumulative,22,72,0.008850610760485822,0.6805555555555556,0.032,1.9430382657014196,0.17033280065836978,0.5555555555555556,-0.0005883913877230819,0.4444444444444444,0.83,-0.24578090602084746,-0.06825632652310634,0.4722222222222222,-0.006510419150193532,0.4027777777777778
deepseek-coder-6.7b,clens,15,0.4839,e6,rename_opaque_encode,cumulative,23,72,0.0010773573361280708,0.5416666666666666,0.736,0.39230941262961117,0.1296580389755088,0.375,0.0013964838388870286,0.3888888888888889,0.62,0.5102641326156028,-0.3387100735027586,0.4305555555555556,-0.006510420805878109,0.3611111111111111
deepseek-coder-6.7b,clens,15,0.4839,e6,rename_opaque_encode_flatten,cumulative,24,72,0.005988119091014093,0.5694444444444444,0.062,1.852856042948988,0.02398797398865284,0.3472222222222222,0.0008534816032334,0.5833333333333334,0.744,0.28727002958365416,0.07482818137264655,0.3888888888888889,-0.002604164183139801,0.3472222222222222
deepseek-coder-6.7b,clens,19,0.6129,e6,clean_heldout,clean,-1,72,-0.027146314996788996,0.375,0.0,-3.225451367066005,0.477298854659692,0.6111111111111112,0.011234704487869975,0.6388888888888888,0.006,2.7628540769462178,0.2605514297879317,0.5,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,19,0.6129,e6,normalize,baseline,0,72,-0.02430667619791795,0.4027777777777778,0.012,-2.64036353886804,0.5348716083242521,0.625,0.014590887201959751,0.6805555555555556,0.0,3.4746059464221344,0.22779139928300654,0.5416666666666666,-0.017578125827842288,0.3333333333333333
