model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,arith-0-answer,arith,,,28,logit,erase,4.75,4.375,-0.375,0.18825264240213063
deepseek-coder-6.7b,arith-0-answer,arith,,,28,offtarget,erase,4.75,5.625,0.875,0.07751457282106784
deepseek-coder-6.7b,arith-0-answer,arith,,,28,random,erase,4.75,4.75,0.0,0.01359896493956893
deepseek-coder-6.7b,arith-0-answer,arith,,,29,jlens,erase,4.75,4.0,-0.75,0.2127881399898364
deepseek-coder-6.7b,arith-0-answer,arith,,,29,rlens,erase,4.75,4.25,-0.5,0.20093493169714202
deepseek-coder-6.7b,arith-0-answer,arith,,,29,logit,erase,4.75,4.1875,-0.5625,0.18742639076609358
deepseek-coder-6.7b,arith-0-answer,arith,,,29,offtarget,erase,4.75,5.875,1.125,0.10431255368088997
deepseek-coder-6.7b,arith-0-answer,arith,,,29,random,erase,4.75,4.75,0.0,0.018933210779549403
deepseek-coder-6.7b,arith-0-answer,arith,,,30,jlens,erase,4.75,3.90625,-0.84375,0.20345297938855839
deepseek-coder-6.7b,arith-0-answer,arith,,,30,rlens,erase,4.75,3.90625,-0.84375,0.20345297938855839
deepseek-coder-6.7b,arith-0-answer,arith,,,30,logit,erase,4.75,3.90625,-0.84375,0.20345297938855839
deepseek-coder-6.7b,arith-0-answer,arith,,,30,offtarget,erase,4.75,6.75,2.0,0.12971187259872077
deepseek-coder-6.7b,arith-0-answer,arith,,,30,random,erase,4.75,4.75,0.0,0.02455192401985152
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,28,jlens,erase,0.1875,-0.0625,-0.25,0.0225566877398544
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,28,rlens,erase,0.1875,0.0,-0.1875,0.022195554434377235
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,28,logit,erase,0.1875,0.0625,-0.125,0.024236806107638925
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,28,offtarget,erase,0.1875,0.5625,0.375,0.020292908500333547
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,28,random,erase,0.1875,0.1875,0.0,0.015437327962931213
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,29,jlens,erase,0.1875,-0.1875,-0.375,0.04392307903735891
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,29,rlens,erase,0.1875,-0.125,-0.3125,0.04328930332337066
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,29,logit,erase,0.1875,-0.0625,-0.25,0.032766884574845764
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,29,offtarget,erase,0.1875,1.0,0.8125,0.04115856704008291
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,29,random,erase,0.1875,0.1875,0.0,0.018443672874166775
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,30,jlens,erase,0.1875,-0.3125,-0.5,0.05712062491723079
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,30,rlens,erase,0.1875,-0.3125,-0.5,0.05712062491723079
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,30,logit,erase,0.1875,-0.3125,-0.5,0.05712062491723079
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,30,offtarget,erase,0.1875,1.1875,1.0,0.05438014305115202
deepseek-coder-6.7b,binding-1-outer,binding,binding-1,outer,30,random,erase,0.1875,0.25,0.0625,0.009239536025052777
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,28,jlens,erase,0.0,-0.5625,-0.5625,0.02914684051355859
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,28,rlens,erase,0.0,-0.4375,-0.4375,0.02899098191739091
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,28,logit,erase,0.0,-0.375,-0.375,0.025544480709813803
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,28,offtarget,erase,0.0,0.375,0.375,0.02772129841418923
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,28,random,erase,0.0,0.0,0.0,0.0011104152940821697
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,29,jlens,erase,0.0,-0.75,-0.75,0.041279179414899864
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,29,rlens,erase,0.0,-0.6875,-0.6875,0.0404855224504012
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,29,logit,erase,0.0,-0.5,-0.5,0.032042418914676005
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,29,offtarget,erase,0.0,0.4375,0.4375,0.04093939388108779
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,29,random,erase,0.0,0.0625,0.0625,0.005617977339808497
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,30,jlens,erase,0.0,-0.9375,-0.9375,0.05326022947980622
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,30,rlens,erase,0.0,-0.9375,-0.9375,0.05326022947980622
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,30,logit,erase,0.0,-0.9375,-0.9375,0.05326022947980622
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,30,offtarget,erase,0.0,0.6875,0.6875,0.05543263964606914
deepseek-coder-6.7b,binding-1-inner,binding,binding-1,inner,30,random,erase,0.0,0.0625,0.0625,0.007346359498117357
deepseek-coder-6.7b,defuse-1,defuse,,,28,jlens,erase,2.125,1.5625,-0.5625,0.028640863174376852
deepseek-coder-6.7b,defuse-1,defuse,,,28,rlens,erase,2.125,1.625,-0.5,0.02972017932904984
deepseek-coder-6.7b,defuse-1,defuse,,,28,logit,erase,2.125,1.625,-0.5,0.03106445525420019
deepseek-coder-6.7b,defuse-1,defuse,,,28,offtarget,erase,2.125,2.125,0.0,0.004127766630256441
deepseek-coder-6.7b,defuse-1,defuse,,,28,random,erase,2.125,2.0625,-0.0625,0.014932789561858477
deepseek-coder-6.7b,defuse-1,defuse,,,29,jlens,erase,2.125,1.375,-0.75,0.047276367168727185
deepseek-coder-6.7b,defuse-1,defuse,,,29,rlens,erase,2.125,1.4375,-0.6875,0.0482052819602374
