split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,6,use,jlens,0.5416666666666666,0.5,0.5916666666666667,120,30,4.683333333333334,0.08333333333333333,0.0,0.18333333333333332,0.003444103648265203,0.00034876477594176933,0.006282810841997464,60
calib,all,12,use,jlens,0.5666666666666667,0.5,0.6416666666666667,120,30,3.7333333333333334,0.18333333333333332,0.08333333333333333,0.3,0.013135744134585063,0.005594592342774074,0.021203350077072775,60
calib,all,18,use,jlens,0.5333333333333333,0.5083333333333333,0.5666666666666667,120,30,3.558333333333333,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.008869268000125885,-0.0024285352602601055,0.018598015047609804,60
calib,all,23,use,jlens,0.5416666666666666,0.5,0.5916666666666667,120,30,4.35,0.1,0.03333333333333333,0.2,0.027547626569867135,0.010388584341853857,0.04402013188228011,60
calib,all,6,use,logit,0.5416666666666666,0.43333333333333335,0.6583333333333333,120,30,4.425,0.26666666666666666,0.13333333333333333,0.4166666666666667,0.14509401991963386,-0.09142201981817683,0.387375917546451,60
calib,all,12,use,logit,0.5083333333333333,0.44166666666666665,0.575,120,30,4.091666666666667,0.11666666666666667,0.03333333333333333,0.2004166666666644,0.2078814685344696,-0.06543063511451086,0.49042883147795974,60
calib,all,18,use,logit,0.48333333333333334,0.44166666666666665,0.525,120,30,4.358333333333333,0.05,0.0,0.11666666666666667,0.06116345624128978,-0.175813547372818,0.2974180422723293,60
calib,all,23,use,logit,0.5416666666666666,0.5,0.5916666666666667,120,30,4.35,0.1,0.03333333333333333,0.2,0.8362428267796834,0.31592234432697297,1.3364552207787832,60
calib,all,6,use,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,13.122419635454813,12.780538614988327,13.460305122137068,60
calib,all,12,use,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,13.299971850713094,12.815773097674052,13.80798136095206,60
calib,all,18,use,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,11.940588331222534,11.381024674177171,12.48294329226017,60
calib,all,23,use,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,10.854365495840709,10.234759525159994,11.45359462916851,60
calib,both_correct,6,answer,gram_random,0.5,0.5,0.5,20,10,4.8,0.0,0.0,0.0,7.106214761734008e-05,-0.0008064851537346841,0.0010411904379725432,10
calib,both_correct,12,answer,gram_random,0.5,0.5,0.5,20,10,3.25,0.0,0.0,0.0,-0.004107373952865601,-0.010893670208752156,0.002597781382501123,10
calib,both_correct,18,answer,gram_random,0.5,0.5,0.5,20,10,3.55,0.0,0.0,0.0,-0.00012741684913635253,-0.01783785358071327,0.01923816472291946,10
calib,both_correct,23,answer,gram_random,0.55,0.5,0.65,20,10,4.75,0.1,0.0,0.3,0.018560731410980226,-0.022460207734256984,0.05777024379000068,10
calib,both_correct,6,answer,jlens,0.5,0.5,0.5,20,10,5.3,0.0,0.0,0.0,2.6792287826538086e-05,-0.001168426126241684,0.0011885935813188548,10
calib,both_correct,12,answer,jlens,0.65,0.55,0.8,20,10,2.45,0.3,0.1,0.6,0.026282089948654174,0.016695032119750975,0.03745379775762556,10
calib,both_correct,18,answer,jlens,0.7,0.55,0.85,20,10,2.45,0.4,0.1,0.7,0.22634154558181763,0.09369821965694428,0.3737518465518951,10
calib,both_correct,23,answer,jlens,0.6,0.5,0.75,20,10,2.05,0.2,0.0,0.5,0.2836282253265381,0.18132870316505434,0.39310080170631395,10
calib,both_correct,6,answer,logit,0.5,0.5,0.5,20,10,4.8,0.0,0.0,0.0,0.0168479323387146,-0.012710217833518982,0.04508631527423858,10
calib,both_correct,12,answer,logit,0.6,0.5,0.75,20,10,2.8,0.2,0.0,0.5,0.5201235771179199,0.3329586124420166,0.7436476850509643,10
calib,both_correct,18,answer,logit,0.75,0.6,0.9,20,10,2.8,0.5,0.2,0.8,4.7778373718261715,1.7628082919120789,8.054529829025267,10
calib,both_correct,23,answer,logit,0.6,0.5,0.75,20,10,2.05,0.2,0.0,0.5,8.604194641113281,5.500716018676758,11.924030914306638,10
calib,both_correct,6,answer,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,12.65632405281067,10.690534712076186,14.458319808244704,10
calib,both_correct,12,answer,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,12.287211465835572,11.07751145362854,13.53311349749565,10
calib,both_correct,18,answer,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,10.655890727043152,9.31981382369995,12.142191032767297,10
calib,both_correct,23,answer,probe,1.0,1.0,1.0,20,10,,1.0,1.0,1.0,10.965677714347839,9.260753498673438,12.722307600975036,10
calib,both_correct,6,def_source,gram_random,0.5,0.5,0.5,20,10,4.15,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,12,def_source,gram_random,0.5,0.5,0.5,20,10,4.25,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,18,def_source,gram_random,0.5,0.5,0.5,20,10,4.25,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,23,def_source,gram_random,0.5,0.5,0.5,20,10,5.25,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,6,def_source,jlens,0.5,0.5,0.5,20,10,3.15,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,12,def_source,jlens,0.5,0.5,0.5,20,10,1.7,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,18,def_source,jlens,0.5,0.5,0.5,20,10,2.55,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,23,def_source,jlens,0.5,0.5,0.5,20,10,3.55,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,6,def_source,logit,0.5,0.5,0.5,20,10,6.1,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,12,def_source,logit,0.5,0.5,0.5,20,10,4.3,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,18,def_source,logit,0.5,0.5,0.5,20,10,3.9,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,23,def_source,logit,0.5,0.5,0.5,20,10,3.55,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,6,def_source,probe,0.5,0.5,0.5,20,10,,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,12,def_source,probe,0.5,0.5,0.5,20,10,,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,18,def_source,probe,0.5,0.5,0.5,20,10,,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,23,def_source,probe,0.5,0.5,0.5,20,10,,0.0,0.0,0.0,0.0,0.0,0.0,10
calib,both_correct,6,def_target,gram_random,0.45,0.35,0.5,20,10,4.3,0.0,0.0,0.0,0.0015365228056907654,-0.004149963855743408,0.008179518468677992,10
calib,both_correct,12,def_target,gram_random,0.4,0.25,0.5,20,10,4.5,0.0,0.0,0.0,-0.0015280485153198243,-0.02241413325071335,0.017180009856820097,10
calib,both_correct,18,def_target,gram_random,0.55,0.4,0.7,20,10,2.55,0.2,0.0,0.5,0.018763437867164612,-0.02532767333090305,0.0640865656733512,10
calib,both_correct,23,def_target,gram_random,0.5,0.5,0.5,20,10,5.3,0.0,0.0,0.0,0.00488499253988266,-0.040778727494180204,0.04988416202366351,10
calib,both_correct,6,def_target,jlens,0.5,0.5,0.5,20,10,2.8,0.0,0.0,0.0,-0.00036661922931671145,-0.00438093975186348,0.0038514424115419364,10
calib,both_correct,12,def_target,jlens,0.5,0.5,0.5,20,10,1.45,0.0,0.0,0.0,-0.0064846456050872804,-0.0173416867852211,0.005306689888238906,10
