model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,source_expr,1,72,0.050774198189246916,0.3888888888888889,0.416,1.0546267143701953,0.030908253640734042,-0.019865944548512877,1.0,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,taint_chain,1,72,-0.03884525584062932,0.125,0.59,-0.946344360712502,0.04764399836669045,0.08648925420731977,1.0,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,trust_chain,1,72,-0.012021667917313569,0.8472222222222222,1.0,-0.2933124012251355,0.07103804703962632,0.08305971495693992,1.0,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,trusted_expr,1,72,-0.07787665847403741,0.4027777777777778,0.396,-1.0389006697668406,0.018632926630628932,0.09650958510466634,1.0,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,other,0,72,-0.027328248589666655,0.7638888888888888,0.95,-0.1406843924752728,0.6815423282437109,0.7088705768333775,1.0,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,signature,1,72,0.02790119158046489,0.4583333333333333,0.948,0.27107043549560084,0.14906487619361444,0.12116368461314951,1.0,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,sink_arg,0,72,0.004826466722637082,0.5416666666666666,0.836,0.30218155054019935,0.001460126995117407,-0.0033663397275196724,0.6111111111111112,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,sink_call,1,72,0.003989967555710177,0.3194444444444444,0.978,0.027239060025712355,-0.0027947643091036,-0.0067847318648137644,1.0,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,source_expr,1,72,0.023765504547332998,0.4861111111111111,0.17,1.4121829663449788,0.03729570252168955,0.013530197974356555,1.0,7.920446060127873e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,24281, vulnerable,taint_chain,1,72,-0.01247588526090167,0.1388888888888889,0.616,-0.7031249946544356,0.04763573244410292,0.06011161770500459,1.0,7.920446060127873e-08
