model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
starcoder2-3b,clens,3,0.1034,sink,rename_opaque_encode_flatten,cumulative,24,72,0.0003858123041305333,0.5138888888888888,0.392,0.8549674221920612,-0.17587223269412927,0.4027777777777778,-0.000471762798911857,0.4305555555555556,0.082,-1.6581022497427798,0.05026057932896599,0.4166666666666667,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,7,0.2414,sink,clean_heldout,clean,-1,72,-0.0013448555256664577,0.4027777777777778,0.234,-1.1807075941950531,-0.054552843678010866,0.4027777777777778,0.0008267392349093042,0.4583333333333333,0.64,0.43006091082040604,-0.05122047293302079,0.4166666666666667,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,7,0.2414,sink,normalize,baseline,0,72,-0.0011244651928166889,0.3194444444444444,0.318,-1.0242671456272932,-0.11098427476717544,0.3194444444444444,0.001157422795878228,0.5,0.562,0.5642544330844351,-0.20595834922875292,0.4583333333333333,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,7,0.2414,sink,rename_only,atomic,11,72,0.0003766412374704246,0.4722222222222222,0.822,0.08311884752622006,-0.1625079547634965,0.5138888888888888,-0.0002545269033374005,0.5277777777777778,0.806,-0.265938779371127,0.04176865319750924,0.4861111111111111,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,7,0.2414,sink,opaque_only,atomic,12,72,-0.0006154576023310968,0.4166666666666667,0.53,-0.5922691656211702,-0.09859935317981006,0.4444444444444444,0.0008244879016335058,0.4861111111111111,0.674,0.399990355634643,-0.2825630336494535,0.4305555555555556,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,7,0.2414,sink,encode_only,atomic,13,72,-0.001941475476852719,0.3333333333333333,0.062,-1.7916256656566736,-0.05135352841350606,0.3055555555555556,0.0012437751875273727,0.4722222222222222,0.52,0.6230594777282353,-0.14351591617110573,0.4861111111111111,0.04142253018087811,0.8333333333333334
starcoder2-3b,clens,7,0.2414,sink,flatten_only,atomic,14,72,-0.0021186246064024724,0.3333333333333333,0.012,-2.353728164783211,-0.12210479217904407,0.4166666666666667,0.0002963799598438103,0.5416666666666666,0.638,0.4120234861718224,0.06591693285514935,0.5138888888888888,0.017333983547157712,0.6944444444444444
starcoder2-3b,clens,7,0.2414,sink,rename_cumulative,cumulative,21,72,-0.0006965425625647269,0.4305555555555556,0.644,-0.5581997481135049,-0.22529843206394037,0.4444444444444444,-0.0011027509045315495,0.4583333333333333,0.386,-0.9672035713037893,-0.06487955644521087,0.3611111111111111,0.017849392361111112,0.6666666666666666
starcoder2-3b,clens,7,0.2414,sink,rename_opaque,cumulative,22,72,2.4524029340426228e-05,0.5416666666666666,0.986,0.03636786789840724,-0.05139717521977764,0.4861111111111111,0.0005692151368063404,0.5277777777777778,0.498,0.6408665488931645,-0.29142710460318394,0.4722222222222222,0.01665582176711824,0.7361111111111112
starcoder2-3b,clens,7,0.2414,sink,rename_opaque_encode,cumulative,23,72,0.0012152280510187821,0.5277777777777778,0.44,0.7687026787978197,0.24407697020684438,0.5,-0.0020343860133111786,0.4444444444444444,0.08,-1.79610475034131,-0.03832527279593422,0.3611111111111111,0.014838337898254395,0.6805555555555556
starcoder2-3b,clens,7,0.2414,sink,rename_opaque_encode_flatten,cumulative,24,72,0.0003498390285690483,0.5277777777777778,0.664,0.44619617877089823,-0.17153584513487977,0.4305555555555556,6.117253267416227e-05,0.5833333333333334,0.894,0.10022317009334276,0.03318848544676358,0.5138888888888888,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,11,0.3793,sink,clean_heldout,clean,-1,72,0.00442656328032049,0.6388888888888888,0.02,2.4889142959651864,-0.15694347535966535,0.5833333333333334,0.002826760607940296,0.6111111111111112,0.028,2.105322986184938,0.045104738701532275,0.5833333333333334,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,11,0.3793,sink,normalize,baseline,0,72,0.00454529276221868,0.625,0.012,2.509553876550576,-0.22681053610773358,0.5694444444444444,0.0031445206817101185,0.6527777777777778,0.016,2.1569735788155584,-0.018855095656568073,0.6111111111111112,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,11,0.3793,sink,rename_only,atomic,11,72,-0.0013101714546535576,0.5138888888888888,0.478,-0.7937669136306974,-0.20223960953077297,0.4722222222222222,0.0015378064160810998,0.6111111111111112,0.216,1.2696883656599292,-0.07342229559467883,0.5694444444444444,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,11,0.3793,sink,opaque_only,atomic,12,72,0.0037530794700947395,0.6111111111111112,0.084,1.7716182884133898,-0.2251082126478193,0.5694444444444444,0.0028770338782200225,0.6111111111111112,0.044,1.9433887325245318,-0.09235407404412901,0.4583333333333333,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,11,0.3793,sink,encode_only,atomic,13,72,0.003216791907426655,0.5972222222222222,0.088,1.6383917281053924,-0.2558912408381586,0.5138888888888888,0.0026576637339796763,0.5833333333333334,0.046,1.938716592065185,-0.008741664234539266,0.5277777777777778,0.04142253018087811,0.8333333333333334
starcoder2-3b,clens,11,0.3793,sink,flatten_only,atomic,14,72,0.002998765551198262,0.6111111111111112,0.142,1.4600203889428465,-0.038206587297541866,0.5277777777777778,-0.0008922988302956668,0.5277777777777778,0.646,-0.4463930982350794,0.2550694954716773,0.5972222222222222,0.017333983547157712,0.6944444444444444
starcoder2-3b,clens,11,0.3793,sink,rename_cumulative,cumulative,21,72,-0.0010735780604085063,0.5138888888888888,0.606,-0.5582309795399483,-0.2707025067899112,0.4305555555555556,0.0008266056781357269,0.5277777777777778,0.624,0.5898457826654492,-0.048244542600982446,0.4861111111111111,0.017849392361111112,0.6666666666666666
starcoder2-3b,clens,11,0.3793,sink,rename_opaque,cumulative,22,72,-0.0029321102954034733,0.3888888888888889,0.152,-1.562879073802451,-0.47460188253650004,0.375,-0.0013412760432460248,0.4861111111111111,0.356,-0.9826037924114235,-0.2363801068018713,0.5416666666666666,0.01665582176711824,0.7361111111111112
starcoder2-3b,clens,11,0.3793,sink,rename_opaque_encode,cumulative,23,72,-0.0017612604247413152,0.4444444444444444,0.492,-0.7351115006505848,-0.28525550207127115,0.4305555555555556,-0.0009151212878212409,0.4583333333333333,0.508,-0.5827783886915947,0.047423951247490125,0.375,0.014838337898254395,0.6805555555555556
starcoder2-3b,clens,11,0.3793,sink,rename_opaque_encode_flatten,cumulative,24,72,0.0005528273251089363,0.4722222222222222,0.728,0.3803058657573274,0.0021235967097110752,0.375,-0.00069629457761711,0.4444444444444444,0.582,-0.5769567128895793,-0.16867144259726982,0.4583333333333333,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,15,0.5172,sink,clean_heldout,clean,-1,72,-0.006666570496577762,0.375,0.0,-2.842652852822854,0.44995623084963116,0.4166666666666667,0.003700360585793597,0.6527777777777778,0.004,2.5997511553152717,0.09569180794850903,0.625,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,15,0.5172,sink,normalize,baseline,0,72,-0.009870395822083477,0.25,0.0,-3.9224203852462756,0.3855486906200432,0.3472222222222222,0.003260401681590528,0.6111111111111112,0.034,2.1684371535181173,0.1311621286178518,0.6388888888888888,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,15,0.5172,sink,rename_only,atomic,11,72,-0.002525605672513741,0.3472222222222222,0.142,-1.3865760363723474,0.18136845448822372,0.4722222222222222,0.0035433247429480876,0.6527777777777778,0.01,2.317800142975867,0.11560233650558295,0.5833333333333334,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,15,0.5172,sink,opaque_only,atomic,12,72,-0.007293347776722168,0.3472222222222222,0.0,-2.9855326269239724,0.3015629069168092,0.4305555555555556,0.00542886406673845,0.6527777777777778,0.006,2.7505866673994004,0.052864379637560924,0.5555555555555556,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,15,0.5172,sink,encode_only,atomic,13,72,-0.01136853893370187,0.25,0.0,-3.967726992385513,0.5244885904176947,0.375,0.005187364363610886,0.6805555555555556,0.012,2.600336696235717,-0.10023704964848432,0.625,0.04142253018087811,0.8333333333333334
starcoder2-3b,clens,15,0.5172,sink,flatten_only,atomic,14,72,0.0058155937510833205,0.6527777777777778,0.002,3.0975500760972667,-0.19867677394021846,0.4861111111111111,-0.0012681958645133764,0.4861111111111111,0.48,-0.7174414549514246,0.030237406869779337,0.4583333333333333,0.017333983547157712,0.6944444444444444
starcoder2-3b,clens,15,0.5172,sink,rename_cumulative,cumulative,21,72,-0.00423288035674448,0.4444444444444444,0.034,-2.2406809510182626,0.03830796640685856,0.4722222222222222,0.0038688999113853494,0.5972222222222222,0.016,2.2563458169206068,0.4127594897781366,0.5138888888888888,0.017849392361111112,0.6666666666666666
starcoder2-3b,clens,15,0.5172,sink,rename_opaque,cumulative,22,72,-0.0028124818824928222,0.3472222222222222,0.06,-2.0064278358027887,-0.015543585525091292,0.375,0.0018897109767785315,0.5416666666666666,0.228,1.1685927692130822,-0.42805964463509155,0.4861111111111111,0.01665582176711824,0.7361111111111112
starcoder2-3b,clens,15,0.5172,sink,rename_opaque_encode,cumulative,23,72,-0.004129411856389271,0.3611111111111111,0.01,-2.4513823572840954,0.31362869274913957,0.4305555555555556,0.001712968909168615,0.5694444444444444,0.242,1.2470297759255637,0.0721811595015501,0.5416666666666666,0.014838337898254395,0.6805555555555556
