layer,lens,comparison,stratum,accuracy,mean_margin,n
19,random,next_ident,all,0.5533333333333333,0.03369045058886211,150
19,random,next_ident,present_in_program,0.5533333333333333,0.03369045058886211,150
19,random,next_ident,temporally_matched,0.5428571428571428,-0.046935490625245234,35
23,clens,control_dep,all,0.48854961832061067,-0.024924669361946497,917
23,clens,control_dep,indent_matched,0.4863861386138614,-0.026235728496962256,808
23,clens,control_dep,non_dependent,0.5045871559633027,-0.015205992471187485,109
23,clens,control_dep,temporally_matched,0.4939759036144578,-0.020165391427924836,415
23,clens,guard_var,all,0.66,0.1922882604598999,150
23,clens,guard_var,present_in_program,0.66,0.1922882604598999,150
23,clens,guard_var,temporally_matched,0.6482758620689655,0.17854911212263436,145
23,clens,next_ident,all,0.49333333333333335,-0.04598949273427328,150
23,clens,next_ident,present_in_program,0.49333333333333335,-0.04598949273427328,150
23,clens,next_ident,temporally_matched,0.5142857142857142,0.045618833814348496,35
23,logit,control_dep,all,0.46346782988004365,-0.6520361760580423,917
23,logit,control_dep,indent_matched,0.4542079207920792,-0.9139473067209272,808
23,logit,control_dep,non_dependent,0.5321100917431193,1.289470187020958,109
23,logit,control_dep,temporally_matched,0.4457831325301205,-1.0009903586054423,415
23,logit,guard_var,all,0.6866666666666666,4.001150334676106,150
23,logit,guard_var,present_in_program,0.6866666666666666,4.001150334676106,150
23,logit,guard_var,temporally_matched,0.696551724137931,4.219620813172439,145
23,logit,next_ident,all,0.3933333333333333,-2.019316924413045,150
23,logit,next_ident,present_in_program,0.3933333333333333,-2.019316924413045,150
23,logit,next_ident,temporally_matched,0.6571428571428571,1.5869698388235909,35
23,random,control_dep,all,0.4743729552889858,-0.04129752700370427,917
23,random,control_dep,indent_matched,0.4591584158415842,-0.08147648174205038,808
23,random,control_dep,non_dependent,0.5871559633027523,0.2565427980291734,109
23,random,control_dep,temporally_matched,0.4771084337349398,-0.01032676287444241,415
23,random,guard_var,all,0.4066666666666667,-0.26337034374475476,150
23,random,guard_var,present_in_program,0.4066666666666667,-0.26337034374475476,150
23,random,guard_var,temporally_matched,0.4068965517241379,-0.2557283544334872,145
23,random,next_ident,all,0.5066666666666667,0.060219539205233256,150
23,random,next_ident,present_in_program,0.5066666666666667,0.060219539205233256,150
23,random,next_ident,temporally_matched,0.42857142857142855,-0.05442347696849278,35
27,clens,control_dep,all,0.4558342420937841,-0.08108653367020702,917
27,clens,control_dep,indent_matched,0.4467821782178218,-0.09066248316280913,808
27,clens,control_dep,non_dependent,0.5229357798165137,-0.010101513578257433,109
27,clens,control_dep,temporally_matched,0.4843373493975904,-0.060510906110326924,415
27,clens,guard_var,all,0.7333333333333333,0.3027516639232635,150
27,clens,guard_var,present_in_program,0.7333333333333333,0.3027516639232635,150
27,clens,guard_var,temporally_matched,0.7241379310344828,0.2793390278158517,145
27,clens,next_ident,all,0.4066666666666667,-0.17345508734385173,150
27,clens,next_ident,present_in_program,0.4066666666666667,-0.17345508734385173,150
27,clens,next_ident,temporally_matched,0.45714285714285713,-0.01967944417681013,35
27,logit,control_dep,all,0.4296619411123228,-1.7996601925811435,917
27,logit,control_dep,indent_matched,0.41089108910891087,-2.364294823148463,808
27,logit,control_dep,non_dependent,0.5688073394495413,2.385888261532565,109
27,logit,control_dep,temporally_matched,0.4674698795180723,-1.4193615993821478,415
27,logit,guard_var,all,0.7133333333333334,6.2276111054420475,150
27,logit,guard_var,present_in_program,0.7133333333333334,6.2276111054420475,150
27,logit,guard_var,temporally_matched,0.7310344827586207,6.594289025767096,145
27,logit,next_ident,all,0.3466666666666667,-4.309674310684204,150
27,logit,next_ident,present_in_program,0.3466666666666667,-4.309674310684204,150
27,logit,next_ident,temporally_matched,0.5714285714285714,0.7799070290156771,35
27,random,control_dep,all,0.45910577971646677,-0.08947313701248481,917
27,random,control_dep,indent_matched,0.46410891089108913,-0.0879876331269446,808
27,random,control_dep,non_dependent,0.42201834862385323,-0.10048494563190215,109
27,random,control_dep,temporally_matched,0.4530120481927711,-0.15030918821512934,415
27,random,guard_var,all,0.44666666666666666,-0.17072745492060978,150
27,random,guard_var,present_in_program,0.44666666666666666,-0.17072745492060978,150
27,random,guard_var,temporally_matched,0.4482758620689655,-0.17633417937262305,145
27,random,next_ident,all,0.48,-0.01379725058873495,150
27,random,next_ident,present_in_program,0.48,-0.01379725058873495,150
27,random,next_ident,temporally_matched,0.4,-0.23146460269178662,35
31,clens,control_dep,all,0.3980370774263904,-0.18397267928170274,917
31,clens,control_dep,indent_matched,0.3811881188118812,-0.1886386537905967,808
31,clens,control_dep,non_dependent,0.5229357798165137,-0.14938453796806686,109
31,clens,control_dep,temporally_matched,0.5036144578313253,-0.04786877976842673,415
31,clens,guard_var,all,0.8133333333333334,0.6174932638804118,150
31,clens,guard_var,present_in_program,0.8133333333333334,0.6174932638804118,150
31,clens,guard_var,temporally_matched,0.8068965517241379,0.5772123895842454,145
31,clens,next_ident,all,0.2733333333333333,-0.44504737854003906,150
31,clens,next_ident,present_in_program,0.2733333333333333,-0.44504737854003906,150
