level,arm,layer,readout,reversal,reversal_ci_lo,reversal_ci_hi,beats_chance,mean_delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n,n_bases,split,family,pair_index,inner_word,outer_word
pair,ba,8,logit,0.7,0.6464285714285715,0.7535714285714286,True,0.7161055944859982,0.5758496864432735,0.875382520144007,True,280,280,test,scope,2.0,inside,outside
pair,ba,8,logit,0.09285714285714286,0.060714285714285714,0.125,False,-1.903887506042208,-2.0781196914001234,-1.7266596133528012,False,280,280,test,scope,3.0,nested,module
pair,ba,12,gram_random,0.3657142857142857,0.3492857142857143,0.3821428571428571,False,-0.030996612325709844,-0.03433746503310145,-0.02777905127254781,False,280,280,test,action,7.0,replaced,kept
pair,ba,12,gram_random,0.47357142857142853,0.4614285714285714,0.4850178571428571,False,0.00782701357134751,0.0044838205025132215,0.011071251529801105,True,280,280,test,action,8.0,changed,unchanged
pair,ba,12,gram_random,0.5521428571428572,0.5328571428571428,0.5707142857142857,True,0.041604301800419186,0.037890780585651686,0.04500324491857152,True,280,280,test,positional,4.0,later,earlier
pair,ba,12,gram_random,0.37642857142857145,0.3564285714285715,0.39571428571428574,False,-0.01545157140054341,-0.01818241297047851,-0.012908663144834073,False,280,280,test,positional,5.0,second,first
pair,ba,12,gram_random,0.7057142857142856,0.6935714285714285,0.7185714285714285,True,0.052749702628435834,0.04952132272811806,0.05582451344313034,True,280,280,test,positional,6.0,new,original
pair,ba,12,gram_random,0.5971428571428571,0.5850000000000001,0.6085714285714285,True,0.04214237530582717,0.039527490785569955,0.0447934390115801,True,280,280,test,scope,0.0,local,global
pair,ba,12,gram_random,0.5007142857142857,0.4842857142857144,0.5164285714285715,False,-0.011384144712106458,-0.013116168618684502,-0.00970756560164903,False,280,280,test,scope,1.0,inner,outer
pair,ba,12,gram_random,0.44142857142857145,0.417125,0.4642857142857143,False,-0.014235896134882102,-0.016335083455662244,-0.012230278489013605,False,280,280,test,scope,2.0,inside,outside
pair,ba,12,gram_random,0.615,0.5985714285714285,0.6307321428571427,True,0.0035359698979716215,0.0005092503695549176,0.006696445279771325,True,280,280,test,scope,3.0,nested,module
pair,ba,12,jlens,0.9214285714285714,0.8892857142857142,0.9535714285714286,True,0.09310980114553656,0.08575099077607905,0.10050532760298145,True,280,280,test,action,7.0,replaced,kept
pair,ba,12,jlens,0.3678571428571429,0.3107142857142857,0.425,False,-0.03147892119096858,-0.03970761251236712,-0.023740288759581746,False,280,280,test,action,8.0,changed,unchanged
pair,ba,12,jlens,0.9964285714285714,0.9892857142857143,1.0,True,0.11975388710520098,0.11349551893704171,0.1261771601478436,True,280,280,test,positional,4.0,later,earlier
pair,ba,12,jlens,0.7107142857142857,0.6571428571428571,0.7607142857142857,True,0.028151850721665792,0.020780265796929598,0.03514799480526042,True,280,280,test,positional,5.0,second,first
pair,ba,12,jlens,0.975,0.9571428571428572,0.9893749999999996,True,0.1411106826604477,0.13299563603508952,0.14882233528287284,True,280,280,test,positional,6.0,new,original
pair,ba,12,jlens,0.9178571428571428,0.8857142857142857,0.95,True,0.05352618329093924,0.04877770616307056,0.05813069288668754,True,280,280,test,scope,0.0,local,global
pair,ba,12,jlens,0.3464285714285714,0.29285714285714287,0.4035714285714286,False,-0.02337051010025399,-0.03005111212875428,-0.016621550091741877,False,280,280,test,scope,1.0,inner,outer
pair,ba,12,jlens,0.6857142857142857,0.6321428571428571,0.7428571428571429,True,0.029593682661652566,0.023346087288976247,0.03630685985653794,True,280,280,test,scope,2.0,inside,outside
