model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,random_matched,erase,3.25,3.5,0.25,0.11146217543913543
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,jlens,erase,1.75,1.5,-0.25,0.012420010821131698
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,rlens,erase,1.75,1.75,0.0,0.030948682725200058
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,logit,erase,1.75,1.75,0.0,0.01378982750505968
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,offtarget_j,erase,1.75,1.75,0.0,0.023609448511489543
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,offtarget_r,erase,1.75,1.75,0.0,0.033050337422151264
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,random,erase,1.75,1.75,0.0,0.014417583880676323
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,12,random_matched,erase,1.75,1.75,0.0,0.012420011760335602
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,jlens,erase,1.75,1.75,0.0,0.0062911443061072995
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,rlens,erase,1.75,1.75,0.0,0.008748559001260758
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,logit,erase,1.75,1.75,0.0,0.012059161027532156
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,offtarget_j,erase,1.75,1.75,0.0,0.023791975185909132
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,offtarget_r,erase,1.75,1.75,0.0,0.02146596928546972
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,random,erase,1.75,1.75,0.0,0.001806676648855775
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,16,random_matched,erase,1.75,1.75,0.0,0.006291143415942523
