level,arm,control,layer,reversal_clens,reversal_control,difference,ci_lo,ci_hi,beats_control,n,n_bases,split,family,pair_index,inner_word,outer_word
pair,ab,gram_random,20,0.7357142857142858,0.4765714285714286,0.2591428571428572,0.20591803571428574,0.30813035714285714,True,280,280,test,positional,4.0,later,earlier
pair,ab,gram_random,20,0.06785714285714285,0.507407142857143,-0.43955000000000005,-0.46820410714285715,-0.4084642857142857,False,280,280,test,positional,5.0,second,first
pair,ab,gram_random,20,0.03571428571428571,0.5084928571428571,-0.4727785714285714,-0.49235357142857145,-0.4513642857142857,False,280,280,test,positional,6.0,new,original
pair,ab,gram_random,20,0.9964285714285714,0.4906857142857143,0.505742857142857,0.4975125,0.5106789285714286,True,280,280,test,scope,0.0,local,global
pair,ab,gram_random,20,0.5,0.5245785714285714,-0.024578571428571453,-0.08481607142857146,0.03604410714285712,False,280,280,test,scope,1.0,inner,outer
pair,ab,gram_random,20,0.9714285714285714,0.49841428571428575,0.4730142857142858,0.4534041071428571,0.4909430357142857,True,280,280,test,scope,2.0,inside,outside
pair,ab,gram_random,20,0.9642857142857143,0.5017142857142858,0.4625714285714285,0.43822767857142864,0.4833999999999999,True,280,280,test,scope,3.0,nested,module
pair,ab,gram_random,24,0.8142857142857143,0.4913214285714285,0.32296428571428576,0.2770842857142857,0.3656294642857143,True,280,280,test,action,7.0,replaced,kept
pair,ab,gram_random,24,0.06785714285714285,0.4944428571428572,-0.4265857142857143,-0.4547894642857143,-0.3975566071428572,False,280,280,test,action,8.0,changed,unchanged
pair,ab,gram_random,24,0.8821428571428571,0.5055785714285714,0.3765642857142857,0.3364641071428571,0.41391142857142854,True,280,280,test,positional,4.0,later,earlier
pair,ab,gram_random,24,0.175,0.5232642857142857,-0.34826428571428575,-0.3942083928571429,-0.30265732142857155,False,280,280,test,positional,5.0,second,first
pair,ab,gram_random,24,0.22142857142857142,0.5124071428571428,-0.29097857142857136,-0.33863053571428575,-0.24210678571428568,False,280,280,test,positional,6.0,new,original
pair,ab,gram_random,24,0.9857142857142858,0.4893357142857143,0.4963785714285714,0.48134982142857136,0.5083567857142858,True,280,280,test,scope,0.0,local,global
pair,ab,gram_random,24,0.5142857142857142,0.5179928571428571,-0.0037071428571428763,-0.0609244642857143,0.05390178571428565,False,280,280,test,scope,1.0,inner,outer
pair,ab,gram_random,24,0.85,0.5067071428571428,0.3432928571428571,0.300385,0.38484785714285713,True,280,280,test,scope,2.0,inside,outside
pair,ab,gram_random,24,0.9928571428571429,0.5463071428571429,0.44654999999999995,0.43534999999999996,0.4546583928571428,True,280,280,test,scope,3.0,nested,module
pair,ab,logit,8,0.7178571428571429,0.9678571428571429,-0.25,-0.3,-0.2,False,280,280,test,action,7.0,replaced,kept
pair,ab,logit,8,0.0,0.4928571428571429,-0.4928571428571429,-0.55,-0.4357142857142857,False,280,280,test,action,8.0,changed,unchanged
pair,ab,logit,8,1.0,1.0,0.0,0.0,0.0,False,280,280,test,positional,4.0,later,earlier
pair,ab,logit,8,0.7142857142857143,0.6607142857142857,0.05357142857142857,-0.017946428571428565,0.125,False,280,280,test,positional,5.0,second,first
pair,ab,logit,8,0.5964285714285714,0.4357142857142857,0.16071428571428573,0.08571428571428572,0.2357142857142857,True,280,280,test,positional,6.0,new,original
pair,ab,logit,8,0.9642857142857143,0.2785714285714286,0.6857142857142857,0.6321428571428571,0.7428571428571429,True,280,280,test,scope,0.0,local,global
pair,ab,logit,8,0.12142857142857143,0.5535714285714286,-0.43214285714285716,-0.4929464285714286,-0.37142857142857144,False,280,280,test,scope,1.0,inner,outer
pair,ab,logit,8,0.11428571428571428,0.7071428571428572,-0.5928571428571429,-0.6464285714285715,-0.5357142857142857,False,280,280,test,scope,2.0,inside,outside
pair,ab,logit,8,0.7,0.08214285714285714,0.6178571428571429,0.5607142857142857,0.6750892857142853,True,280,280,test,scope,3.0,nested,module
pair,ab,logit,12,0.5571428571428572,0.9535714285714286,-0.3964285714285714,-0.45714285714285713,-0.3392857142857143,False,280,280,test,action,7.0,replaced,kept
pair,ab,logit,12,0.7285714285714285,0.9928571428571429,-0.2642857142857143,-0.31785714285714284,-0.21428571428571427,False,280,280,test,action,8.0,changed,unchanged
pair,ab,logit,12,1.0,1.0,0.0,0.0,0.0,False,280,280,test,positional,4.0,later,earlier
pair,ab,logit,12,0.6392857142857142,0.0035714285714285713,0.6357142857142857,0.5821428571428572,0.6892857142857143,True,280,280,test,positional,5.0,second,first
pair,ab,logit,12,0.875,0.9714285714285714,-0.09642857142857143,-0.13223214285714285,-0.060714285714285714,False,280,280,test,positional,6.0,new,original
pair,ab,logit,12,0.7892857142857143,1.0,-0.21071428571428572,-0.2571428571428571,-0.16428571428571428,False,280,280,test,scope,0.0,local,global
pair,ab,logit,12,0.6285714285714286,0.48928571428571427,0.1392857142857143,0.09285714285714286,0.18928571428571428,True,280,280,test,scope,1.0,inner,outer
pair,ab,logit,12,0.9035714285714286,0.6535714285714286,0.25,0.19642857142857142,0.30357142857142855,True,280,280,test,scope,2.0,inside,outside
pair,ab,logit,12,0.9428571428571428,0.9,0.04285714285714286,0.014285714285714285,0.07151785714285665,True,280,280,test,scope,3.0,nested,module
pair,ab,logit,16,0.925,1.0,-0.075,-0.10714285714285714,-0.04642857142857143,False,280,280,test,action,7.0,replaced,kept
pair,ab,logit,16,0.55,0.9607142857142857,-0.4107142857142857,-0.4714285714285714,-0.35714285714285715,False,280,280,test,action,8.0,changed,unchanged
pair,ab,logit,16,1.0,1.0,0.0,0.0,0.0,False,280,280,test,positional,4.0,later,earlier
pair,ab,logit,16,0.5678571428571428,0.13214285714285715,0.4357142857142857,0.37857142857142856,0.4928571428571429,True,280,280,test,positional,5.0,second,first
pair,ab,logit,16,0.16785714285714284,0.6071428571428571,-0.4392857142857143,-0.5,-0.37857142857142856,False,280,280,test,positional,6.0,new,original
pair,ab,logit,16,0.9642857142857143,1.0,-0.03571428571428571,-0.05714285714285714,-0.014285714285714285,False,280,280,test,scope,0.0,local,global
pair,ab,logit,16,0.6678571428571428,0.425,0.24285714285714285,0.19633928571428572,0.29285714285714287,True,280,280,test,scope,1.0,inner,outer
pair,ab,logit,16,0.825,0.4392857142857143,0.38571428571428573,0.3320535714285714,0.44285714285714284,True,280,280,test,scope,2.0,inside,outside
pair,ab,logit,16,1.0,1.0,0.0,0.0,0.0,False,280,280,test,scope,3.0,nested,module
pair,ab,logit,20,0.9821428571428571,0.9857142857142858,-0.0035714285714285713,-0.010714285714285714,0.0,False,280,280,test,action,7.0,replaced,kept
pair,ab,logit,20,0.1,0.30714285714285716,-0.20714285714285716,-0.2571428571428571,-0.16071428571428573,False,280,280,test,action,8.0,changed,unchanged
pair,ab,logit,20,0.7357142857142858,0.6107142857142858,0.125,0.07857142857142857,0.175,True,280,280,test,positional,4.0,later,earlier
pair,ab,logit,20,0.06785714285714285,0.19285714285714287,-0.125,-0.16428571428571428,-0.08571428571428572,False,280,280,test,positional,5.0,second,first
pair,ab,logit,20,0.03571428571428571,0.010714285714285714,0.025,0.0035714285714285713,0.04642857142857143,True,280,280,test,positional,6.0,new,original
pair,ab,logit,20,0.9964285714285714,1.0,-0.0035714285714285713,-0.010714285714285714,0.0,False,280,280,test,scope,0.0,local,global
pair,ab,logit,20,0.5,0.225,0.275,0.225,0.33214285714285713,True,280,280,test,scope,1.0,inner,outer
pair,ab,logit,20,0.9714285714285714,0.9071428571428571,0.06428571428571428,0.03571428571428571,0.09642857142857143,True,280,280,test,scope,2.0,inside,outside
