model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,15,last_token,rename_opaque,logit,rlens,0.5395519691188722,0.5271330554869352,196
starcoder2-3b,15,last_token,rename_opaque_encode,jlens,logit,0.49516516846937847,0.48074651961526516,196
starcoder2-3b,15,last_token,rename_opaque_encode,jlens,rlens,0.9136087981175759,0.9018941899289978,196
starcoder2-3b,15,last_token,rename_opaque_encode,logit,rlens,0.5606766625015721,0.5286327885312657,196
starcoder2-3b,15,last_token,rename_opaque_encode_flatten,jlens,logit,0.5819540117974191,0.5824590203125374,196
starcoder2-3b,15,last_token,rename_opaque_encode_flatten,jlens,rlens,0.8959591780005256,0.88306226043717,196
starcoder2-3b,15,last_token,rename_opaque_encode_flatten,logit,rlens,0.5410985955858437,0.5475189060395733,196
starcoder2-3b,19,last_token,clean_heldout,jlens,logit,0.6286940392558915,0.6023683350731938,196
starcoder2-3b,19,last_token,clean_heldout,jlens,rlens,0.9732408755898996,0.9752966395460958,196
starcoder2-3b,19,last_token,clean_heldout,logit,rlens,0.6493265507098989,0.6135709105977417,196
starcoder2-3b,19,last_token,encode_only,jlens,logit,0.650400746953961,0.6495182844711489,196
starcoder2-3b,19,last_token,encode_only,jlens,rlens,0.9685804116197649,0.961980731378846,196
starcoder2-3b,19,last_token,encode_only,logit,rlens,0.6750878385445018,0.660765485421033,196
starcoder2-3b,19,last_token,flatten_only,jlens,logit,0.6376872551524576,0.5963964969041112,196
starcoder2-3b,19,last_token,flatten_only,jlens,rlens,0.960532390871928,0.9529982707647684,196
starcoder2-3b,19,last_token,flatten_only,logit,rlens,0.6520118973298469,0.6172620707791122,196
starcoder2-3b,19,last_token,normalize,jlens,logit,0.6453986666506408,0.6388002135645355,196
starcoder2-3b,19,last_token,normalize,jlens,rlens,0.9695701783141593,0.9642789407836544,196
starcoder2-3b,19,last_token,normalize,logit,rlens,0.6718223473980924,0.6724732845109931,196
starcoder2-3b,19,last_token,opaque_only,jlens,logit,0.6954796435100425,0.6738343599837437,196
starcoder2-3b,19,last_token,opaque_only,jlens,rlens,0.9670394885362231,0.9633689008598365,196
starcoder2-3b,19,last_token,opaque_only,logit,rlens,0.7118936657589339,0.6809855843938514,196
starcoder2-3b,19,last_token,rename_cumulative,jlens,logit,0.6700007577046824,0.6475962036513161,196
starcoder2-3b,19,last_token,rename_cumulative,jlens,rlens,0.9637418421361876,0.9514555060602923,196
