layer,arm,example,rho,abs_error
7,no_identity,8,0.774700403213501,0.22529959678649902
7,no_identity,9,0.7350100874900818,0.2649899125099182
7,no_half,0,5.738487720489502,4.738487720489502
7,no_half,1,5.016880989074707,4.016880989074707
7,no_half,2,5.074753761291504,4.074753761291504
7,no_half,3,5.91109561920166,4.91109561920166
7,no_half,4,5.162467002868652,4.162467002868652
7,no_half,5,5.39123010635376,4.39123010635376
7,no_half,6,7.392655849456787,6.392655849456787
7,no_half,7,7.097103118896484,6.097103118896484
7,no_half,8,6.476834774017334,5.476834774017334
7,no_half,9,7.336282253265381,6.336282253265381
7,none,0,0.1201838031411171,0.8798161968588829
7,none,1,0.18479669094085693,0.8152033090591431
7,none,2,0.05911017581820488,0.9408898241817951
7,none,3,0.3067319691181183,0.6932680308818817
7,none,4,0.11741172522306442,0.8825882747769356
7,none,5,0.12290386855602264,0.8770961314439774
7,none,6,0.4393889605998993,0.5606110394001007
7,none,7,-1.6406830549240112,2.6406830549240112
7,none,8,-0.1972607970237732,1.1972607970237732
7,none,9,-0.240966334939003,1.240966334939003
11,all,0,1.0000001192092896,1.1920928955078125e-07
11,all,1,0.9999998807907104,1.1920928955078125e-07
11,all,2,0.9999997615814209,2.384185791015625e-07
11,all,3,1.0000001192092896,1.1920928955078125e-07
11,all,4,1.0,0.0
11,all,5,0.9999998807907104,1.1920928955078125e-07
11,all,6,1.000000238418579,2.384185791015625e-07
11,all,7,0.9999996423721313,3.5762786865234375e-07
11,all,8,1.0000004768371582,4.76837158203125e-07
11,all,9,1.000000238418579,2.384185791015625e-07
11,no_attn,0,1.354665756225586,0.35466575622558594
11,no_attn,1,1.4690922498703003,0.4690922498703003
11,no_attn,2,1.3813899755477905,0.3813899755477905
11,no_attn,3,1.4035061597824097,0.40350615978240967
11,no_attn,4,1.3139069080352783,0.3139069080352783
11,no_attn,5,1.4098836183547974,0.40988361835479736
11,no_attn,6,0.7915847301483154,0.20841526985168457
11,no_attn,7,4.819852828979492,3.819852828979492
11,no_attn,8,2.765442132949829,1.765442132949829
11,no_attn,9,1.5000091791152954,0.5000091791152954
11,no_ln,0,0.024738987907767296,0.9752610120922327
11,no_ln,1,0.011907382868230343,0.9880926171317697
11,no_ln,2,0.01284672413021326,0.9871532758697867
11,no_ln,3,0.004764399025589228,0.9952356009744108
11,no_ln,4,0.010226483456790447,0.9897735165432096
11,no_ln,5,0.013250311836600304,0.9867496881633997
11,no_ln,6,-0.08396098017692566,1.0839609801769257
11,no_ln,7,-0.24978546798229218,1.2497854679822922
11,no_ln,8,-0.15220732986927032,1.1522073298692703
11,no_ln,9,-0.1030568778514862,1.1030568778514862
11,no_identity,0,0.8656241297721863,0.13437587022781372
11,no_identity,1,0.784125030040741,0.21587496995925903
11,no_identity,2,0.785936176776886,0.214063823223114
11,no_identity,3,0.7722691297531128,0.2277308702468872
11,no_identity,4,0.7905317544937134,0.20946824550628662
11,no_identity,5,0.7623305320739746,0.2376694679260254
11,no_identity,6,0.7379421591758728,0.2620578408241272
11,no_identity,7,0.9382705688476562,0.06172943115234375
11,no_identity,8,0.788144588470459,0.21185541152954102
11,no_identity,9,0.7287463545799255,0.27125364542007446
11,no_half,0,4.785514831542969,3.7855148315429688
11,no_half,1,4.455448150634766,3.4554481506347656
11,no_half,2,4.455970764160156,3.4559707641601562
11,no_half,3,5.246111869812012,4.246111869812012
11,no_half,4,4.562001705169678,3.5620017051696777
11,no_half,5,4.731661319732666,3.731661319732666
11,no_half,6,6.44099235534668,5.44099235534668
11,no_half,7,5.665863990783691,4.665863990783691
11,no_half,8,5.573838710784912,4.573838710784912
11,no_half,9,6.328566551208496,5.328566551208496
11,none,0,0.04600765183568001,0.95399234816432
11,none,1,0.02717236801981926,0.9728276319801807
11,none,2,0.05774379149079323,0.9422562085092068
11,none,3,-0.2852841913700104,1.2852841913700104
11,none,4,0.05387567728757858,0.9461243227124214
11,none,5,-0.12446120381355286,1.1244612038135529
11,none,6,1.2120780944824219,0.21207809448242188
11,none,7,0.10240613669157028,0.8975938633084297
11,none,8,-0.6977593898773193,1.6977593898773193
11,none,9,-0.27623623609542847,1.2762362360954285
15,all,0,1.0,0.0
15,all,1,0.9999998807907104,1.1920928955078125e-07
15,all,2,0.9999998807907104,1.1920928955078125e-07
15,all,3,1.0,0.0
15,all,4,1.0,0.0
15,all,5,0.9999998807907104,1.1920928955078125e-07
15,all,6,1.000000238418579,2.384185791015625e-07
15,all,7,0.9999996423721313,3.5762786865234375e-07
