split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,8,use,gram_random,0.47674418604651164,0.39080459770114945,0.5647058823529412,172,18,4.691860465116279,0.08139534883720931,0.0,0.21354379468845727,0.0023893291823739228,-0.012578266056230157,0.017966389381164946,86
calib,all,16,use,gram_random,0.45348837209302323,0.38953488372093026,0.5121988858777476,172,18,5.133720930232558,0.03488372093023256,0.0,0.09523809523809523,-0.025093838377574156,-0.044218235516029235,-0.005959128962062751,86
calib,all,24,use,gram_random,0.45930232558139533,0.39880952380952384,0.5,172,18,5.796511627906977,0.011627906976744186,0.0,0.03571428571428571,-0.025537823348544365,-0.06419302839146103,0.00968785489970232,86
calib,all,31,use,gram_random,0.5523255813953488,0.5113636363636364,0.6046511627906976,172,18,3.7732558139534884,0.10465116279069768,0.022727272727272728,0.20930232558139536,0.023048477463944013,-0.04171905341099846,0.09285169071852609,86
calib,all,8,use,clens,0.5290697674418605,0.47093023255813954,0.5965909090909091,172,18,5.0813953488372094,0.10465116279069768,0.011764705882352941,0.22621753246753232,0.0036842068007519077,-0.01145770126835023,0.020485811600741276,86
calib,all,16,use,clens,0.6162790697674418,0.5174418604651163,0.7168674698795181,172,18,2.4302325581395348,0.27906976744186046,0.11764705882352941,0.4578313253012048,0.0325274427616319,-0.0013638367773039582,0.06251368543068452,86
calib,all,24,use,clens,0.5058139534883721,0.4127906976744186,0.5919540229885057,172,18,2.9651162790697674,0.13953488372093023,0.05813953488372093,0.23255813953488372,0.046140537012455074,-0.04642754971811717,0.13148668931328614,86
calib,all,31,use,clens,0.5,0.4555430711610487,0.5511363636363636,172,18,4.366279069767442,0.046511627906976744,0.0,0.12643678160919541,0.03684529592824537,-0.051325721664314254,0.11953473937502994,86
calib,all,8,use,logit,0.5232558139534884,0.40113372093023253,0.6460742669224445,172,18,3.604651162790698,0.22093023255813954,0.08043691222570533,0.38378699788583476,0.12414491696413173,-0.3122558239523786,0.5689030013285401,86
calib,all,16,use,logit,0.5755813953488372,0.5,0.6591366248693832,172,18,3.104651162790698,0.20930232558139536,0.08639340560072267,0.3563218390804598,0.4343772239463274,-0.32612587252220554,1.1752555227974546,86
calib,all,24,use,logit,0.5058139534883721,0.41379310344827586,0.5919540229885057,172,18,3.5,0.10465116279069768,0.011627906976744186,0.2235294117647059,1.2415076300155286,-0.640353404148646,3.0624937869646423,86
calib,all,31,use,logit,0.5,0.4555430711610487,0.5511363636363636,172,18,4.366279069767442,0.046511627906976744,0.0,0.12643678160919541,1.1173794768577399,-1.5578030536074925,3.62700112940993,86
calib,all,8,use,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.9343790855518608,1.9163391620681964,1.9493734534743221,86
calib,all,16,use,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.945066972527393,1.9358540541475469,1.953700281202277,86
calib,all,24,use,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.9340354259624037,1.9207160729436983,1.946462096215299,86
calib,all,31,use,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.9208236336708069,1.9031184341999605,1.937375825982012,86
calib,both_correct,8,answer,gram_random,0.5263157894736842,0.47619047619047616,0.5833333333333334,76,18,3.6052631578947367,0.07894736842105263,0.0,0.17647058823529413,0.0006259567055263018,-0.0011121690640584591,0.002432652556155692,38
calib,both_correct,16,answer,gram_random,0.5,0.39994318181818184,0.5976219512195119,76,18,5.0394736842105265,0.10526315789473684,0.0,0.23684210526315788,0.006195300209679101,-0.014568891151800033,0.02462555863219485,38
calib,both_correct,24,answer,gram_random,0.5394736842105263,0.47220238095238093,0.6025641025641025,76,18,5.131578947368421,0.13157894736842105,0.04645994832041344,0.22229166666666628,0.0063177461882955145,-0.03611936621709855,0.04678003746084865,38
